scDblFinder_score	scDblFinder_DropletType
0.180049421824396	singlet
0.128261285826393	singlet
0.380112010626196	singlet
0.241046271675584	singlet
0.325178799173682	singlet
0.236404288637035	singlet
0.175740579450571	singlet
0.170744640296159	singlet
0.165166807818778	singlet
0.0199425127123959	singlet
0.267923728097448	singlet
0.088526624971729	singlet
0.145568343499203	singlet
0.202397572004444	singlet
0.184560412532939	singlet
0.211445735825746	singlet
0.149121913572019	singlet
0.169870316342929	singlet
0.0639515585386579	singlet
0.079002934884904	singlet
0.0904017709033947	singlet
0.127858681261862	singlet
0.128683855481544	singlet
0.223872965630337	singlet
0.0479268354391369	singlet
0.690104666003504	doublet
0.11784857172513	singlet
0.257688015576735	singlet
0.318685230108079	singlet
0.238173461839712	singlet
0.36873816993304	singlet
0.137737994926156	singlet
0.138788873824174	singlet
0.174293918800929	singlet
0.124450818522848	singlet
0.169937622172369	singlet
0.614213369682222	doublet
0.276021027662704	singlet
0.203787799985885	singlet
0.318790478509346	singlet
0.160728667789438	singlet
0.215439134687543	singlet
0.247475673834665	singlet
0.360962358860709	singlet
0.133207092663801	singlet
0.0721361055367201	singlet
0.179826762328855	singlet
0.115667195214692	singlet
0.204075732562303	singlet
0.159904692563173	singlet
0.0512854068400104	singlet
0.205780363118164	singlet
0.211811552839266	singlet
0.0606318610408122	singlet
0.0519946609831081	singlet
0.0591237392681773	singlet
0.0534353277172322	singlet
0.0471790963225333	singlet
0.314826019637387	singlet
0.21577778093894	singlet
0.547367255192761	doublet
0.152716243252998	singlet
0.143336051396644	singlet
0.24952548833113	singlet
0.416517993737744	singlet
0.224088802772895	singlet
0.0926656641885113	singlet
0.214954428504962	singlet
0.126177578162373	singlet
0.138104330454162	singlet
0.0492490201726431	singlet
0.268516635114557	singlet
0.205365928337127	singlet
0.166594147445776	singlet
0.155490264004786	singlet
0.0649662159494516	singlet
0.494125362004182	doublet
0.176818703130455	singlet
0.0935741586416728	singlet
0.134687472772143	singlet
0.120876909640859	singlet
0.178079226431795	singlet
0.127911903688641	singlet
0.209776227271805	singlet
0.320839434798875	singlet
0.329503749710295	singlet
0.138858634910877	singlet
0.157492633122822	singlet
0.201327621421775	singlet
0.272493709062198	singlet
0.227409891016138	singlet
0.626916623969579	doublet
0.193389130919004	singlet
0.128470377382888	singlet
0.077121017313664	singlet
0.35432975602618	singlet
0.321838852708611	singlet
0.128864486214461	singlet
0.404499819309395	singlet
0.26373306877024	singlet
0.23232928031489	singlet
0.260755279787395	singlet
0.0910310866453892	singlet
0.0514322197884815	singlet
0.236052035220792	singlet
0.229004587013141	singlet
0.0720011579455868	singlet
0.304978880563935	singlet
0.249529431693058	singlet
0.337471648655051	singlet
0.152421084095453	singlet
0.247364955459328	singlet
0.0693085784287933	singlet
0.172722422434046	singlet
0.142639666763527	singlet
0.0695791250241686	singlet
0.123382887554444	singlet
0.102608250479972	singlet
0.247552887210653	singlet
0.300547687428055	singlet
0.146651655780788	singlet
0.178804448686468	singlet
0.0974895535363056	singlet
0.0590912737790556	singlet
0.219730012926294	singlet
0.203812650131455	singlet
0.368416367546978	singlet
0.294065211296686	singlet
0.24627629716682	singlet
0.0674941168848975	singlet
0.185401718985302	singlet
0.301398976196463	singlet
0.19527535037683	singlet
0.172581154786607	singlet
0.464644809578686	doublet
0.0765362938041826	singlet
0.357165939317339	singlet
0.200100600017139	singlet
0.136007851852859	singlet
0.269329754693403	singlet
0.590318542337223	doublet
0.21323321933105	singlet
0.268257491471937	singlet
0.31529027457589	singlet
0.201252102013494	singlet
0.226942017934205	singlet
0.232830539655788	singlet
0.496284670257717	doublet
0.126778479253824	singlet
0.35584559813601	singlet
0.146836795934976	singlet
0.101750163025986	singlet
0.0915251388840088	singlet
0.0707796633360202	singlet
0.0796339529572864	singlet
0.0297647976758049	singlet
0.186581014859056	singlet
0.118336820136428	singlet
0.706219191356741	doublet
0.161861215793295	singlet
0.104876578044455	singlet
0.450952062804302	doublet
0.064135538989238	singlet
0.097843865649587	singlet
0.771573012243023	doublet
0.0624965065644299	singlet
0.136996642756809	singlet
0.260781254505742	singlet
0.164156306752005	singlet
0.28012992455425	singlet
0.566453688552851	doublet
0.726148078400483	doublet
0.205180970442663	singlet
0.0705028467699669	singlet
0.300299190699577	singlet
0.446034219898772	doublet
0.265506780034198	singlet
0.162635790483725	singlet
0.0432526155158781	singlet
0.542598186927034	doublet
0.111989661892356	singlet
0.119465135207068	singlet
0.329616963698443	singlet
0.0785352300446756	singlet
0.574371592537622	doublet
0.324927933863834	singlet
0.0896249477814157	singlet
0.128808700708883	singlet
0.208211398149806	singlet
0.13026737670651	singlet
0.276249384279253	singlet
0.455615815922908	doublet
0.0620002653209778	singlet
0.386686663731834	singlet
0.369339072814776	singlet
0.0558205245690023	singlet
0.25703933637944	singlet
0.265698432512429	singlet
0.12586732634132	singlet
0.152375876377044	singlet
0.150702534414522	singlet
0.0380283051035883	singlet
0.240161983699086	singlet
0.281573653248685	singlet
0.108345465756785	singlet
0.205007279525164	singlet
0.393551955326506	singlet
0.323935366851062	singlet
0.395921982512035	singlet
0.125651051619746	singlet
0.135145417602528	singlet
0.450324795911975	doublet
0.116159526489146	singlet
0.047840269351188	singlet
0.124266091711539	singlet
0.562620670184142	doublet
0.243680172330631	singlet
0.0488260715884803	singlet
0.194244166928253	singlet
0.158363217569775	singlet
0.278623372118799	singlet
0.0357203643029369	singlet
0.116161501975311	singlet
0.337193771375341	singlet
0.391739431061594	singlet
0.243194245565215	singlet
0.094591100067484	singlet
0.433560050157109	singlet
0.312235398355448	singlet
0.0954595849735214	singlet
0.064296644016795	singlet
0.0580128002249683	singlet
0.106549018879119	singlet
0.386584633200724	singlet
0.114049270588377	singlet
0.201456730856665	singlet
0.175742287747488	singlet
0.224311917814243	singlet
0.0481981567576201	singlet
0.67242687547217	doublet
