p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
0.0610630416977297	0.151536671865339	0.556	0.523	1	RNF167	Control
0.197293072120282	0.151536671865339	0.162	0.14	1	CLASRP	Control
0.497771165306799	-0.151331786267454	0.106	0.116	1	TPRA1	Control
0.000679233686740111	0.150930333491539	0.991	0.99	1	VIM	Control
0.592618004626712	0.150864243495725	0.031	0.027	1	CCDC152	Control
0.203772881805506	0.150864243495725	0.153	0.131	1	SPG11	Control
0.427124047301315	0.150864243495725	0.097	0.086	1	BRAP	Control
0.49931317713395	0.150864243495725	0.065	0.058	1	TRAV16	Control
0.502082393222499	0.150864243495725	0.065	0.058	1	RAB2B	Control
0.502082393222499	0.150864243495725	0.065	0.058	1	MICALL1	Control
0.272882885806109	0.150864243495724	0.217	0.196	1	KATNBL1	Control
0.430968756834818	0.150864243495724	0.13	0.118	1	BOLA2-SMG1P6	Control
0.56452181404762	-0.150811427365189	0.102	0.11	1	ETV6	Control
0.63431207411039	-0.150811427365189	0.051	0.057	1	TOP3B	Control
0.407960025107906	-0.150587389001373	0.122	0.135	1	AKAP7	Control
0.389354164213169	-0.150432518619507	0.072	0.083	1	KLHDC4	Control
0.205049013891664	0.150394998072531	0.222	0.197	1	ATP6V0D1	Control
0.472767569514948	-0.150319067981231	0.164	0.176	1	TAF10	Control
0.331870310417921	-0.150232380582023	0.093	0.107	1	COIL	Control
0.210272222446014	0.150209811621999	0.302	0.277	1	ATG3	Control
0.364147974960941	0.150209811621999	0.161	0.146	1	RALGDS	Control
0.224492389365047	0.150149355484337	0.404	0.382	1	HMGN3	Control
0.141978712744439	0.150048931215823	0.296	0.265	1	NXT1	Control
0.344861526205595	0.150048931215823	0.069	0.058	1	MAPKAPK2	Control
0.441382855984361	0.150048931215823	0.068	0.059	1	SMPD2	Control
0.00184111731795868	0.149995542556704	0.923	0.909	1	SRP14	Control
0.537477194588396	-0.149917656531716	0.178	0.188	1	PABPN1	Control
