p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
1.15099786022482e-27	5.95006539411829	0.114	0.002	3.860216623622e-23	MIR4422HG	NoColitis
6.34708163962683e-27	6.46463856694805	0.091	0.001	2.12868424029805e-22	OVCH1-AS1	NoColitis
1.437560053178e-25	4.64151632903213	0.205	0.011	4.82128890634837e-21	CD8B2	NoColitis
4.61641839489392e-23	5.78656666183541	0.091	0.002	1.54825440127952e-18	N4BP3	NoColitis
1.5080557009468e-22	5.27199348900565	0.114	0.003	5.05771720983537e-18	GATD3A	NoColitis
5.57570665020149e-21	7.0496010676692	0.045	0	1.86998049634457e-16	UPK3B	NoColitis
5.57570665020149e-21	7.0496010676692	0.045	0	1.86998049634457e-16	AC009812.1	NoColitis
5.57570665020149e-21	7.0496010676692	0.045	0	1.86998049634457e-16	IGHV3-74	NoColitis
5.57570665020149e-21	7.0496010676692	0.045	0	1.86998049634457e-16	LGALS9C	NoColitis
1.0776922044082e-20	5.46463856694805	0.114	0.004	3.61436411514422e-16	CD4	NoColitis
1.09472719043022e-17	2.2337845668634	0.455	0.082	3.67149605126488e-13	XCL2	NoColitis
4.03702042068851e-16	4.97921173977781	0.091	0.003	1.35393590869051e-11	KCNQ5	NoColitis
4.65657054927879e-16	2.92621865216392	0.364	0.06	1.56172063081712e-11	SELENOM	NoColitis
8.71291862465738e-16	-3.35465500194374	0.545	0.908	2.92213864833759e-11	GZMB	NoColitis
1.62269352935084e-15	5.78656666183541	0.068	0.002	5.44218955873684e-11	IL5RA	NoColitis
1.67876595946704e-15	5.46463856694805	0.068	0.002	5.63024527486055e-11	BX284668.5	NoColitis
1.04837906358217e-14	-3.40021083495838	0.227	0.786	3.51605370344188e-10	RGS2	NoColitis
3.19435653456628e-14	6.46463856694805	0.045	0.001	1.07132329456284e-09	HES1	NoColitis
3.24344389178789e-14	6.0496010676692	0.045	0.001	1.08778621242782e-09	NUAK2	NoColitis
3.24344389178789e-14	6.0496010676692	0.045	0.001	1.08778621242782e-09	CXCL3	NoColitis
