Tem/Trm cytotoxic T cells.1	Follicular helper T cells	Type 1 helper T cells	Regulatory T cells	Type 1 helper T cells.1	Tcm/Naive helper T cells	Trm cytotoxic T cells	gamma-delta T cells	Tem/Trm cytotoxic T cells	Regulatory T cells.1	Cycling T cells	Plasmablasts
Glycolysis / Gluconeogenesis	0.794860124815182	0.665407068404972	0.77131344888333	0.964921555767359	0.857746781541845	0.59439164297861	0.885212851018735	1.16023473060926	0.970301872326985	0.909623587279487	1.62786513703643	1.79812119933781
Citrate cycle (TCA cycle)	0.773668525541154	0.698127813299146	0.770343827677914	0.947280516415425	0.832768126905323	0.692676676287511	0.949708380720067	1.13472179132874	0.975142166970157	0.935289733355039	1.47613071244899	1.81414172905054
Pentose phosphate pathway	0.701508380748136	0.67569052256782	0.736859266122045	0.93753528518631	0.8480034147249	0.677362848427601	0.8644055713289	1.34237498149326	0.841142043660862	0.865834549162298	1.71784245781606	1.7914406787618
Pentose and glucuronate interconversions	0.696245642568158	0.766343848771268	0.738685753946575	0.941120914321526	0.779367137777569	0.748048089323902	0.823710220611736	1.12178793477728	0.869286578302911	0.85560308443368	1.55085183028094	2.10894896488445
Fructose and mannose metabolism	0.762894622948265	0.71473753702179	0.766939383251074	1.00855912076468	0.88660822238422	0.699755419069324	0.954316305591987	1.21622397943543	0.937864881555569	0.941356738846024	1.48422683930294	1.6265169498287
Galactose metabolism	0.792062613551658	0.687625897246923	0.782090321761648	1.00535456526799	0.902344360064113	0.609244470911477	0.928731001002143	1.25799848321109	0.863074472401455	0.89237617863374	1.48488402775531	1.79421360819245
Ascorbate and aldarate metabolism	0.723151479874228	0.602454128112018	0.693657428789232	0.934155288560109	0.685484598492397	0.566728214831895	0.854034850961893	1.8070934883457	0.867899195733785	0.773948999548826	1.94577693306091	1.54561539368901
Starch and sucrose metabolism	0.813649257427904	0.815584187391781	0.785651640578867	1.22142254652341	0.86623546247605	0.698153947147655	0.96655328194284	1.25137408203255	1.04850803232106	1.01000994255272	1.19654421306467	1.32631340654049
Amino sugar and nucleotide sugar metabolism	0.79093723938367	0.758707071249234	0.802053299842845	0.965248793819624	0.89733935954706	0.667439220939766	0.966045017487594	1.28615745387523	0.954415979559676	0.912266685799456	1.44742326806497	1.55196661043087
Pyruvate metabolism	0.732670438445361	0.700379005986825	0.791985043461285	0.875616522119844	0.859639481949851	0.686669718879409	0.913200336746191	1.12661800159985	0.90051015573438	0.902130754566265	1.60540866617031	1.90517187434043
Glyoxylate and dicarboxylate metabolism	0.722228892525221	0.702611232016351	0.848881988198709	0.877467918954043	0.925828985709406	0.697543976276096	0.84947658752292	0.983975211849046	0.816355941716401	0.864915727696676	1.62979924374988	2.08091429378525
Propanoate metabolism	0.808899891349363	0.785325229339453	0.805738355811379	1.07354236193727	0.865672329777292	0.7463419965222	0.981346770448408	1.1585066950368	0.948554096623795	0.931941464944141	1.38411540648135	1.51001540172855
Butanoate metabolism	0.69930499057828	0.757762223943246	0.730784053956447	1.00765007106581	0.784361130219749	0.81425627402387	0.85507476251769	1.10513937478215	0.783151759709786	0.79896759297592	1.72256960551208	1.94097816071497
Inositol phosphate metabolism	0.895773454167968	0.844508663855715	0.799050146979974	1.05546888060305	0.857732949539558	0.763373617387919	0.931488059851286	1.29033132550608	0.998131760820709	0.932400728461245	1.07859660044926	1.55314381237723
Oxidative phosphorylation	0.808404918243187	0.723995106123946	0.825762094417657	1.06414824565223	0.889839137234089	0.80102704430571	0.90795400940275	0.960646577633814	0.995923321640059	1.02582202700365	1.4358545788692	1.56062293947371
Nitrogen metabolism	1.036165327148	0.837591926634278	0.900178168942068	1.02335205482605	0.872772249034734	0.857362882925321	0.88053664142506	1.18920355383031	0.974081067860079	0.992567228661906	1.17704474047144	1.25914415824075
Sulfur metabolism	0.790402057100774	0.664642190134534	0.844807626968969	1.10213520197453	0.933204821337139	0.67343444203394	0.904619653324209	1.2474579266269	0.994243967745615	0.982733091486832	1.35532180757101	1.50699721369555
Fatty acid biosynthesis	0.846340197970871	0.817639195114723	0.925354115288087	0.865948274692442	0.92313812517583	0.795480553202339	1.04189229020114	1.20095271008664	0.866816208201302	0.83176302297145	1.44148914209798	1.4431861649972
Fatty acid elongation	0.857220966132035	0.721198745992874	0.783137251523009	0.903976523418315	0.855951217050182	0.725939327190243	0.905780562576438	1.11706615525034	0.943937685215422	0.915068728996936	1.46322696452863	1.80749587212557
Fatty acid degradation	0.848145135108424	0.707803684836848	0.80453264140815	0.982337721748861	0.830313173974448	0.667100962028601	0.894772443043099	1.16601331408046	0.98109002463533	0.908418249456186	1.382697967843	1.8267746818366
