Cluster	CD14	CD3E	CD3D	CD3G	CD68	Cluster_Size	Clonotype_Pct	km_cluster	is_selected
c1	0.00800627177304295	14.2549073586984	8.03511057474649	3.51237487551939	0.0124841186214908	1135	0.994713656387665	2	TRUE
c2	0.00978449752121804	14.7050023470493	7.78653154364437	3.49209411151411	0.0107974217599865	1081	0.992599444958372	2	TRUE
c3	0.0115980364692128	13.6498147717888	7.62046665415067	3.04197735186519	0.0184351351296253	908	0.976872246696035	2	TRUE
c4	0.00254550082728777	13.921482039692	7.16471030243235	2.75667423623648	0.00238435860753457	900	0.988888888888889	2	TRUE
c5	0.00422912039568344	13.999896923046	6.74661055351997	3.13082946307398	0.00897717707101655	857	0.988331388564761	2	TRUE
c6	0	18.4106977830946	13.890437331107	5.01445246630822	0.0189224437475444	853	0.987104337631887	2	TRUE
c7	0.00188025095333424	16.8659837596658	10.4155769188714	5.04964334084489	0.0412883934944289	753	0.949535192563081	2	TRUE
c8	0	19.8406255015731	16.7940696098398	6.28528552471001	0.0113783947824887	751	0.992010652463382	2	TRUE
c9	0.00250831191862033	16.3104543018389	9.54927417530812	4.03409154022414	0.0166968148481312	645	0.945736434108527	2	TRUE
c10	0.00126941700246978	15.8581211610073	11.379814684267	4.06376593890563	0.00609110799952807	628	0.988853503184713	2	TRUE
c11	0	16.1814657514318	11.6159722979228	3.72124178818879	0.00511666385653028	555	0.998198198198198	2	TRUE
c12	0	14.5021512840518	10.0457225954815	4.90739272766145	0.0280229393025943	400	0.235	2	TRUE
c13	0.00165691077601748	16.9249448859024	18.2307557924991	5.38997425073579	0.0288996373126382	384	0.973958333333333	2	TRUE
c14	0	13.9050515662613	9.71497733641328	2.79921660396984	0.0134335822535973	381	0.989501312335958	2	TRUE
c15	0	15.2746185627757	12.2113378040223	3.20642381419181	0.0132689428877226	362	1	2	TRUE
c16	0	12.3056632476297	10.0760541550573	3.62385608313741	0.0256542541570391	338	0.928994082840237	2	TRUE
c17	0	10.9754322397367	9.82807190460401	3.4736633427649	0.0183373976291564	277	0.931407942238267	2	TRUE
c18	0	13.936866147535	12.0578053101978	4.70859071744941	0.0350811688608717	101	0.930693069306931	2	TRUE
c19	4.56991183464981	1.26261032757838	0.7823983547581	0.568147881270445	5.31083681785609	84	0.0952380952380952	1	FALSE
c20	0.00793662131681246	0.296081769971174	0.195019059363417	0.099110883027756	0.0281402466572828	54	0.0925925925925926	1	FALSE
