Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Adherens junction	4/71	0.0120438073830018	0.0348343967385282	4.77684746996724	21.1098666054401	RHOA;ACTB;ACTG1;RAC2	65	KEGG_2021_Human
TNF signaling pathway	5/112	0.0133347594177807	0.0377187514249651	3.74651916841503	16.1751512842419	JUNB;JUN;TNFAIP3;FOS;CCL5	66	KEGG_2021_Human
Focal adhesion	7/201	0.0134423209865567	0.0377187514249651	2.90382249374231	12.5135795253585	MYL12B;ACTB;MYL12A;RHOA;JUN;RAC2;ACTG1	67	KEGG_2021_Human
Huntington disease	9/306	0.0151826541244887	0.0419755731677041	2.44599522192883	10.2428536976555	TUBB;ATP5F1E;COX7C;TUBA1B;COX6A1;ATP5MC2;COX4I1;SLC25A6;SLC25A5	68	KEGG_2021_Human
Leishmaniasis	4/77	0.0158345525353575	0.0431434185021335	4.38289341797528	18.1695513954561	JUN;EEF1A1;FOS;CYBA	69	KEGG_2021_Human
B cell receptor signaling pathway	4/81	0.0187348247538918	0.0503163864818807	4.15436595924401	16.523455523559	JUN;IFITM1;FOS;RAC2	70	KEGG_2021_Human
Proteasome	3/46	0.0197352215191823	0.0518749198824889	5.56642500706148	21.8501683232443	PSMB9;PSME2;PSME1	71	KEGG_2021_Human
Platelet activation	5/124	0.0198669905932936	0.0518749198824889	3.36666095009432	13.192919750383	MYL12B;ACTB;MYL12A;ACTG1;RHOA	72	KEGG_2021_Human
Protein processing in endoplasmic reticulum	6/171	0.0207428753096237	0.0534200076467022	2.91877794336811	11.3118770089558	HSPA1A;HSPA1B;HSP90AA1;HSPA8;DNAJB1;HSP90AB1	73	KEGG_2021_Human
Influenza A	6/172	0.0212759720032458	0.0540524694136515	2.90104681019159	11.1695434666001	ACTB;ACTG1;DNAJB1;SLC25A6;SLC25A5;CCL5	74	KEGG_2021_Human
Colorectal cancer	4/86	0.0227956475253046	0.0571410897967636	3.90005948839976	14.7468490077904	RHOA;JUN;FOS;RAC2	75	KEGG_2021_Human
Cardiac muscle contraction	4/87	0.023667032818254	0.0585447653925231	3.85287491429131	14.4239007819748	TPM3;COX7C;COX6A1;COX4I1	76	KEGG_2021_Human
Axon guidance	6/182	0.0271232460268905	0.0662229902994209	2.7348174366617	9.8654823280766	MYL12B;CFL1;MYL12A;RHOA;CXCR4;RAC2	77	KEGG_2021_Human
MAPK signaling pathway	8/294	0.0320425200076666	0.0772306892492477	2.24978327457666	7.74081020756432	HSPA1A;HSPA1B;JUN;DUSP1;DUSP2;FOS;RAC2;HSPA8	78	KEGG_2021_Human
Chemokine signaling pathway	6/192	0.0339483264993371	0.0807884225553846	2.58646218931782	8.74978359759238	CCL4L2;RHOA;CXCR4;CCL5;CCL4;RAC2	79	KEGG_2021_Human
Viral protein interaction with cytokine and cytokine receptor	4/100	0.0368384189564468	0.0865702845476499	3.32892953929539	10.989508750227	CCL4L2;CXCR4;CCL5;CCL4	80	KEGG_2021_Human
C-type lectin receptor signaling pathway	4/104	0.0415898193811652	0.0953522688251105	3.19512195121951	10.1601678711812	CALM1;RHOA;JUN;LSP1	81	KEGG_2021_Human
NF-kappa B signaling pathway	4/104	0.0415898193811652	0.0953522688251105	3.19512195121951	10.1601678711812	CCL4L2;TNFAIP3;LCK;CCL4	81	KEGG_2021_Human
Parathyroid hormone synthesis, secretion and action	4/106	0.0440896227163805	0.0991346223800936	3.13215367447792	9.77711428039598	NR4A2;NACA;RHOA;FOS	83	KEGG_2021_Human
Cytosolic DNA-sensing pathway	3/63	0.0442941929783397	0.0991346223800936	3.98582995951417	12.4234401549329	CCL4L2;CCL5;CCL4	84	KEGG_2021_Human
Non-alcoholic fatty liver disease	5/155	0.0454209555224843	0.100460466332083	2.66666666666667	8.24475121344765	COX6A1;JUN;COX7C;COX4I1;FOS	85	KEGG_2021_Human
