p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_ref_annotations
0.230262542554691	1.30802040832044	0.667	0.3	1	RABGGTB	CD4 Proliferating
0.270210271132562	1.30636575159485	0.667	0.402	1	PPCS	CD4 Proliferating
0.516958059969334	1.30636575159485	0	0.123	1	PEX6	CD4 Proliferating
0.107620759196292	1.3053738677188	1	0.522	1	CCT7	CD4 Proliferating
0.0797530025304443	1.3053738677188	1	0.391	1	PQBP1	CD4 Proliferating
0.244989852481193	1.3053738677188	0.667	0.384	1	NENF	CD4 Proliferating
0.536418833144342	1.3053738677188	0	0.113	1	RIC3	CD4 Proliferating
0.659389835856722	1.3053738677188	0.333	0.214	1	TMEM18	CD4 Proliferating
0.908510299364711	1.30517557275032	0.333	0.434	1	APEX1	CD4 Proliferating
0.714153972798719	1.3038873193741	0.333	0.233	1	PAIP1	CD4 Proliferating
0.336769137775062	1.30359019342497	0.667	0.468	1	ANXA7	CD4 Proliferating
0.0308363757253337	1.30276216525545	1	0.707	1	TERF2IP	CD4 Proliferating
0.707931981765058	1.30240230118751	0.333	0.231	1	C15orf61	CD4 Proliferating
0.6968783593915	1.30091881001218	0.333	0.227	1	GNPAT	CD4 Proliferating
0.73045932592509	1.30081996481733	0.667	0.656	1	PRKCH	CD4 Proliferating
0.516243639482715	1.30042465174707	0	0.123	1	AKAP7	CD4 Proliferating
0.720735518154889	1.30042465174707	0.333	0.312	1	MITD1	CD4 Proliferating
0.0252951390115802	1.29953000335445	1	0.977	1	CD3D	CD4 Proliferating
0.513905550301653	1.29943684271095	0	0.125	1	REPIN1	CD4 Proliferating
0.744768926093454	1.29844970956201	0.333	0.328	1	CCDC115	CD4 Proliferating
0.507975223691761	1.29844970956201	0	0.128	1	SCAMP1	CD4 Proliferating
0.518787239019145	1.29844970956201	0	0.122	1	RIOK2	CD4 Proliferating
0.520628684993791	1.29844970956201	0	0.121	1	EMSY	CD4 Proliferating
0.904697369413384	1.29805504534374	0.333	0.435	1	INPP4B	CD4 Proliferating
0.695074193264876	1.29795639615632	0.333	0.226	1	CRTC3	CD4 Proliferating
0.696436817474391	1.29795639615632	0.333	0.226	1	USP33	CD4 Proliferating
0.518978751566624	1.29746325137596	0	0.122	1	FNIP1	CD4 Proliferating
0.721730447473858	1.29746325137596	0.333	0.236	1	ATAD1	CD4 Proliferating
0.659394147913698	1.2969702751057	0.333	0.215	1	FAM110A	CD4 Proliferating
0.518604548645793	1.2964774672304	0	0.122	1	TRMU	CD4 Proliferating
0.715002919657909	1.2964774672304	0.333	0.233	1	KAT8	CD4 Proliferating
0.158302078988589	-1.29618379339219	0	0.418	1	AQP3	CD4 Proliferating
0.787815100236891	1.29598482763508	0.333	0.36	1	PSMD2	CD4 Proliferating
0.0410362611500134	1.29492973748234	1	0.789	1	CDC37	CD4 Proliferating
0.652795317096188	1.29450791738064	0.333	0.213	1	SEC14L1	CD4 Proliferating
