p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_ref_annotations
3.33188088762427e-07	4.36096619368212	0.667	0.046	0.0111744621209143	ALDH6A1	CD4 Proliferating
3.37877876646783e-07	3.59059018424964	1	0.101	0.0113317482269798	DENND4B	CD4 Proliferating
3.72589824451029e-07	4.25248156340372	0.667	0.046	0.0124959175324386	CCDC152	CD4 Proliferating
3.79165942797358e-07	5.75689487001326	0.333	0.012	0.0127164673895378	AC005037.1	CD4 Proliferating
3.85052906042247e-07	4.34729125678504	0.667	0.047	0.0129139043628449	HNRNPUL2	CD4 Proliferating
3.9718560494842e-07	4.3720002439571	0.667	0.047	0.0133208108187601	AC078883.1	CD4 Proliferating
4.23360466181599e-07	5.73536170846362	0.333	0.012	0.0141986633147985	PROB1	CD4 Proliferating
4.28826034305426e-07	5.68289428856948	0.333	0.012	0.0143819675385354	WDR90	CD4 Proliferating
5.27908979896028e-07	5.66243018600977	0.333	0.012	0.017705011367753	PGBD4	CD4 Proliferating
5.56143733337473e-07	4.25758845383681	0.667	0.048	0.0186519485286722	ZNF85	CD4 Proliferating
5.66946947076377e-07	6.19746746139924	0.333	0.013	0.0190142667110475	ZNF90	CD4 Proliferating
6.67692614223902e-07	4.21133519112715	1	0.124	0.0223930748958412	WASHC5	CD4 Proliferating
9.441039063716e-07	5.67262595311565	0.333	0.013	0.0316633568118907	MEGF8	CD4 Proliferating
9.50989860209804e-07	5.64225230407213	0.333	0.013	0.0318942979317164	AC020911.2	CD4 Proliferating
9.86812981196864e-07	4.22471229759012	0.667	0.05	0.0330957337633804	FAM111A-DT	CD4 Proliferating
1.1391715672669e-06	5.65230596873606	0.333	0.013	0.0382055360229972	MED14OS	CD4 Proliferating
1.14935986904025e-06	4.23726846945721	0.667	0.05	0.0385472312878719	ZNF318	CD4 Proliferating
1.16233715917052e-06	5.87357785017859	0.333	0.013	0.0389824636442608	NTRK1	CD4 Proliferating
1.18030509702198e-06	4.89093141692886	0.667	0.053	0.039585072343923	ARHGEF18	CD4 Proliferating
1.2262143468368e-06	4.54539076481955	0.667	0.053	0.0411247767642128	AGO1	CD4 Proliferating
1.42521584963275e-06	3.616436012268	1	0.12	0.0477988891649832	PRPF39	CD4 Proliferating
