pathway	pval	padj	log2err	ES	NES	size	leadingEdge	seurat_clusters
Oxidative phosphorylation	19.5799968825161	4.47148768366135e-19	1.16906996676109	0.717117871684104	2.19611386353557	104	COX5A,COX4I1,NDUFB4,COX6B1,ATP6V1G1,NDUFB2,ATP5MC2,NDUFV2,ATP6V0E1,NDUFB9,NDUFA3,NDUFV1,ATP5F1E,UQCRQ,COX7A2,COX7C,ATP5MF,UQCRC2,UQCR10,UQCRH,ATP5F1A,NDUFA2,COX5B,ATP5ME,COX6A1,ATP5PF,COX7B,ATP5PB,NDUFS8,ATP6V0C,NDUFB1,COX7A2L,NDUFA12,COX8A,UQCRB,COX6C,ATP6V0E2,NDUFB7,NDUFB11,ATP5MC3,NDUFA11,ATP6V1F,NDUFA4,ATP5MG,ATP5F1D,SDHD,NDUFS5,ATP6V0B,ATP5PD,ATP5F1C,ATP5F1B,SDHC,UQCR11,NDUFA1,NDUFA6,UQCRFS1,NDUFC1,PPA1,NDUFA13,NDUFAB1,ATP5MC1,NDUFS6,NDUFB3,NDUFB6,NDUFS7,NDUFB5,COX17,NDUFA5,NDUFB10,CYC1,NDUFC2,NDUFS2,SDHA,NDUFA10,UQCRC1	c1
Fatty acid biosynthesis	1.75553504651279	0.149239532252203	0.352487857583619	-0.508860759493671	-1.59715091112666	10	ACACB,OXSM,MCAT,ACSL1,ACSL4,ACACA,FASN,ACSL6,ACSL5,ACSL3	c1
Oxidative phosphorylation	19.9029098881384	2.37598509996476e-19	1.1778932614942	0.71945661138979	2.19704830533193	105	ATP5PF,NDUFV2,COX6C,PPA1,COX6A1,ATP5F1E,ATP6V1F,COX7A2,NDUFA6,COX6B1,NDUFA1,COX7A2L,NDUFA13,NDUFB9,ATP6V1G1,ATP5PD,NDUFB10,ATP5MF,UQCR10,ATP5PB,UQCRQ,ATP5F1C,UQCRB,COX17,ATP5MC2,ATP5F1A,COX5B,ATP5ME,NDUFA3,ATP5MG,ATP6V0C,COX4I1,COX5A,COX7B,NDUFA4,NDUFC1,ATP5F1B,COX8A,ATP5F1D,NDUFB2,NDUFS7,NDUFA11,ATP6V0E1,NDUFV1,NDUFB3,ATP6V0B,UQCRH,ATP5MC3,NDUFB4,COX7C,UQCR11,NDUFA2,NDUFAB1,NDUFB11,UQCRFS1,NDUFS6,NDUFS5,NDUFB1,SDHD,UQCRC2,SDHC,NDUFC2,NDUFB5,NDUFA12,ATP5MC1,NDUFB7,UQCRC1,NDUFS8,NDUFA5,ATP6V0E2,NDUFB6,TCIRG1	c2
Fatty acid biosynthesis	0.543445138036391	1	0.203508959461977	-0.351898734177215	-1.22984333151562	11	ACSBG1,ACACB,ACSL1,MCAT,FASN,OXSM,ACACA,ACSL4,ACSL3,ACSL6,ACSL5	c2
Oxidative phosphorylation	20.7926741842727	2.90133796428069e-20	1.20397524075264	0.683814732292396	2.65275375381603	105	COX4I1,COX7B,UQCR11,COX7C,NDUFS5,ATP5MC2,ATP5MG,ATP5F1A,NDUFA1,UQCRH,UQCRB,ATP5F1D,ATP6V0C,ATP5F1C,ATP5F1B,NDUFB2,ATP5MF,ATP5PF,ATP5PB,COX8A,COX7A2L,NDUFB11,COX6C,NDUFA3,ATP5ME,PPA1,ATP6V1G1,COX5B,COX7A2,NDUFV2,NDUFA4,COX5A,COX6B1,ATP6V0E1,UQCRC2,NDUFS8,NDUFA13,NDUFA12,ATP6V0B,UQCR10,ATP6V1F,NDUFB10,SDHC,NDUFB9,NDUFB3,UQCRQ,NDUFS7,NDUFB4,COX6A1,NDUFB7,NDUFB5,NDUFAB1,COX17,NDUFA2,NDUFV1,ATP5MC3,ATP5PD,NDUFA6,NDUFA11,TCIRG1,ATP6AP1,UQCRFS1,NDUFS6,SDHA,NDUFC1,NDUFC2,ATP5MC1,NDUFB1,SDHD,NDUFA5	c7
Fatty acid biosynthesis	0.983968558304214	0.564206268958544	0.287805130535564	-0.371967654986523	-1.40476000147323	10	ACACB,ACSL1,ACACA,MCAT,FASN,OXSM,ACSL6,ACSL4,ACSL3,ACSL5	c7
Oxidative phosphorylation	19.9681750947259	1.93685634374629e-19	1.1778932614942	0.676069512743483	2.66108186128549	102	ATP5F1B,ATP5F1D,UQCR11,NDUFS5,NDUFB2,NDUFA4,UQCRQ,COX8A,NDUFA3,ATP6V1G1,NDUFB9,COX5A,NDUFA1,ATP6V0E1,ATP5F1C,COX7A2L,ATP5PD,COX4I1,UQCRB,COX7C,NDUFB11,ATP5MC3,COX6B1,ATP5F1A,ATP5MF,COX6C,UQCRH,ATP6V0C,ATP5MC2,ATP5PB,NDUFB4,NDUFS7,ATP5F1E,COX7B,UQCR10,NDUFA12,ATP5PF,NDUFV1,COX6A1,COX5B,NDUFC2,ATP5MG,COX7A2,NDUFB7,NDUFB10,NDUFA6,COX17,NDUFS8,NDUFA2,NDUFV2,SDHA,ATP5ME,ATP6V1F,NDUFA13,NDUFB3,ATP6V0E2,SDHD,NDUFC1,NDUFA11,NDUFB6,PPA1,NDUFS6,CYC1,ATP6AP1,UQCRFS1,NDUFB1,UQCRC1,SDHC,ATP6V0B,ATP5MC1,NDUFAB1,NDUFA8,TCIRG1,ATP6V1E1,NDUFA9,NDUFA5,SDHB,NDUFS2,NDUFB5	c6
Fatty acid biosynthesis	0.975608854927799	0.459026066993795	0.287805130535564	-0.374301675977654	-1.29939326024888	9	ACACB,OXSM,ACACA,FASN,MCAT,ACSL6,ACSL4,ACSL3,ACSL5	c6
Oxidative phosphorylation	17.8014087742571	3.0015447780846e-17	1.11466447751729	0.674630567519434	2.29519509247603	105	UQCRB,PPA1,UQCR11,NDUFA1,UQCR10,ATP5MF,ATP6V0E1,COX5B,NDUFB9,ATP5MC2,COX6B1,NDUFA4,ATP5F1D,NDUFV2,ATP5MC3,ATP5F1A,ATP5PF,NDUFA6,ATP6V1G1,COX5A,NDUFB11,COX7B,ATP5PD,ATP5MG,COX8A,NDUFB4,ATP5ME,ATP5F1C,COX6C,SDHD,UQCRC2,COX7A2L,NDUFS5,COX4I1,NDUFB2,NDUFB10,ATP6V0C,NDUFS7,COX7C,ATP5PB,NDUFA3,NDUFA13,COX7A2,UQCRH,NDUFA5,NDUFV1,UQCRQ,ATP5F1B,NDUFB7,COX6A1,COX17,ATP6V1F,NDUFS8,NDUFB1,UQCRFS1,NDUFC1,ATP6V0B,NDUFA11,SDHC,ATP5F1E,NDUFAB1,NDUFA12,NDUFA2,ATP6V0E2,TCIRG1,NDUFB3,NDUFB6,NDUFA10,ATP5MC1,NDUFS6,NDUFB5,ATP6AP1,NDUFC2,SDHA,CYC1,NDUFS2,UQCRC1,SDHB	c5
Fatty acid biosynthesis	1.58000375861876	0.24987329668238	0.352487857583619	-0.449612403100775	-1.55642945853218	11	ACSBG1,ACACB,MCAT,FASN,ACSL1,ACACA,OXSM,ACSL3,ACSL4,ACSL6,ACSL5	c5
Oxidative phosphorylation	24.2800084781626	8.92155265875357e-24	1.29512308741004	0.73766322741409	2.50894698849397	104	UQCRH,UQCRB,NDUFB4,COX7A2,NDUFB2,COX6C,NDUFS5,ATP6V1G1,NDUFV2,UQCR11,COX5A,NDUFA3,COX7B,ATP6V0C,NDUFC1,ATP6V0E1,NDUFA4,ATP5ME,NDUFA1,COX8A,UQCRC2,COX7A2L,COX4I1,ATP5F1A,ATP5F1D,UQCRFS1,UQCR10,NDUFA11,PPA1,COX5B,ATP5MF,COX6B1,NDUFA13,COX7C,NDUFV1,ATP5MG,NDUFS7,ATP5F1B,ATP5F1C,NDUFS8,NDUFA12,NDUFB9,ATP6V0B,NDUFB11,ATP6V1F,COX17,NDUFA2,COX6A1,UQCRQ,ATP5PD,NDUFB10,NDUFAB1,ATP5MC2,ATP6V0E2,ATP5MC3,SDHD,ATP5PF,NDUFB1,ATP5PB,NDUFB7,NDUFC2,ATP5F1E,NDUFB3,SDHC,NDUFA6,NDUFS2,UQCRC1,NDUFB5,TCIRG1,CYC1,SDHA,ATP5MC1,NDUFA5,NDUFA10,NDUFB6,ATP6AP1,NDUFS6	c4
