p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_ref_annotations
3.77109834455426e-07	2.46703728211596	0.027	0.005	0.0126475096279661	AK4	CD4 TEM
4.04096688618096e-07	0.502662655620801	0.638	0.498	0.0135525947428737	STOM	CD4 TEM
4.1886006926764e-07	0.305572231363978	1	0.997	0.0140477290030981	MT-CYB	CD4 TEM
4.3016771829738e-07	0.294727819150236	1	0.999	0.0144269649362575	RPS18	CD4 TEM
4.64490965029724e-07	0.377403486778442	0.953	0.909	0.0155780979851669	CD7	CD4 TEM
4.7674320725818e-07	3.84143279689746	0.012	0.001	0.0159890136850249	LINC00221	CD4 TEM
5.55703137293395e-07	0.546731017297447	0.533	0.388	0.0186371718185459	ARL2BP	CD4 TEM
6.90950653948183e-07	0.326349255080656	0.984	0.989	0.0231731030321142	MT-ND1	CD4 TEM
7.2874490732713e-07	0.734766286339871	0.463	0.338	0.0244406467019373	PTGER2	CD4 TEM
7.52791398597411e-07	0.264006966561145	1	1	0.02524711792616	RPS4X	CD4 TEM
7.8484764351406e-07	0.492718238567342	0.591	0.435	0.0263222202681745	MGST3	CD4 TEM
7.93589777004012e-07	1.77239115246781	0.062	0.019	0.0266154139411606	FMO4	CD4 TEM
8.00928653417719e-07	0.57106997749935	0.366	0.231	0.0268615451783235	GPR15	CD4 TEM
8.12948361553736e-07	0.836122908529807	0.288	0.172	0.0272646621497892	AUTS2	CD4 TEM
8.38848398270257e-07	0.903837304748177	0.315	0.199	0.0281332975811879	RIN3	CD4 TEM
8.95026256775114e-07	0.600183838185495	0.389	0.251	0.0300173905997238	LINC02446	CD4 TEM
9.15607329469392e-07	0.870837435466246	0.249	0.141	0.0307076386157445	CD244	CD4 TEM
9.42648896447471e-07	0.91684019955548	0.179	0.089	0.0316145586890553	PDE4A	CD4 TEM
1.11874250405477e-06	3.35600596972722	0.016	0.002	0.037520386100989	S1PR3	CD4 TEM
1.135980845042e-06	2.81341842072786	0.035	0.008	0.0380985255810185	SPRY2	CD4 TEM
1.24299971296268e-06	0.523819194689676	0.654	0.539	0.0416877243733423	ABI3	CD4 TEM
