Gene	Rank
ITPKA	-0.0210118909512379
COX6A2	-0.0210120273560712
ENPP1	-0.0210120631734806
CYB5R2	-0.0210125908389738
MIOX	-0.0210134537020251
PLCB4	-0.0210137929670937
KL	-0.0210141260284272
GFPT1	-0.0220031431829757
UAP1L1	-0.0221235953587332
INPP4A	-0.0252381588283469
ATP6AP1	-0.0256357150251121
BCKDHA	-0.0257268838970862
ALDOC	-0.025761706784597
BPNT1	-0.0268468926757161
GNPDA2	-0.0275620889435559
PMM1	-0.0285030822049769
NDUFB9	-0.0293190764371529
LDHD	-0.0297208225648761
ACOT1	-0.0297211660796649
ENPP3	-0.0297214734761377
MTMR7	-0.0297215737531435
ACSM1	-0.0297221262983618
ATP6V1G3	-0.0297227293699005
CPS1	-0.0297229536776785
ALDH7A1	-0.0297233446862462
PGAM2	-0.0297235563545592
CA4	-0.0297236716458229
MTMR4	-0.0300427435864944
ATP6V1D	-0.0305818440061427
ATP6V1C1	-0.0324278278734201
HEXA	-0.0327620720502965
MPI	-0.0327849828646845
INPPL1	-0.0328790434632159
ACACA	-0.0329417823744279
NDUFB11	-0.0341863528665534
INPP4B	-0.034228439031403
PIK3C2B	-0.0343622704468872
COX5A	-0.0354577351419759
UQCRQ	-0.0354760232357209
ITPK1	-0.0356714329881757
CDIPT	-0.036026075738553
SQOR	-0.0362253551698266
ATP12A	-0.0364069028735365
CYB5RL	-0.0364090480210286
B4GALT2	-0.0364091836631378
SUCLA2	-0.0365261488367057
HK1	-0.037153399817898
ATP5PO	-0.0374289172187983
TSTA3	-0.03779740627516
GNPDA1	-0.0378015249754189
MINPP1	-0.0383361071222922
ATP6V1F	-0.0385156262489046
HAGH	-0.0389101403494575
ELOVL1	-0.0399035454908139
ACO2	-0.0400599859842805
AACS	-0.0406075280610337
NDUFS8	-0.0407143985880771
PLCB3	-0.0412007966487565
GLUD1	-0.041343184845528
ATP6V1B2	-0.0414618223842923
NDUFV3	-0.0415944476065548
COX6A1	-0.0416971450750579
ACSBG1	-0.0420496096359991
GCK	-0.0420520133325437
ALDH2	-0.0420521717239423
ISPD	-0.0420533780046595
CA6	-0.0420543033472019
BCKDHB	-0.0422269493656119
INPP5F	-0.0424587520472142
ACSL4	-0.0426647103092878
ALDH1B1	-0.0426690544488341
