seurat_clusters	patient	.n
Trm cytotoxic T cells	Lung1	75
Trm cytotoxic T cells	Lung2	178
Trm cytotoxic T cells	Lung3	134
Tem/Trm cytotoxic T cells	Lung1	107
Tem/Trm cytotoxic T cells	Lung2	306
Tem/Trm cytotoxic T cells	Lung3	385
Regulatory T cells	Lung1	205
Regulatory T cells	Lung2	288
Regulatory T cells	Lung3	218
Regulatory T cells.1	Lung1	324
Regulatory T cells.1	Lung2	230
Regulatory T cells.1	Lung3	231
Trm cytotoxic T cells.1	Lung1	58
Trm cytotoxic T cells.1	Lung2	57
Trm cytotoxic T cells.1	Lung3	542
Regulatory T cells.2	Lung1	315
Regulatory T cells.2	Lung2	196
Regulatory T cells.2	Lung3	151
Regulatory T cells.3	Lung1	243
Regulatory T cells.3	Lung2	170
Regulatory T cells.3	Lung3	194
Tem/Trm cytotoxic T cells.1	Lung1	76
Tem/Trm cytotoxic T cells.1	Lung2	63
Tem/Trm cytotoxic T cells.1	Lung3	236
Regulatory T cells.4	Lung1	77
Regulatory T cells.4	Lung2	114
Regulatory T cells.4	Lung3	84
Regulatory T cells.5	Lung1	32
Regulatory T cells.5	Lung2	66
Regulatory T cells.5	Lung3	92
Tem/Trm cytotoxic T cells.2	Lung1	23
Tem/Trm cytotoxic T cells.2	Lung2	17
Tem/Trm cytotoxic T cells.2	Lung3	12
