Regulatory T cells	Tem/Trm cytotoxic T cells	Regulatory T cells.1	Regulatory T cells.2	Trm cytotoxic T cells	gamma-delta T cells	Trm cytotoxic T cells.1	Trm cytotoxic T cells.2	Regulatory T cells.3	Regulatory T cells.4
Normal	178	233	180	16	568	47	445	208	83	24
Tumor	1456	1214	951	1026	316	679	239	365	376	368
