p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
4.63288439512509e-58	-4.66998989924772	0.013	0.28	1.55377676843705e-53	PTGDR	Colitis
2.75924839500593e-49	-2.64066932557749	0.07	0.516	9.25396726717088e-45	XCL2	Colitis
9.92305278620328e-34	1.84138191532182	0.997	0.925	3.32799344343686e-29	CD7	Colitis
1.13433487597225e-32	-3.29331160024655	0.155	0.613	3.80433230703572e-28	CCL4L2	Colitis
6.95720888217243e-32	-2.02344587443212	0.478	0.935	2.33330871490299e-27	CTSW	Colitis
9.82062110061665e-32	3.46195851877915	0.916	0.57	3.29363990472481e-27	GZMB	Colitis
2.66434104412451e-30	-4.72657342761408	0.005	0.129	8.9356669937848e-26	ZSCAN18	Colitis
3.87457815215403e-29	-2.80325643011118	0.087	0.441	1.29945602066942e-24	EOMES	Colitis
9.15968381064162e-29	3.68396451494377	0.787	0.226	3.07197475641299e-24	LINC02446	Colitis
1.40845515211672e-28	2.12298805456421	0.922	0.538	4.72367688916904e-24	ISG20	Colitis
4.50813171058073e-27	1.44246653272745	0.996	0.968	1.51193721309457e-22	RARRES3	Colitis
2.50922130800591e-26	1.13727430724153	0.993	0.968	8.41542642279022e-22	ATP5MG	Colitis
8.73927688704514e-26	1.25032846503604	0.998	0.989	2.9309786823772e-21	CD52	Colitis
1.75252516782598e-25	2.84627294198626	0.77	0.194	5.87761890785476e-21	CTLA4	Colitis
4.11526796386979e-25	0.764621204513887	1	1	1.38017856972265e-20	HLA-B	Colitis
4.88993379693418e-25	1.14064847550716	0.995	0.957	1.63998599681579e-20	HMGB1	Colitis
1.26975517070728e-24	1.23581272829431	0.985	0.86	4.25850489151809e-20	LIMD2	Colitis
2.81995249078761e-24	-6.34806180436035	0.001	0.065	9.45755666360349e-20	SLC4A4	Colitis
4.21758274580432e-24	1.1072198471283	0.998	0.957	1.41449290128785e-19	CCL5	Colitis
4.39056355704633e-24	0.884924147069371	1	1	1.4725072057622e-19	PTPRCAP	Colitis
1.24191306112566e-23	1.45108852580771	0.952	0.753	4.16512802440325e-19	CYTOR	Colitis
2.23688738703473e-23	0.893334453771351	0.994	0.882	7.50207291863706e-19	CD8A	Colitis
2.35052073044479e-23	0.909363605091603	0.998	0.978	7.88317642576574e-19	SARAF	Colitis
3.17483046848357e-23	1.72913091856921	0.888	0.516	1.06477464252002e-18	CBLB	Colitis
4.13372447796008e-23	2.06425252698411	0.862	0.419	1.38636851541825e-18	LINC01871	Colitis
4.19898546346319e-23	2.58757584529372	0.796	0.323	1.40825574473628e-18	RGS2	Colitis
4.30117685234072e-23	2.02012259904651	0.824	0.28	1.44252869273803e-18	CD38	Colitis
1.91311873334931e-22	1.75767956763775	0.94	0.796	6.41621760790692e-18	PRF1	Colitis
2.2319917942758e-22	1.61359942952087	0.927	0.688	7.48565407964217e-18	ID2	Colitis
9.97129905536788e-22	1.44025103011947	0.979	0.763	3.34417427718928e-17	TNFAIP3	Colitis
1.01902610905531e-21	1.99123149581974	0.916	0.688	3.4176097645497e-17	LAG3	Colitis
1.10176265953784e-21	1.22029314588091	0.941	0.753	3.69509160755802e-17	RGS10	Colitis
1.33516311765989e-21	1.14993815725726	0.969	0.86	4.47787006400773e-17	LDHB	Colitis
3.44967709625471e-21	2.32121698229428	0.774	0.333	1.1569527045419e-16	CLIC3	Colitis
3.76501503241164e-21	0.736702000764303	1	1	1.26271074157022e-16	RPS15A	Colitis
6.3586607276094e-21	0.885973809250054	0.999	1	2.13256763482564e-16	BTF3	Colitis
2.06179299120332e-20	1.06078991426138	1	1	6.91484133389769e-16	FTH1	Colitis
2.09305014189078e-20	-4.18759713216711	0.01	0.129	7.0196715658733e-16	CD8B2	Colitis
3.65323119019796e-20	1.10275961439411	1	1	1.22522067656859e-15	GAPDH	Colitis
4.04360813449697e-20	1.64785855759011	0.837	0.538	1.35614529614759e-15	MIR4435-2HG	Colitis
5.99185702035797e-20	-2.51348541356773	0.045	0.269	2.00954900748765e-15	DTHD1	Colitis
6.67502253512192e-20	-6.15541672641796	0.001	0.054	2.23866905782919e-15	IL5RA	Colitis
1.1139800126455e-19	0.963208196916215	0.992	0.968	3.73606616641048e-15	ATP5MC2	Colitis
1.6967977757074e-19	-6.66998989924772	0	0.043	5.69072038016748e-15	RAB27B	Colitis
1.84452669788434e-19	1.41733922086732	0.962	0.731	6.18617363936449e-15	RGS1	Colitis
2.42485074698571e-19	0.79316288482865	0.999	1	8.13246443524067e-15	RACK1	Colitis
