Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Ribosome	74/158	8.01092317296524e-101	1.55411909555526e-98	98.4364177489177	22687.6539503967	RPL22;RPS8;RPL21;RPS9;RPL24;RPS6;RPS7;RPSA;FAU;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPL15;RPL14;RPS5;RPL17;RPS2;RPS3;RPL19;RPL18;RPL41;RPS27;RPS26;RPS29;RPS28;RPL27A;RPS21;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS11;RPS14;RPS13;RPL13A;RPS3A;RPL37A;RPS15A;RPS27A;RPL35A;RPL23A;UBA52;RPLP0;RPLP2;RPLP1;RPL10A;RPS4X;RPL18A;RPL7A	1	KEGG_2021_Human
Coronavirus disease	76/232	5.84412891190033e-89	5.66880504454332e-87	54.8608900677866	11145.7927461151	RPL22;RPL21;RPL24;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPL15;RPL14;RPL17;RPL19;RPL18;RPL41;RPS27;RPS26;RPS29;RPS28;RPL27A;RPS21;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS11;RPS14;RPS13;JUN;RPS15A;RPS27A;FOS;RPLP0;RPLP2;RPLP1;RPL18A;RPS8;RPS9;RPS6;RPS7;RPSA;FAU;RPS5;RPS2;RPS3;RPL13A;RPS3A;RPL37A;RPL35A;RPL23A;UBA52;RPL10A;RPS4X;RPL7A	2	KEGG_2021_Human
Antigen processing and presentation	15/78	4.044399397612e-14	2.61537827712242e-12	19.9463019250253	615.12117753046	CD74;HSP90AA1;HSPA5;HSPA8;HSPA1A;CALR;HSPA1B;B2M;HLA-C;HLA-A;HLA-B;HLA-E;PSME2;PSME1;HSP90AB1	3	KEGG_2021_Human
Salmonella infection	19/249	3.73058207431464e-10	1.8093323060426e-08	6.98061358930924	151.544141447628	PFN1;MYL12B;ACTB;S100A10;MYL12A;RHOA;JUN;TUBB;PTPRC;ARPC1B;FOS;TUBA1B;RPS3;ARPC3;ARPC2;ACTG1;HSP90AA1;GAPDH;HSP90AB1	4	KEGG_2021_Human
Parkinson disease	16/249	1.05463681762408e-07	4.09199085238142e-06	5.72744946993874	92.0108983618112	CALM1;DUSP1;TUBB;ATP5F1E;RPS27A;ATP5F1B;TUBA1B;COX6A1;ATP5MC2;UBC;UBB;HSPA5;COX4I1;SLC25A6;UBA52;SLC25A5	5	KEGG_2021_Human
Glycolysis / Gluconeogenesis	9/67	1.46717017294128e-07	4.74385022584348e-06	12.6790671054514	199.502079929987	TPI1;ALDOA;LDHB;LDHA;PGK1;PGAM1;PKM;GAPDH;ENO1	6	KEGG_2021_Human
Prion disease	16/273	3.68236034533614e-07	1.02053986713602e-05	5.18620506169144	76.8312511833138	HSPA1A;HSPA1B;TUBB;ATP5F1E;ATP5F1B;TUBA1B;RAC2;COX6A1;CYBA;ATP5MC2;HSPA5;HSPA8;COX4I1;SLC25A6;SLC25A5;CCL5	7	KEGG_2021_Human
Human immunodeficiency virus 1 infection	14/212	4.82250118168985e-07	1.12196253556178e-05	5.85790104434172	85.2020163326959	CALM1;B2M;HLA-C;HLA-A;HLA-B;HLA-E;JUN;CALR;CD3E;CD3D;FOS;CXCR4;RAC2;CFL1	8	KEGG_2021_Human
Shigellosis	15/246	5.20498083508043e-07	1.12196253556178e-05	5.39347886156397	78.0354390483316	PFN1;MYL12B;ACTB;MYL12A;RHOA;JUN;ARPC1B;RPS27A;ARPC3;ARPC2;ACTG1;UBC;UBB;UBA52;CCL5	9	KEGG_2021_Human
Human T-cell leukemia virus 1 infection	14/219	7.13493927631027e-07	1.38417821960419e-05	5.65584952459694	80.0477581549585	RAN;B2M;HLA-C;HLA-A;HLA-B;HLA-E;JUN;CALR;CD3E;CD3D;FOS;ZFP36;SLC25A6;SLC25A5	10	KEGG_2021_Human
Pathogenic Escherichia coli infection	13/197	1.25409696210257e-06	2.21177100588999e-05	5.83282883874518	79.2628640214201	ACTB;RHOA;JUN;TUBB;ARPC1B;FOS;TUBA1B;RPS3;ARPC3;ARPC2;NCL;ACTG1;GAPDH	11	KEGG_2021_Human
Fluid shear stress and atherosclerosis	11/139	1.42814306693607e-06	2.30883129154665e-05	7.05550470711297	94.9609939595415	CALM1;ACTB;CYBA;ACTG1;RHOA;HSP90AA1;JUN;DUSP1;FOS;HSP90AB1;RAC2	12	KEGG_2021_Human
Lipid and atherosclerosis	13/215	3.31706351020801e-06	4.75475332563725e-05	5.30818398295526	66.9703351052992	HSPA1A;CALM1;HSPA1B;RHOA;JUN;FOS;CYBA;HSP90AA1;HSPA5;HSPA8;HSP90AB1;HSPD1;CCL5	13	KEGG_2021_Human
Phagosome	11/152	3.43126528654235e-06	4.75475332563725e-05	6.40075373156473	80.5380053390916	ACTB;HLA-C;HLA-A;CYBA;HLA-B;HLA-E;ACTG1;CORO1A;TUBB;CALR;TUBA1B	14	KEGG_2021_Human
Regulation of actin cytoskeleton	13/218	3.8625815956911e-06	4.99560553042715e-05	5.22970052485335	65.1839014456533	PFN1;MYL12B;ACTB;MYL12A;RHOA;ARPC1B;TMSB4X;CXCR4;RAC2;CFL1;ARPC3;ARPC2;ACTG1	15	KEGG_2021_Human
Kaposi sarcoma-associated herpesvirus infection	12/193	5.97036937508519e-06	7.23907286729079e-05	5.45122800501416	65.5711959013469	CALM1;HLA-C;HLA-A;HLA-B;HLA-E;JUN;RPS27A;FOS;ZFP36;UBC;UBB;UBA52	16	KEGG_2021_Human
Yersinia infection	10/137	8.89213454506704e-06	9.83200602151197e-05	6.43799212598425	74.8760594309656	ACTB;FYB1;ARPC3;ARPC2;ACTG1;RHOA;JUN;ARPC1B;FOS;RAC2	17	KEGG_2021_Human
Tight junction	11/169	9.49744588298835e-06	9.83200602151197e-05	5.7071129707113	65.999837466534	MYL6;MYL12B;ACTB;MYL12A;ARPC3;ARPC2;ACTG1;RHOA;JUN;ARPC1B;TUBA1B	18	KEGG_2021_Human
Viral myocarditis	7/60	9.62928424787255e-06	9.83200602151197e-05	10.7057224939825	123.658606584492	ACTB;HLA-C;HLA-A;HLA-B;HLA-E;ACTG1;RAC2	19	KEGG_2021_Human
Leukocyte transendothelial migration	9/114	1.33607358903388e-05	0.000129599138136286	6.98695909899229	78.4159716545035	MYL12B;ACTB;CYBA;MYL12A;ACTG1;CD99;RHOA;CXCR4;RAC2	20	KEGG_2021_Human
Human cytomegalovirus infection	12/225	2.78478262612116e-05	0.000257260871175002	4.62468931234466	48.5072361372347	CALM1;B2M;HLA-C;HLA-A;HLA-B;HLA-E;RHOA;CALR;CXCR4;RAC2;CCL5;CCL4	21	KEGG_2021_Human
Epstein-Barr virus infection	11/202	4.97725899025662e-05	0.000438903747322629	4.7131152927775	46.697763732249	VIM;B2M;HLA-C;HLA-A;HLA-B;HLA-E;JUN;CALR;CD3E;CD3D;TNFAIP3	22	KEGG_2021_Human
Measles	9/139	6.4462582260269e-05	0.00054372786776053	5.63613150335142	54.3854317401797	HSPA1A;HSPA1B;JUN;HSPA8;TNFAIP3;CD3E;CD3D;FOS;RACK1	23	KEGG_2021_Human
Legionellosis	6/57	7.64673346961393e-05	0.00061811095546046	9.49807135969142	90.0288647042005	HSPA8;EEF1A1;EEF1G;HSPA1A;HSPA1B;HSPD1	24	KEGG_2021_Human
Endocytosis	12/252	8.33480787166501e-05	0.000646781090841205	4.09873949579832	38.4973492324686	HSPA1A;HSPA1B;HLA-C;HLA-A;HLA-B;HLA-E;RHOA;ARPC1B;CXCR4;ARPC3;ARPC2;HSPA8	25	KEGG_2021_Human
Cellular senescence	9/156	0.000156101539138832	0.00116475763818975	4.98001524261157	43.6498528768257	CALM1;ZFP36L1;ZFP36L2;HLA-C;HLA-A;HLA-B;HLA-E;SLC25A6;SLC25A5	26	KEGG_2021_Human
Necroptosis	9/159	0.000180211215608345	0.00129485095659329	4.87966804979253	42.0694772885376	PPIA;FTL;FTH1;HSP90AA1;TNFAIP3;HMGB1;SLC25A6;SLC25A5;HSP90AB1	27	KEGG_2021_Human
Type I diabetes mellitus	5/43	0.000191503236719397	0.00132684385441297	10.5864661654135	90.6265641606081	HLA-C;HLA-A;HLA-B;HLA-E;HSPD1	28	KEGG_2021_Human
Mitophagy	6/68	0.000205703853805633	0.0013570440290026	7.80856689582232	66.2874946101842	JUN;TOMM7;RPS27A;UBA52;UBC;UBB	29	KEGG_2021_Human
Amyotrophic lateral sclerosis	14/364	0.000209852169433392	0.0013570440290026	3.28813559322034	27.8475729264815	PFN1;ACTB;TUBB;ATP5F1E;HNRNPA2B1;ATP5F1B;TUBA1B;SRSF7;COX6A1;ACTG1;ATP5MC2;HSPA5;COX4I1;HNRNPA1	30	KEGG_2021_Human
Diabetic cardiomyopathy	10/203	0.000247459319922222	0.00154861638919068	4.22215025906736	35.0618518911366	ATP5F1E;ATP5F1B;RAC2;COX6A1;CYBA;ATP5MC2;COX4I1;SLC25A6;SLC25A5;GAPDH	31	KEGG_2021_Human
Protein processing in endoplasmic reticulum	9/171	0.000309887169139601	0.00187869096290883	4.5154449054864	36.4816443980285	HSPA1A;HSPA1B;PPP1R15A;HSP90AA1;HSPA5;HSPA8;CALR;DNAJB1;HSP90AB1	32	KEGG_2021_Human
Estrogen signaling pathway	8/137	0.000333050899780764	0.00195793559265055	5.02812479979499	40.2612774625382	HSPA1A;CALM1;HSPA1B;HSP90AA1;JUN;HSPA8;FOS;HSP90AB1	33	KEGG_2021_Human
Bacterial invasion of epithelial cells	6/77	0.000405843299942419	0.00231569412320086	6.81563149388132	53.2269701788613	RHOA;ARPC1B;ACTB;ARPC3;ARPC2;ACTG1	34	KEGG_2021_Human
HIF-1 signaling pathway	7/109	0.000442481373138326	0.002452611039681	5.54893891713064	42.8550777869355	RPS6;ENO1;ALDOA;LDHB;LDHA;PGK1;GAPDH	35	KEGG_2021_Human
