c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
Glycolysis / Gluconeogenesis	0.820057783386218	0.794505738158305	0.737141776336301	0.839342600707738	0.839763192464018	0.834861018690412	0.827374415281972	0.738845619823685	1.78780507733404	0.880983350283151	1.89931942753416
Citrate cycle (TCA cycle)	0.931884599594322	0.90576776531655	0.895905641612218	0.923787436556239	0.915768141736259	0.928053137496608	0.921255726461604	0.906803249952798	1.46556179757234	0.945674143788486	1.25953835991258
Pentose phosphate pathway	0.902167389603543	0.909120388072257	0.887297428206173	0.925830744679256	0.937535542607212	0.928409803070966	0.944323595460455	0.896828317599811	1.44511888652484	0.956687364080081	1.2666805400954
Pentose and glucuronate interconversions	0.913846872261277	0.911169510661826	0.938452727548677	0.932935944543362	0.920791333507202	0.92419380601778	0.93682996267546	0.905777071196595	1.45833507613233	0.94616584660907	1.21150184884642
Fructose and mannose metabolism	0.952978401630072	0.945877790516535	0.934890369412314	0.960745761534189	0.961287250953175	0.967905138673386	0.961427173090615	0.937610236475824	1.21332904033901	0.9839976743499	1.17995116302498
Galactose metabolism	0.950893270882702	0.949366242781604	0.941551442619935	0.975784515969544	0.964054404852842	0.968714358548086	0.9614199835799	0.949656622747298	1.14321237476192	0.987979185665236	1.20736759759093
Ascorbate and aldarate metabolism	0.986955352795952	0.973407946313749	0.974402685770573	0.986250276304228	0.980477636806746	0.983951884054844	NA	0.976668406932456	1.03825019979632	0.993509429420601	1.10832644172902
Starch and sucrose metabolism	0.980116590749509	0.954795467846722	0.94236905180032	0.968664307445212	0.974920300689206	NA	0.975833084257883	0.957581750586285	1.15564199339642	NA	1.09437102084205
Amino sugar and nucleotide sugar metabolism	0.975161413863343	0.969377094776614	0.964914342422856	0.979871981223949	0.975446472109749	0.979054087911569	0.97476656899263	0.967601251946364	1.14763451815685	0.984760747497782	1.08141152109829
Pyruvate metabolism	0.898074561078655	0.891050702262053	0.879156607077284	0.909959155728813	0.908967322945328	0.896481721106511	0.919941904641251	0.860017914699009	1.4645181577581	0.907352314094178	1.46447963860882
Glyoxylate and dicarboxylate metabolism	0.940985426137248	0.937731329144001	0.931796828426113	0.957116684807059	0.947345288848596	0.947862567173287	0.953742284053294	0.935525862837877	1.25610366890694	0.953900395128456	1.23788966453713
Propanoate metabolism	0.936445109921268	0.947486443132686	0.94666594918767	0.951310570134899	0.950539964194895	0.944379220143977	0.956573889250956	0.920343708245117	1.25263708418916	0.952729353775108	1.24088870782426
Butanoate metabolism	0.959422132879284	0.959061271452965	0.955970406530988	0.965279623491107	0.960303695959346	0.965476861711526	0.962917250314062	0.955284855009399	1.23994592760067	0.968469152328729	1.10786882272192
Inositol phosphate metabolism	0.988320875846927	0.983285108380124	0.980370017742909	0.987622710992778	0.983941660020421	0.984175881789543	0.987964619779426	0.978523538156207	1.0931730637881	NA	1.03474748069337
Oxidative phosphorylation	0.849712382531979	0.816512171091928	0.781119299064865	0.862264900995603	0.850641947857589	0.850584668844034	0.864246054938789	0.772779173792805	1.79808493125168	0.865921949475002	1.68813252015572
Nitrogen metabolism	NA	0.948249239766032	0.932547860354866	0.9778276634016	0.968885945040784	0.961192024576131	0.980183356519228	0.946885994738958	1.1603319693535	NA	1.13075306325542
Sulfur metabolism	0.948689541126808	0.947475020881441	0.938598772198536	0.966747712021328	0.951954691470404	0.955255589646847	0.955576584151202	0.939140759519591	1.3390927838311	0.96979698431302	1.08767156083972
Fatty acid biosynthesis	0.988247090656416	0.979878350497472	0.980493346359548	0.990012059296751	0.984071928921036	0.986471333657081	0.979811345368231	0.9834497704266	1.09229942879867	0.990865252619448	1.04440009339875
Fatty acid elongation	0.927921302712755	0.919447946576147	0.908225949517738	0.932065324102413	0.923717447470053	0.922544576660621	0.936161354670132	0.911785635928887	1.41655950108562	0.946359711369256	1.25521124990638
Fatty acid degradation	0.965962454369154	0.951260123026912	0.943011584828595	0.962128467792228	0.960868466764767	0.9598465384642	0.96494774708607	0.948178074404345	1.22260665216832	0.967795966407674	1.15339392468773
