c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
Glycolysis / Gluconeogenesis	0.714970149082906	0.773252489985634	0.795704285421549	0.76962587889645	0.820011575947442	0.716597508473471	0.809373533318761	0.87770316967108	0.978164788356937	1.92767776011959	1.81691886072618
Citrate cycle (TCA cycle)	0.890706972588045	0.900062598601143	0.918562157314129	0.909256300084842	0.910617419089649	0.900495830684499	0.921552061356429	0.944410053684472	0.945708366789071	1.2860864845009	1.47254175530682
Pentose phosphate pathway	0.884664325560591	0.907146694175586	0.894175152346352	0.910736382684991	0.936847646662613	0.893967461296354	0.925067821355871	0.959152862741762	0.971260270270096	1.25262142809915	1.46435995480664
Pentose and glucuronate interconversions	0.923516128351544	0.892880933128733	0.899261953074878	0.906378614063737	0.90172938131937	0.884141606419546	0.905843289478655	0.935207588762156	0.952096115891612	1.24066188219318	1.55828250731659
Fructose and mannose metabolism	0.950006518892116	0.956311368294425	0.959669229049757	0.963131232616789	0.969745793577768	0.953040848883213	0.974344495692847	0.988667676942778	0.99100987944318	1.11119625127717	1.18287670532995
Galactose metabolism	0.935596823321102	0.943413987483957	0.941777071968993	0.956250465446719	0.960237095575427	0.942588024727221	0.964255142047754	0.987312279986144	1.00806102688162	1.20611689208589	1.15439119047517
Ascorbate and aldarate metabolism	0.976289266472214	0.975478393366004	0.987128710848368	0.986842164342762	0.981343372758735	0.979491529334597	0.987050754180163	0.995598923701976	0.989407206073935	1.10019547745928	1.04117420146197
Starch and sucrose metabolism	0.939358279152381	0.950780382046309	0.969308521421051	0.95598837337461	0.972741011573875	0.958692402853606	0.996849923490262	1.00397015515101	0.992274595212106	1.06606813049617	1.19396822522862
Amino sugar and nucleotide sugar metabolism	0.960448898737337	0.965126368246945	0.969221590949344	0.969895167765536	0.971319391156727	0.963290775948619	0.975326273080502	0.984939652891944	0.993512876723077	1.11220124762306	1.13471775687691
Pyruvate metabolism	0.876347903368714	0.88741049463942	0.892376217275158	0.888928195754666	0.904781747204858	0.857019826385507	0.890967482412636	0.90921330691883	0.96354332236284	1.48539738441116	1.44401411926621
Glyoxylate and dicarboxylate metabolism	0.918426806219216	0.924660782262238	0.925998248875539	0.93820393601925	0.938131465148173	0.923056978046977	0.935559618320919	0.946099390739382	0.974183257793955	1.28370996870481	1.29196954786954
Propanoate metabolism	0.945628936409076	0.945987952325057	0.922787279820838	0.944967925655681	0.948984231690159	0.91907231581514	0.939835881344485	0.953365952796386	0.969785171603419	1.25478786714569	1.25479648539407
Butanoate metabolism	0.955318882917969	0.958171806744318	0.95776352267942	0.959873511931615	0.96023092185413	0.95324255578448	0.96397975945242	0.969826953414791	0.983284654531469	1.10650024392891	1.23180718676048
Inositol phosphate metabolism	0.979714630837221	0.982161895216644	0.988214108508575	0.983368975159713	0.984018482615658	0.976759269598397	0.983292981275794	1.00032452625724	0.995011802878061	1.02787007510585	1.09926325254684
Oxidative phosphorylation	0.775871928604723	0.809644304807263	0.821702965271573	0.825248874751923	0.844099061595918	0.767185075623444	0.839114713884964	0.867672717492397	0.94955665574612	1.73146763792176	1.76843606429992
Nitrogen metabolism	0.93107459609789	0.94927309338459	0.967594096224777	0.965708020341586	0.963841909158504	0.9508517402726	0.954871956653413	0.987033960143136	1.00477951308041	1.13479411494742	1.19017699969567
Sulfur metabolism	0.935221859595089	0.942645030403701	0.944346530695864	0.949557816958721	0.949969922559205	0.935863585521218	0.951463233258821	0.968612493887848	0.996153537473084	1.14890493392282	1.27726105572363
Fatty acid biosynthesis	0.954667297346442	0.952687829673232	0.970918122227688	0.963610111539534	0.962753643031077	0.96272219390618	0.967371088980549	0.979707557483727	0.99601441524467	1.09405151466066	1.19549622590625
Fatty acid elongation	0.906041798595938	0.915913170415695	0.917929371571786	0.922253665587566	0.92303292695724	0.909489053602053	0.919887848936246	0.947567063918991	0.960438135991728	1.23619254511333	1.44125441930943
Fatty acid degradation	0.940546263676874	0.948524599900609	0.954502923763145	0.95025534895355	0.958179478769749	0.945757093207714	0.955395155707262	0.967302944398483	0.988634235882322	1.14760133504105	1.24330062069924
