Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Herpes simplex virus 1 infection	148/498	0.0147091503921008	0.0395152599516605	0	0	1.25123136709008	5.27930236831471	ZNF331;ZNF573;ZNF571;ZNF570;TNF;PPP1CC;TBK1;ZNF606;ZNF83;AKT2;ZNF84;AKT3;ZSCAN32;ZNF567;ZNF324;B2M;ZNF564;ZNF17;IFNAR2;ZNF441;PDIA3;ZNF561;DAXX;ZFP1;TAP2;ZNF10;TAP1;HLA-C;TSC1;HLA-A;TICAM1;HLA-F;ZNF14;HLA-G;ZNF714;SRSF2;SRSF3;ZNF558;SRSF4;SRSF5;SRSF7;ZNF675;IFNAR1;SRSF9;ZNF431;ZNF430;ZNF792;ZNF791;PIK3R3;ZNF23;PIK3R1;SOCS3;ZNF708;ZNF548;ZNF426;TNFRSF14;ZNF302;ZNF786;ZNF268;ZNF420;HLA-DRB5;HLA-DRB4;ZNF141;ZNF383;ZNF140;ZNF382;TNFSF14;EIF2AK1;EIF2AK2;EIF2AK4;POU2F2;EIF2S1;NFKB1;BST2;NFKBIA;MAVS;ZNF816;RHEB;BCL2;CYCS;CALR;TAB1;HLA-DRB3;HLA-DRB1;MYD88;BCL2L1;PIK3CD;FASLG;IKBKB;CASP8;CASP3;ZNF41;ZNF766;ZNF765;JAK2;EIF2B1;ZNF764;IKBKE;ZNF124;ZNF641;JAK1;DDX58;TRAF2;IRAK4;TNFRSF1A;TAPBP;OAS2;TRAF6;TRAF5;IRF7;LTA;ITGA5;ZNF597;ZNF630;IRF9;HLA-DQB1;BIRC3;ZNF595;RNASEL;ZNF230;SP100;ZNF350;ZNF195;ZNF2;RELA;CCL5;ZNF506;BAK1;ZNF587;CD74;ZNF460;ZNF184;ZNF182;ZNF180;PTPN11;ZNF79;MTOR;PML;ZNF33B;PPP1CA;ZNF33A;ZNF74;FAS;ZNF337;ZNF699;ZNF610;ZNF354A;ZNF212
Vasopressin-regulated water reabsorption	18/44	0.0171310572152042	0.0456348330858801	0	0	2.04022638753651	8.29731967973295	DCTN6;DYNC1H1;RAB5B;RAB5C;DCTN1;DYNLL1;AQP3;RAB11B;DYNC2LI1;DYNC1LI1;DYNC1LI2;CREB1;ARHGDIA;ARHGDIB;GNAS;PRKACB;RAB5A;VAMP2
Ferroptosis	17/41	0.017496200617468	0.0458371536837797	0	0	2.08732120493046	8.44482470319722	PRNP;GPX4;ACSL1;NCOA4;MAP1LC3B2;ACSL5;ACSL3;MAP1LC3B;FTH1;PCBP1;PCBP2;VDAC3;VDAC2;SLC39A8;GCLM;ATG5;FTL
Homologous recombination	17/41	0.017496200617468	0.0458371536837797	0	0	2.08732120493046	8.44482470319722	TOP3B;XRCC2;TOP3A;RPA1;RPA2;BRCC3;BABAM1;POLD4;RAD50;RAD51D;RAD51C;RPA3;POLD2;UIMC1;NBN;TOPBP1;SSBP1
AMPK signaling pathway	41/120	0.0193950141007267	0.0503952415568062	0	0	1.53097656731396	6.03624140440415	CRTC2;PFKFB3;PIK3R3;PIK3CD;PRKAG2;IRS2;PPP2R2A;PIK3R1;HMGCR;ADIPOR1;FOXO3;ADIPOR2;FOXO1;RPTOR;PPP2CA;GYS1;PPP2R1A;PPP2R5E;PPP2R3C;AKT2;AKT3;MLYCD;RAB8A;RAB2A;CPT1A;PDPK1;STRADB;PPP2R5A;TSC1;PPP2R5C;EEF2;PRKAB1;MTOR;RAB11B;RAB10;TBC1D1;PFKL;CREB1;RAB14;RPS6KB1;RHEB
Ras signaling pathway	73/232	0.0209176137450981	0.0539096224162285	0	0	1.35569238353587	5.24268439026273	CSF1;RASGRF2;PIK3CD;FASLG;ELK1;ETS1;IKBKB;RASSF1;TBK1;GNGT2;AKT2;RASSF5;AKT3;RAC2;RAC1;PRKACB;HRAS;MAP2K1;PLA2G12A;FLT3LG;RRAS2;RHOA;TIAM1;ZAP70;RASA1;RASA2;RAPGEF5;RAF1;SOS2;EXOC2;ARF6;SHC4;RAB5B;RALA;RAB5C;RALB;SHC1;PIK3R3;PIK3R1;PLA2G6;EFNA5;RASAL3;RASGRP2;RELA;RAP1B;CDC42;NRAS;PAK1;RAP1A;GNG2;GNG5;PLCG2;MAPK1;SHOC2;PLCG1;RALGDS;PAK2;PAK4;BRAP;PTPN11;NFKB1;GNB2;REL;NF1;CALM3;GRB2;KRAS;GNB5;CALM1;RGL2;RAB5A;LAT;BCL2L1
Phosphatidylinositol signaling system	34/97	0.0212945416234457	0.0544384652792927	0	0	1.59152809271857	6.12627625063821	MTMR2;DGKD;INPP1;MTMR14;ITPR2;PIK3R3;PIK3CD;PIK3R1;PIK3C2A;MTMR6;INPP5B;INPP5F;PPIP5K2;INPP5D;INPP5E;PLCG2;PIP5K1A;PIP4K2B;PIP5K1B;PIP4K2C;PIP5K1C;PLCG1;IP6K1;IP6K2;IPMK;ITPK1;SYNJ2;DGKZ;INPP4B;CALM3;CALM1;PLCB2;PLCD1;CDS2
IL-17 signaling pathway	33/94	0.0225065382214995	0.0570765809297228	0	0	1.59526310483543	6.05234753829627	GSK3B;CEBPB;CSF2;HSP90AB1;TRAF3IP2;TNFAIP3;TNF;RELA;HSP90B1;IKBKB;CASP8;TBK1;CASP3;MAPK1;IKBKE;HSP90AA1;JUN;JUND;CCL20;TRAF2;FOS;MAPK14;MAPK12;NFKB1;IL17RA;NFKBIA;MAPK11;TRAF6;TRAF5;LCN2;FOSB;ANAPC5;IL17A
Glyoxylate and dicarboxylate metabolism	13/30	0.0242089816062912	0.0609067235650341	0	0	2.25271685437661	8.38243054223564	MDH1;MDH2;SHMT1;ACAT2;CS;GRHPR;AFMID;CAT;PCCB;ACO2;ACSS1;GLUL;DLD
Choline metabolism in cancer	34/98	0.0248500760661779	0.0620273552203023	0	0	1.56655505952381	5.78825561922744	DGKD;SLC44A2;WAS;PIK3R3;PIK3CD;PIK3R1;HIF1A;NRAS;AKT2;AKT3;RAC2;PIP5K1A;MAPK1;PIP5K1B;PIP5K1C;PLCG1;RAC1;RALGDS;HRAS;WASF2;MAP2K1;JUN;PDPK1;TSC1;FOS;DGKZ;MTOR;RPS6KB1;RHEB;GRB2;CHPT1;KRAS;RAF1;SOS2
Notch signaling pathway	22/59	0.0285517544287789	0.0701113103466231	0	0	1.75235924760865	6.23145413546469	TLE4;NOTCH2;JAG2;TLE3;HDAC2;CREBBP;TLE1;MAML2;DTX3L;CTBP1;HDAC1;DTX2;RBPJ;NCOR2;APH1A;ATXN1;SNW1;MFNG;NUMB;DVL2;EP300;CIR1
Fatty acid degradation	17/43	0.0287522723818959	0.0701113103466231	0	0	1.92649944479092	6.83722065257683	ACADVL;CPT1A;ACAA2;ECHS1;ACSL1;ECI2;ACSL5;ACSL3;ACADSB;ACAT2;ADH5;ALDH3A2;HADHB;HADHA;CPT2;ACADM;ALDH9A1
Type I diabetes mellitus	17/43	0.0287522723818959	0.0701113103466231	0	0	1.92649944479092	6.83722065257683	HLA-DRB5;HLA-DRB4;PRF1;GZMB;HLA-C;FASLG;HLA-A;HLA-F;TNF;HLA-G;IL2;HSPD1;LTA;FAS;HLA-DRB3;HLA-DRB1;HLA-DQB1
Tight junction	54/169	0.0318404229679439	0.0768155909914418	0	0	1.3854044690802	4.77551502044256	ITGB1;ARPC1B;ARPC1A;PRKAG2;PPP2R2A;ACTB;ACTG1;TUBA1C;TUBA1B;TUBA1A;PPP2R1A;RAC1;PRKACB;RAB8A;RAB8B;ACTR3;ACTR2;PRKCI;SCRIB;PRKAB1;TUBA4A;RHOA;TIAM1;MYL6;HCLS1;MYH9;ARHGEF2;EZR;LLGL1;PCNA;ROCK1;WAS;ARHGAP17;PRKCZ;MYL12A;MYL12B;CDC42;PPP2CA;SLC9A3R1;RAP1A;MICALL2;WHAMM;MAP2K7;VASP;JUN;MSN;ARPC4;ARPC5;TJAP1;ARPC2;ARPC3;CDK4;NEDD4;TJP3
Circadian rhythm	13/31	0.032236003311528	0.0768155909914418	0	0	2.12742321456014	7.30699953414872	FBXW11;CUL1;PRKAG2;RORA;CSNK1D;PRKAB1;ARNTL;PER1;CREB1;BHLHE40;CRY1;CLOCK;SKP1
