statistic	p.value	sumsq	meansq	gene	method	p_adjust
1103.80527820463	1.25264524620374e-273	783.309932716378	391.654966358189	HLA-H	anova	1.83662845998392e-269
1042.8961624577	4.35833540759316e-264	767.432655979417	383.716327989709	RPS26	anova	3.19509568730655e-260
1001.69874325859	1.97234597556128e-257	756.011402242102	378.005701121051	IFITM3	anova	9.63951223122649e-254
935.424325897743	2.33632010246956e-246	736.356541488761	368.17827074438	RNR2	anova	8.56378133560218e-243
716.552365850773	4.50872836408878e-206	657.445984915772	328.722992457886	HLA-J	anova	1.32213950548539e-202
602.811829580195	2.04510332355874e-182	605.150699827893	302.575349913946	GNLY	anova	4.99755082166972e-179
557.498008812956	2.30170285880781e-172	581.467104471093	290.733552235546	ND4	anova	4.82108104512001e-169
519.515748031315	1.2404604677798e-163	560.145583263821	280.072791631911	CYTB	anova	2.27345392232343e-160
481.891749715955	1.09237803872387e-154	537.556674085622	268.778337042811	LOC100996809	anova	1.77960520041882e-151
466.403355308114	6.46966973165604e-151	527.796901826211	263.898450913105	ND4L	anova	9.48582976055408e-148
449.650402589615	8.97978382609002e-147	516.917718083209	258.458859041605	RPL21	anova	1.19692354961938e-143
404.539335095015	2.7751299259593e-135	485.828815195689	242.914407597845	ATP6	anova	3.39074624786794e-132
404.089025702158	3.63536659680167e-135	485.504473303696	242.752236651848	RPS12	anova	4.10013423402354e-132
389.197595157254	2.93883122370592e-131	474.613274651694	237.306637325847	LOC101929876	anova	3.07779595728401e-128
383.379457813196	1.02521432063612e-129	470.268927777904	235.134463888952	RPL17	anova	1.00211282461112e-126
379.343264123747	1.21990445181299e-128	467.224985075684	233.612492537842	ATP5E	anova	1.11788994203013e-125
378.407802305452	2.16882430882409e-128	466.515930782319	233.257965391159	IFITM2	anova	1.87054717741052e-125
335.360592223992	1.26055014288296e-116	432.362032940643	216.181016470321	ZFP36L2	anova	1.02678812194166e-113
335.232132493459	1.36919832223318e-116	432.25543453773	216.127717268865	EEF1A1	anova	1.05658872634647e-113
284.080088879444	6.89550821943837e-102	387.361578927454	193.680789463727	H3F3A	anova	5.05509707567027e-99
283.16572969289	1.28527318463552e-101	386.512069320123	193.256034660061	RPLP1	anova	8.97365496815524e-99
