Gene	Expression
1	RNR2	249.726508716314
2	MALAT1	173.772531435201
3	B2M	163.265979582578
4	TMSB4X	119.600768744419
5	RPL41	116.687996670565
6	RPS27	110.650474493017
7	ACTB	97.1248039624446
8	COX1	84.927220382052
9	HLA-C	77.1796493836147
10	COX2	75.9829910765943
11	RPLP1	75.6836969153253
12	EEF1A1	75.1055371940261
13	CCL5	74.592435435508
14	RPL10	70.8826853643091
15	GNLY	68.8156953265633
16	RPL28	65.0064699469154
17	RPS12	61.7786750975654
18	RNR1	59.4469411688547
19	RPL39	58.567737477128
20	ND3	57.8123083250894
21	RPS15A	57.7164410379553
22	RPS19	55.8932390995372
23	RPL13	52.3614284146823
24	RPL30	50.9498243655636
25	HLA-A	50.6038094015109
26	RPL32	46.3144474210778
27	RPS3	44.7829714626028
28	FOS	43.0631473072315
29	RPL11	41.0716470333676
30	RPS18	40.9791407007745
31	ATP6	40.7992768894533
32	RPL19	40.0767952020068
33	TMSB10	39.6085311005185
34	RPL34	39.0790873635518
35	RPS27A	39.0589333293345
36	RPS4X	38.5889097253385
37	RPL18A	38.016987804942
38	CYTB	35.467150245445
39	RPS15	35.0629677693162
40	CCL4	33.9080046685876
41	ND4L	33.6903244913881
42	HSPA1A	32.8482805614885
43	RPS21	32.7700997851978
44	RPS26	32.3915382876658
45	JUN	32.2778941150926
46	ATP8	32.1619260665472
47	ND4	32.0504040375335
48	RPS24	31.9426076706469
49	DUSP1	31.7881572029398
50	RPS23	30.6967388143508
51	RPL26	30.4585888526969
52	RPS14	29.8635567635751
53	RPL12	29.5916319096338
54	PTMA	29.0402069789773
55	FAU	28.8908448954965
56	RPS3A	28.2171469432317
57	RPS7	28.0873891055595
58	COX3	27.3850164532668
59	RPL36	27.3701853994166
60	TPT1	26.7245436413294
61	RPL35A	26.396414834428
62	RPL7A	26.3950946913264
63	RPS29	26.2857042497128
64	RPS8	26.2046803777018
65	JUNB	25.5528380882541
66	RPL37	25.4774406565762
67	NKG7	25.0779330597662
68	RPL29	24.8080588545892
69	RPS25	24.6629257268897
70	BTG1	24.6410544662539
71	SH3BGRL3	24.4396192566322
72	RPL18	24.0031557181852
73	ACTG1	23.8042207712978
74	FTL	23.5180906863893
75	RPS13	23.4242515276214
76	CD69	23.3388359633048
77	RPL8	23.2166903428469
78	DNAJB1	22.871941074586
79	H3F3B	22.7483871120288
80	RPL3	22.0000125205068
81	IL32	21.5929712976259
82	PFN1	21.507211641872
83	GAPDH	21.3490003526338
84	RPL6	21.3402922010257
85	EIF1	21.103460642691
86	RPL14	20.9331367501609
87	ZFP36	20.1865231787645
88	S100A4	19.776297163029
89	RPLP2	19.4194588517674
90	ZFP36L2	19.3761189108348
91	IFITM1	18.6301588120521
92	RPL35	18.6133244283197
93	UBC	18.5795982411215
94	CD7	18.2150362390432
95	RPS6	18.1551874083446
96	RPS9	17.7593105979302
97	TSC22D3	17.5222027582045
98	GZMA	17.4757114224985
99	FXYD5	17.3166135326164
100	RPL15	17.288400967274
101	RPL5	17.0206650888676
102	CFL1	16.8309605832621
103	ATP5E	16.6648619092151
104	RPS5	16.5475599742925
105	CD74	16.4842481677937
106	IFITM2	16.1969113307684
107	FTH1	16.0094689936877
108	RPLP0	15.9617390790182
109	HSPA1B	15.7581818430701
110	RPL24	15.5087462851245
111	DUSP2	15.01715493064
112	RPS2	14.8103175098527
113	CRIP1	14.8085688707114
114	NACA	14.5946593393964
115	CD3E	14.4616677609921
116	GZMB	14.2129368572834
117	ND1	14.1934515104571
118	HLA-H	14.1754862462589
119	VIM	14.1314544549155
120	RPL23A	13.9891672477618
121	HCST	13.9777298246735
122	ND2	13.9760720322552
123	GNB2L1	13.658721321383
124	EEF1D	13.3412534323714
125	RPL9	12.9557751756241
126	SERF2	12.8723836488006
127	PTPRCAP	12.1530985932398
128	S100A6	12.1125707958658
129	IFITM3	11.9492017683537
130	MYL12A	11.811946470027
131	RPSA	11.7940787239239
132	HSPA8	11.4259561110042
133	RPL22	11.3286874268305
134	PPDPF	11.3180619753107
135	CD52	11.3171316446047
136	RPL10A	11.2584140431856
137	TMA7	11.1419181486118
138	RPL37A	11.1397794252086
139	UBA52	11.0068874338198
140	CYBA	10.9085109460352
141	CD3D	10.898404398905
142	PFDN5	10.7540739260433
143	CST7	10.6851972402769
144	ARHGDIB	10.4876780227955
145	SRGN	10.3233304146622
146	RPS16	10.2165821572817
147	RPL27	10.1979976259997
148	PPIA	10.1553990602886
149	KLF6	10.0372333727608
150	UBB	10.0221000363407
151	MYL6	9.87275326274484
152	LOC101060038	9.68792986282258
153	MIF	9.47649731285283
154	CD99	9.26046080907602
155	RPL21	9.13416614851568
156	SARAF	9.12756953572168
157	CXCR4	8.99582016239726
158	RPL38	8.88272581854677
159	CORO1A	8.74268494430324
160	RAC2	8.66048799603401
161	PCBP2	8.65375416442755
162	CTSW	8.62320453683192
163	ND5	8.61479891187419
164	HSP90AA1	8.55571556619965
165	CLIC1	8.42681381745035
166	GZMH	8.31541574299083
167	CD8A	8.1850137794888
168	EEF1B2	8.16834850197707
169	HNRNPA1	8.16723207818962
170	DDX5	8.04675977187857
171	EVL	8.02584563839566
172	LOC101929531	8.01106798646404
173	PTPRC	7.98819193234529
174	IER2	7.97571184993469
175	RPL36A	7.8670621107016
176	ALOX5AP	7.79120019562424
177	RN7SK	7.73778015910762
178	PNRC1	7.69711514970107
179	SRP14	7.60727474417316
180	OST4	7.60411587425352
181	RARRES3	7.58866778517085
182	BTF3	7.42059402693935
183	CCL4L1	7.39014903493435
184	PABPC1	7.36144553771529
185	ATP5L	7.29108325116695
186	PSME1	7.24880372926726
187	ITM2B	7.21679921101381
188	KLRC2	7.14723021511211
189	RPL36AL	7.1114736537057
190	LSP1	7.09297506704311
191	COX7C	6.92952262819578
192	CALM1	6.90866644109336
193	RPL4	6.87728885006974
194	KLRD1	6.85778874857084
195	ATP5G2	6.85693314880631
196	PPP1R15A	6.72716011660989
197	YWHAZ	6.72612523907505
198	HMGB1	6.72505952858329
199	RHOA	6.71694007478683
200	RPL17	6.65233213990247
201	ARPC2	6.59194419649055
202	S100A10	6.40517335807661
203	TXNIP	6.39364150679132
204	COX4I1	6.3826685089736
205	HOPX	6.33545051046648
206	KLRC3	6.26268129079925
207	TOMM7	6.22635957578258
208	COTL1	6.21161641238233
209	CD2	6.18360969123466
210	CD8B	6.08976439906387
211	ZNF683	6.02765773661729
212	CIRBP	6.01532699409589
213	LAPTM5	5.95244630550202
214	COMMD6	5.93884265137823
215	RPS11	5.93082121913754
216	XCL1	5.83989360670048
217	PRF1	5.77802790608803
218	IFNG	5.75057732370921
219	HNRNPA2B1	5.74927932845806
220	EEF2	5.74309247774531
221	UQCR11	5.7391630184039
222	HNRNPDL	5.71326467071554
223	SRSF7	5.69005186811989
224	PSMB9	5.68659708483843
225	HSP90AB1	5.68084723001593
226	MYL12B	5.61525337914624
227	TAGLN2	5.58504359497193
228	EEF1G	5.55392624018999
229	IL2RG	5.54172915023685
230	DAZAP2	5.50062513996239
231	DDIT4	5.48465795103156
232	LOC101929876	5.4609799518553
233	SUMO2	5.45882242479048
234	RPL27A	5.40634043280068
235	RPL31	5.4052185853005
236	UBL5	5.33779126165623
237	ALDOA	5.23448850570692
238	CITED2	5.19436513529578
239	PPIB	5.13246431183683
240	TPI1	5.11339544579326
241	HINT1	5.10428127630129
242	ARPC3	5.09478376961952
243	NPM1	5.03653312639749
244	RGS1	5.00491473530081
245	CD37	5.00224791279491
246	CHCHD2	4.99578894253701
247	PCBP1	4.96061396412984
248	ATP5I	4.86243296003765
249	LCK	4.85218737352684
250	ARPC1B	4.84133393995791
