statistic	p.value	sumsq	meansq	gene	method	p_adjust
454.789865046533	2.47632945016806e-93	234.354952831997	117.177476415998	HLA-H	anova	3.24201051616002e-89
314.484054032635	1.30624199339686e-75	210.330851272124	105.165425636062	RPS26	anova	8.55066008877583e-72
248.528743836365	2.34401158081824e-65	193.286416087258	96.6432080436288	HLA-J	anova	1.02292665386908e-61
236.740206284106	2.385232773235e-63	189.637691639334	94.818845819667	ND4	anova	7.80686686679815e-60
225.629810616937	2.11585385899089e-61	185.99279189862	92.9963959493102	RNR2	anova	5.54015174438175e-58
221.151636216891	1.33873616426124e-60	184.4630308137	92.2315154068501	CYTB	anova	2.92112231041803e-57
194.731768456619	1.13780099672042e-55	174.643960406478	87.3219802032389	IFITM3	anova	2.12801294986624e-52
191.922818523834	3.9977279052244e-55	173.512424045993	86.7562120229967	ND4L	anova	6.54228171689973e-52
162.166030443051	4.67139320463305e-49	160.300423357142	80.1502116785711	ATP6	anova	6.79531998167288e-46
145.973631858211	1.63643012600585e-45	152.018851206478	76.0094256032391	ND1	anova	2.14241432096685e-42
136.622528146426	2.22994965434998e-43	146.819477295945	73.4097386479725	RPL21	anova	2.65404553406817e-40
108.340229563956	1.75592290642337e-36	128.859472629346	64.4297363146729	EEF1A1	anova	1.9157118909079e-33
98.3735470310128	7.10671822603039e-34	121.580555046768	60.7902775233839	ATP8	anova	7.15701192424538e-31
91.7510425464807	4.37562731818925e-32	116.420773526984	58.2103867634919	RPL21P28	anova	4.09183663212384e-29
90.0547455155605	1.2795366610885e-31	115.054548141363	57.5272740706815	ND2	anova	1.11677959779804e-28
82.4372431238148	1.73808983701833e-29	108.680133931844	54.3400669659218	RPS12	anova	1.42219200914025e-26
81.5317712803632	3.14867775447611e-29	107.895294040662	53.947647020331	SARAF	anova	2.4248523036236e-26
78.9147646947085	1.77631862220336e-28	105.59299843011	52.7964992150552	LOC101929876	anova	1.29197574454924e-25
76.5030451587154	8.90029874192526e-28	103.425511922302	51.7127559611509	PABPC1	anova	6.13277426996239e-25
