Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Tight junction	10/169	5.46549080463103e-05	0.000398778403152709	5.13390985324948	50.3866121367561	MYL6;MYL12B;ACTB;MYL12A;ARPC3;ARPC2;ACTG1;RHOA;JUN;ARPC1B	27	KEGG_2021_Human
Legionellosis	6/57	7.64673346961393e-05	0.000538002319112123	9.49807135969142	90.0288647042005	HSPA8;EEF1A1;NFKBIA;EEF1G;HSPA1A;HSPA1B	28	KEGG_2021_Human
Endocytosis	12/252	8.33480787166501e-05	0.000566192120937244	4.09873949579832	38.4973492324686	HSPA1A;HSPA1B;HLA-C;HLA-A;HLA-B;HLA-E;RHOA;ARPC1B;CXCR4;ARPC3;ARPC2;HSPA8	29	KEGG_2021_Human
PD-L1 expression and PD-1 checkpoint pathway in cancer	7/89	0.000126359277605346	0.000829759256275105	6.90936464920205	62.021091625093	JUN;NFKBIA;IFNG;CD3E;CD3D;FOS;LCK	30	KEGG_2021_Human
Th1 and Th2 cell differentiation	7/92	0.000155645540408225	0.000989102305174849	6.66448801742919	58.4337598434608	JUN;NFKBIA;IFNG;CD3E;CD3D;FOS;LCK	31	KEGG_2021_Human
Necroptosis	9/159	0.000180211215608345	0.00110942529608887	4.87966804979253	42.0694772885376	PPIA;FTL;FTH1;HSP90AA1;IFNG;TNFAIP3;HMGB1;SLC25A6;HSP90AB1	32	KEGG_2021_Human
Osteoclast differentiation	8/127	0.000198727747255754	0.00118634443058738	5.45343426626849	46.4827547446764	CYBA;JUNB;JUN;NFKBIA;IFNG;FOS;LCK;FOSB	33	KEGG_2021_Human
Mitophagy	6/68	0.000205703853805633	0.00119187232940323	7.80856689582232	66.2874946101842	JUN;TOMM7;RPS27A;UBA52;UBC;UBB	34	KEGG_2021_Human
Chagas disease	7/102	0.00029523134834064	0.00166173073208875	5.95993069092484	48.4408342858449	JUN;NFKBIA;IFNG;CD3E;CD3D;FOS;CCL5	35	KEGG_2021_Human
Parkinson disease	11/249	0.000313828647954529	0.00171734010130673	3.77328504623607	30.4378204864938	CALM1;DUSP1;ATP5F1E;COX7C;RPS27A;ATP5MC2;UBC;UBB;COX4I1;SLC25A6;UBA52	36	KEGG_2021_Human
Estrogen signaling pathway	8/137	0.000333050899780764	0.00177327100694082	5.02812479979499	40.2612774625382	HSPA1A;CALM1;HSPA1B;HSP90AA1;JUN;HSPA8;FOS;HSP90AB1	37	KEGG_2021_Human
Bacterial invasion of epithelial cells	6/77	0.000405843299942419	0.00205002897663222	6.81563149388132	53.2269701788613	RHOA;ARPC1B;ACTB;ARPC3;ARPC2;ACTG1	38	KEGG_2021_Human
Leishmaniasis	6/77	0.000405843299942419	0.00205002897663222	6.81563149388132	53.2269701788613	JUN;EEF1A1;NFKBIA;IFNG;FOS;CYBA	38	KEGG_2021_Human
Autoimmune thyroid disease	5/53	0.000515821145699081	0.00250455570430894	8.37670068027211	63.4095339067683	GZMB;HLA-C;HLA-A;HLA-B;HLA-E	40	KEGG_2021_Human
TNF signaling pathway	7/112	0.000521252710033841	0.00250455570430894	5.38957475994513	40.7412809004766	CSF2;JUNB;JUN;NFKBIA;TNFAIP3;FOS;CCL5	41	KEGG_2021_Human
Phagosome	8/152	0.000665522638461122	0.00310834552641468	4.50091827364555	32.923937680382	ACTB;HLA-C;HLA-A;CYBA;HLA-B;HLA-E;ACTG1;CORO1A	42	KEGG_2021_Human
Prion disease	11/273	0.000678471358557519	0.00310834552641468	3.42342457440353	24.9761701191225	HSPA1A;HSPA1B;ATP5F1E;COX7C;RAC2;CYBA;ATP5MC2;HSPA8;COX4I1;SLC25A6;CCL5	43	KEGG_2021_Human
Oxytocin signaling pathway	8/154	0.000725121055809124	0.0032465647271454	4.43880901166082	32.0889135697346	MYL6;CALM1;ACTB;EEF2;ACTG1;RHOA;JUN;FOS	44	KEGG_2021_Human
Cellular senescence	8/156	0.000788944979728345	0.00345382580014409	4.37837837837838	31.282699020135	CALM1;ZFP36L1;ZFP36L2;HLA-C;HLA-A;HLA-B;HLA-E;SLC25A6	45	KEGG_2021_Human
Viral carcinogenesis	9/203	0.0010648384136765	0.00456028624987545	3.76446935021602	25.7675375298551	HLA-C;HLA-A;HLA-B;HLA-E;RHOA;JUN;NFKBIA;YWHAB;YWHAZ	46	KEGG_2021_Human
Rheumatoid arthritis	6/93	0.00110559404690881	0.00463408568597946	5.55765969474279	37.8330597117422	JUN;IFNG;CSF2;FOS;LTB;CCL5	47	KEGG_2021_Human
Fc gamma R-mediated phagocytosis	6/97	0.00137527461982954	0.00564435625221707	5.31228607458116	35.0031939714363	CFL1;ARPC3;ARPC2;PTPRC;ARPC1B;RAC2	48	KEGG_2021_Human
Hematopoietic cell lineage	6/99	0.00152761536526113	0.00614163728482535	5.19751454257007	33.7009303663547	CD7;CSF2;CD8A;IL7R;CD3E;CD3D	49	KEGG_2021_Human
Ferroptosis	4/41	0.00167861089406608	0.00661372692262035	8.66315095583388	55.3557038792293	FTL;PCBP1;PCBP2;FTH1	50	KEGG_2021_Human
NF-kappa B signaling pathway	6/104	0.00196466708329814	0.00744306568095642	4.9310806289729	30.732627030474	CCL4L2;NFKBIA;TNFAIP3;LCK;LTB;CCL4	51	KEGG_2021_Human
Toll-like receptor signaling pathway	6/104	0.00196466708329814	0.00744306568095642	4.9310806289729	30.732627030474	CCL4L2;JUN;NFKBIA;FOS;CCL5;CCL4	51	KEGG_2021_Human
NOD-like receptor signaling pathway	8/181	0.00203838613462485	0.00757664280228483	3.74088759375149	23.1770315592575	CYBA;RHOA;HSP90AA1;JUN;NFKBIA;TNFAIP3;HSP90AB1;CCL5	53	KEGG_2021_Human
Apoptosis	7/142	0.0020871501074967	0.0076142327995713	4.18549001676574	25.8326590854026	ACTB;ACTG1;JUN;NFKBIA;MCL1;GZMB;FOS	54	KEGG_2021_Human
Pertussis	5/76	0.00263258791521997	0.00926951357322419	5.65651049152055	33.5984726779431	RHOA;JUN;CALM1;CFL1;FOS	55	KEGG_2021_Human
Cell adhesion molecules	7/148	0.00263498862995205	0.00926951357322419	4.00615824650498	23.792078712935	HLA-C;HLA-A;HLA-B;HLA-E;CD8A;CD99;PTPRC	56	KEGG_2021_Human
Spliceosome	7/150	0.00284019234803435	0.00981610337829415	3.94972517194739	23.1607282689561	HSPA1A;SRSF7;HSPA1B;DDX5;PCBP1;HSPA8;HNRNPA1	57	KEGG_2021_Human
B cell receptor signaling pathway	5/81	0.00347196198388298	0.0117926984624991	5.28302900107411	29.9179804191814	JUN;NFKBIA;IFITM1;FOS;RAC2	58	KEGG_2021_Human
Diabetic cardiomyopathy	8/203	0.00411340781433613	0.0137345989732918	3.31510913329095	18.2115634347504	ATP5F1E;COX7C;RAC2;CYBA;ATP5MC2;COX4I1;SLC25A6;GAPDH	59	KEGG_2021_Human
Protein processing in endoplasmic reticulum	7/171	0.00581011605440985	0.019076547711979	3.44027903241995	17.7110887848882	HSPA1A;HSPA1B;PPP1R15A;HSP90AA1;HSPA8;DNAJB1;HSP90AB1	60	KEGG_2021_Human
Influenza A	7/172	0.00599386678607923	0.0193572419156985	3.41925427110612	17.4963874807153	ACTB;ACTG1;NFKBIA;IFNG;DNAJB1;SLC25A6;CCL5	61	KEGG_2021_Human
