Regulatory T cells.1	Trm cytotoxic T cells.2	Trm cytotoxic T cells.1	Regulatory T cells.4	Trm cytotoxic T cells	Regulatory T cells.3	Tem/Trm cytotoxic T cells	gamma-delta T cells	Regulatory T cells	Regulatory T cells.2
Glycolysis / Gluconeogenesis	1.14421926504835	0.671229059429703	0.909779245199267	0.770861986933605	0.723471707848789	1.73546790399274	0.928513542616544	0.961222171195369	1.00189519534753	1.1533399223881
Citrate cycle (TCA cycle)	0.952277219821791	0.714491076078715	0.960056313522756	0.783211747097301	0.722714949577748	1.70514304218152	1.03804592519188	1.0164194702507	0.943163847495922	1.16447640878167
Pentose phosphate pathway	1.02321187700891	0.7049185283363	0.895724512018314	0.773152882305466	0.719489133427878	1.85973470707863	0.939439025868745	0.931244597452155	0.940602439344831	1.21248229715877
Pentose and glucuronate interconversions	0.923127117090183	0.788019779713443	0.907334924082201	0.819738409868329	0.759414091558152	1.93061710669474	0.936421173484434	0.927084197152084	0.904691513359395	1.10355168699704
Fructose and mannose metabolism	1.07752047877956	0.72566925276191	0.905214912484207	0.850358065017243	0.740454850622425	1.69594910105052	0.940493418976456	0.888536153053068	0.973171876493419	1.20263189076119
Galactose metabolism	1.21832027553467	0.787111678587266	0.921169934267785	0.977821786851109	0.735165209696821	1.29546965356836	1.02044211383703	0.905611876899858	0.919440693209963	1.21944677754714
Ascorbate and aldarate metabolism	1.01459479072111	0.833226821880255	0.888932598074635	0.805575159482671	0.766237494380155	1.4920430950446	1.00015258763322	0.9764901861705	0.873907617858683	1.34883964875417
Starch and sucrose metabolism	1.11833481625373	0.808299305005355	0.983455028689892	0.805529887711031	0.797458201804723	1.30367988223206	1.00173473657899	0.988000942464592	0.969243546663579	1.22426365259605
Amino sugar and nucleotide sugar metabolism	1.18808540038223	0.707315380556816	0.932645891705964	0.851990507985305	0.71296025169588	1.61252744261718	0.969582670404188	0.87315556201149	0.95740198631513	1.19433490632581
Pyruvate metabolism	0.957477198302273	0.718131149413272	0.90018129528346	0.768174037564315	0.725158032282775	2.0178220125903	0.946627513259299	0.90640173538826	0.980329860389908	1.07969716552614
Glyoxylate and dicarboxylate metabolism	1.03656402886223	0.749810506058781	0.867915293813692	0.806554431713624	0.739627317031486	1.84379904023487	0.933111313831835	0.921082542912208	0.989068451996892	1.11246707354439
Propanoate metabolism	1.02693933049063	0.79513397179867	0.895905618982754	0.865408567684813	0.783673127015174	1.54748311874957	0.971801658604436	0.947654822950172	0.956700008640597	1.20929977508319
Butanoate metabolism	0.913031818233124	0.806873459877397	0.915054454237442	0.836572855316067	0.774140588512617	2.04290316069036	0.942729557563265	0.854850637506551	0.859390930887965	1.05445253717521
Inositol phosphate metabolism	1.04432110167258	0.884999891590135	0.953479050037359	0.92947965460565	0.862866070372674	1.24389038060321	0.978154261820744	0.905948234871788	0.996871108167966	1.1999902462579
Oxidative phosphorylation	1.05084625317151	0.753270622504433	0.957542167748483	0.780248443509689	0.77578670570595	1.47991318494509	1.00974573146638	1.05962628974679	0.994401373317359	1.13861922788431
Nitrogen metabolism	0.886589528291787	0.864517004070725	1.21776738321485	1.07932222181335	0.918517263945973	0.980346381515798	1.06018696519002	0.958122157378018	1.0060742040504	1.02855689052908
Sulfur metabolism	1.01383970825533	0.754156990084554	0.881375738451194	0.807106821974729	0.776077476999876	1.50245493496266	0.949326581502122	0.957486189692106	1.04032855884032	1.31784699923711
Fatty acid biosynthesis	0.982513000956289	0.866711668879805	0.919427651953981	0.796750437317819	0.838558403696594	1.50845396739657	0.973522473364561	0.988511312461394	0.90715517474321	1.21839590922978
Fatty acid elongation	0.989821915188725	0.753833798126062	0.942353144773947	0.813742550705304	0.819366415307537	1.71002123771158	0.941512409702205	0.98910783424632	0.925792164044159	1.11444853019416
Fatty acid degradation	1.08661162661933	0.784743488179994	0.914816386123862	0.82905391376843	0.766045495805144	1.62048645645829	0.983241639064272	0.934577790935449	0.91647854761826	1.16394465542698
