Regulatory T cells	Tem/Trm cytotoxic T cells.1	Trm cytotoxic T cells	Trm cytotoxic T cells.1	Regulatory T cells.5	Tem/Trm cytotoxic T cells	Regulatory T cells.3	Regulatory T cells.4	Regulatory T cells.2	Tem/Trm cytotoxic T cells.2	Regulatory T cells.1
Glycolysis / Gluconeogenesis	0.937508762594265	0.625862482712549	0.788409490815352	0.885355524357498	1.34483282015069	1.13686804810387	0.840626306288699	1.58914107045895	1.28819393016974	0.882051284893626	0.681150279454767
Citrate cycle (TCA cycle)	0.908660410512316	0.696980945372674	0.831532804248925	NA	1.47988760621621	1.18704988902796	0.812914604028438	1.13770851206212	1.20593144117312	NA	0.661210119089074
Pentose phosphate pathway	0.942794245408932	0.66401622280741	0.783708213657148	0.885993411418968	1.48769295771543	1.0871944551754	0.797914680996047	1.18672216955925	1.21574343503022	1.26107962606602	0.68714058216518
Pentose and glucuronate interconversions	0.776057417437827	0.663309158121568	0.745093728433453	0.829901245275942	1.48403531924288	NA	0.700141148486327	NA	NA	2.17414218613531	0.604231733515733
Fructose and mannose metabolism	0.820778741693721	0.595039798320503	0.75296569233144	0.792622857467971	1.61208226697841	0.870949444375398	0.731121309421503	1.15537187314989	NA	1.98750182437037	0.650677909900908
Galactose metabolism	1.04373024850584	0.768210910582199	0.835780004548259	0.933867853179382	1.09461137596006	NA	0.769363401005405	1.49778148883286	1.07233249228662	1.11027328715368	0.858888322816135
Ascorbate and aldarate metabolism	0.777831995579844	0.65054871875618	0.718062051024453	0.799074009100891	1.13744131402443	0.893784495248325	0.71000258026317	NA	0.881199747263761	2.76020552079243	0.699871794210318
Starch and sucrose metabolism	0.900554645681997	0.849906583778209	0.879692124928319	NA	NA	1.23124293484315	0.79319713828676	1.38727272092233	1.14453779780385	1.206480455622	0.644862996437562
Amino sugar and nucleotide sugar metabolism	0.889627511749407	0.631965516930313	0.732287394993731	0.785103134801911	1.2267817805294	0.909642968988264	0.718990681346836	1.22323000935932	1.10736577743485	2.10100748516266	0.673997738703304
Pyruvate metabolism	0.800884572134828	0.669607478442659	0.757073209632282	0.840336773445459	1.93883461561113	NA	0.713871886255896	NA	1.11934349359396	1.53883361325534	0.573947447719228
Glyoxylate and dicarboxylate metabolism	0.843329404897305	0.661150716369722	0.695400676426044	0.790072467183371	1.34869458064884	0.924590800519742	0.675204812071205	1.18588008826327	NA	2.30572385819573	0.567310513020048
Propanoate metabolism	NA	0.773202288715537	0.844624239785397	NA	1.41610990662391	NA	0.825455473397808	1.0809952833017	1.12888444937423	1.21800116513404	0.727118787248129
Butanoate metabolism	0.771962887983592	0.817852547459094	0.775344956466165	0.839500599147922	2.03166324306165	NA	0.652112295277945	NA	NA	1.59085471386463	0.587286158346018
Inositol phosphate metabolism	0.943724066535617	0.769039156796202	0.786105254109862	0.857936920304737	1.08015092403233	0.888306727268277	0.859154130767367	1.11024608432357	1.12937810651226	1.74795572613542	0.828002903214358
Oxidative phosphorylation	0.865597053096801	0.67238828176723	0.757346382290743	0.859635544526403	1.1769969694632	1.06764657855282	0.772036691568885	1.15398552802989	1.12021613552205	1.92028962378531	0.633861211396663
Nitrogen metabolism	0.882609684841874	0.846718808007502	1.12921307305681	0.937045357605482	0.769553077711389	0.935523443933783	0.918154590821947	0.914625436927439	1.15985563294859	1.71348301672404	0.793217877421148
Sulfur metabolism	0.773012096092357	0.519258663603281	0.628234240674094	0.707555692149224	1.1064119458777	0.913920513638155	0.669033305112939	0.858439119160766	NA	3.31747469596162	0.509654662273032
Fatty acid biosynthesis	0.770756090902591	0.903896994523405	0.868723684994947	0.830427564682216	1.19429828078315	NA	0.705714882534539	1.2833919994338	0.919316287063673	1.70124177441289	0.780165268110442
Fatty acid elongation	NA	0.696469088795994	0.822556982166374	0.90502374616679	1.33232519921066	1.06729978685282	0.828170566125444	1.18231169628721	1.05465129235536	1.33771186009233	0.745741513875646
Fatty acid degradation	0.874040172331203	0.743644890999557	0.817486641769192	0.908132879611371	1.40234162132422	1.06313543634123	0.795490394319644	1.08949855165915	1.13385937592668	1.45520752403084	0.717162511686916
