.	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-3	TRBV12-4	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV23-1	TRBV24-1	TRBV25-1	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-8	TRBV6-1	TRBV6-3	TRBV6-4	TRBV6-5	TRBV6-6	TRBV7-2	TRBV7-3	TRBV7-4	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
None	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.992015968063866E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRBJ1-1	3.992015968063866E-4	0.0023952095808383194	7.984031936127732E-4	0.0	0.0011976047904191597	0.0	0.0027944111776447064	0.001996007984031933	7.984031936127732E-4	0.001996007984031933	0.0011976047904191597	0.0	3.992015968063866E-4	7.984031936127732E-4	0.004391217564870253	0.0027944111776447064	0.008383233532934119	0.0	3.992015968063866E-4	0.0015968063872255464	7.984031936127732E-4	0.0011976047904191597	0.006786427145708574	0.00359281437125748	0.0011976047904191597	0.0015968063872255464	0.0011976047904191597	0.010379241516966052	0.0027944111776447064	0.0015968063872255464	7.984031936127732E-4	0.0015968063872255464	3.992015968063866E-4	0.0011976047904191597	0.009580838323353278	3.992015968063866E-4	0.001996007984031933	3.992015968063866E-4	0.0	3.992015968063866E-4	0.0	0.0	0.0	0.001996007984031933	0.003992015968063867	0.001996007984031933
TRBJ1-2	0.0	0.0	0.0	3.992015968063866E-4	0.0	0.0	3.992015968063866E-4	0.0015968063872255464	0.0	0.0	3.992015968063866E-4	7.984031936127732E-4	0.0015968063872255464	3.992015968063866E-4	0.001996007984031933	7.984031936127732E-4	0.007984031936127733	3.992015968063866E-4	0.0	3.992015968063866E-4	7.984031936127732E-4	0.003193612774451093	0.001996007984031933	0.0015968063872255464	0.00359281437125748	7.984031936127732E-4	0.0015968063872255464	0.0	7.984031936127732E-4	0.0011976047904191597	0.0	0.0023952095808383194	0.0	0.0	0.0011976047904191597	0.0	0.00359281437125748	7.984031936127732E-4	0.0023952095808383194	0.0	0.0	3.992015968063866E-4	0.0	7.984031936127732E-4	0.0023952095808383194	0.001996007984031933
TRBJ1-3	0.0015968063872255464	3.992015968063866E-4	3.992015968063866E-4	0.0	7.984031936127732E-4	0.0	0.0015968063872255464	3.992015968063866E-4	0.0	0.0011976047904191597	0.0	3.992015968063866E-4	0.0	0.0	7.984031936127732E-4	0.0023952095808383194	0.0011976047904191597	0.0	0.0	0.0	3.992015968063866E-4	0.001996007984031933	7.984031936127732E-4	0.0	7.984031936127732E-4	3.992015968063866E-4	7.984031936127732E-4	0.0011976047904191597	0.0	3.992015968063866E-4	0.0	3.992015968063866E-4	0.0	0.0	0.0	0.0	0.0027944111776447064	3.992015968063866E-4	0.0	0.0	0.0	7.984031936127732E-4	0.0	0.0	3.992015968063866E-4	0.004391217564870252
TRBJ1-4	0.0	0.0	3.992015968063866E-4	0.0	3.992015968063866E-4	0.0	3.992015968063866E-4	0.0	0.0	7.984031936127732E-4	0.0	0.0023952095808383194	0.0	3.992015968063866E-4	7.984031936127732E-4	0.0	7.984031936127732E-4	0.0	0.0	0.0	0.0	7.984031936127732E-4	0.0015968063872255464	0.0	7.984031936127732E-4	3.992015968063866E-4	0.0	0.0015968063872255464	7.984031936127732E-4	7.984031936127732E-4	0.0	3.992015968063866E-4	0.0	0.005988023952095799	0.0011976047904191597	0.0	0.0011976047904191597	7.984031936127732E-4	0.0	0.0	0.0	3.992015968063866E-4	0.0	3.992015968063866E-4	0.0015968063872255464	7.984031936127732E-4
TRBJ1-5	7.984031936127732E-4	0.003193612774451093	3.992015968063866E-4	0.0	7.984031936127732E-4	0.0	0.0015968063872255464	0.0	0.0	0.0	0.0	0.0	0.0	7.984031936127732E-4	0.001996007984031933	7.984031936127732E-4	0.005189620758483027	0.0	0.0	7.984031936127732E-4	0.001996007984031933	7.984031936127732E-4	0.0031936127744510933	0.0	0.003992015968063867	0.001996007984031933	7.984031936127732E-4	0.0015968063872255464	3.992015968063866E-4	0.0	3.992015968063866E-4	7.984031936127732E-4	0.0	0.001996007984031933	0.012375249500997986	0.0	0.00718562874251496	0.0015968063872255464	0.004391217564870253	0.005988023952095799	0.0	0.0	3.992015968063866E-4	7.984031936127732E-4	7.984031936127732E-4	0.0
TRBJ1-6	0.0	3.992015968063866E-4	0.0	0.0	0.0	0.0	7.984031936127732E-4	3.992015968063866E-4	0.0	0.0	0.0	0.0	0.0	0.0015968063872255464	7.984031936127732E-4	0.0011976047904191597	0.003992015968063866	0.0	0.0	0.0	0.005988023952095799	3.992015968063866E-4	0.0023952095808383194	0.0	3.992015968063866E-4	7.984031936127732E-4	0.0	7.984031936127732E-4	0.0011976047904191597	3.992015968063866E-4	0.0	7.984031936127732E-4	0.0	0.0	0.0	0.0	0.0023952095808383194	0.0	0.0015968063872255464	0.0	0.0	7.984031936127732E-4	0.0	0.0	0.0	0.001996007984031933
TRBJ2-1	0.0	0.004391217564870252	3.992015968063866E-4	0.0	0.0027944111776447064	3.992015968063866E-4	0.004391217564870253	0.0011976047904191597	3.992015968063866E-4	0.02874251497005984	0.0015968063872255464	7.984031936127732E-4	3.992015968063866E-4	0.0011976047904191597	0.00359281437125748	0.0015968063872255464	0.011576846307385215	0.0	0.0	0.009181636726546894	3.992015968063866E-4	0.004391217564870253	0.003992015968063866	3.992015968063866E-4	0.0031936127744510933	0.0015968063872255464	0.004391217564870253	3.992015968063866E-4	0.008782435129740505	0.012774451097804373	7.984031936127732E-4	0.0011976047904191597	0.0	0.001996007984031933	0.0023952095808383194	3.992015968063866E-4	0.008383233532934119	0.016367265469061854	0.01437125748502992	0.0015968063872255464	0.0	0.001996007984031933	0.0	0.0011976047904191597	0.011976047904191598	0.011576846307385215
TRBJ2-2	0.0015968063872255464	0.007984031936127732	0.0	0.0	0.0015968063872255464	0.0	0.001996007984031933	0.0011976047904191597	0.0	7.984031936127732E-4	0.0011976047904191597	0.004790419161676639	7.984031936127732E-4	0.003992015968063866	0.0	0.00359281437125748	0.0031936127744510933	0.0	0.0	7.984031936127732E-4	0.0	7.984031936127732E-4	0.005189620758483027	0.003193612774451093	0.0011976047904191597	0.0011976047904191597	0.001996007984031933	0.0015968063872255464	0.001996007984031933	7.984031936127732E-4	7.984031936127732E-4	0.0	0.0	7.984031936127732E-4	0.0011976047904191597	0.0	0.04870259481037913	7.984031936127732E-4	0.001996007984031933	7.984031936127732E-4	0.0	0.0	0.0	3.992015968063866E-4	0.02714570858283429	0.0015968063872255464
TRBJ2-3	3.992015968063866E-4	7.984031936127732E-4	0.0015968063872255464	0.0	0.0023952095808383194	7.984031936127732E-4	0.0015968063872255464	7.984031936127732E-4	0.0	0.0	0.0027944111776447064	3.992015968063866E-4	0.0	0.0015968063872255464	0.008383233532934117	7.984031936127732E-4	0.00479041916167664	0.0	0.0011976047904191597	0.0031936127744510933	3.992015968063866E-4	7.984031936127732E-4	0.012774451097804373	3.992015968063866E-4	3.992015968063866E-4	0.0011976047904191597	7.984031936127732E-4	7.984031936127732E-4	0.0023952095808383194	0.0031936127744510933	0.0011976047904191597	3.992015968063866E-4	0.0035928143712574794	3.992015968063866E-4	0.0011976047904191597	0.0	0.003992015968063867	0.001996007984031933	0.0031936127744510933	0.003193612774451093	0.0	3.992015968063866E-4	3.992015968063866E-4	3.992015968063866E-4	0.0063872255489021874	0.003992015968063866
