Gene	Rank
INPP1	0.532576979967099
PKM	0.506407695890442
UGP2	0.504101505881689
NDUFV2	0.474364525525768
PGAM1	0.458335928969458
ENO1	0.413676024787969
INPP5F	0.408116534753974
HACD1	0.378175266655027
ALDOA	0.37651332391907
GAPDH	0.35734244917885
COX8A	0.323385921560478
GALM	0.317196838445059
NDUFC1	0.302390803059769
COX5B	0.292657653732763
ATP5MC2	0.283100864852102
ATP5F1D	0.270329520454802
ABAT	0.264070124517828
PCK2	0.260844545690586
LDHA	0.253694291110484
UQCRFS1	0.246476109433477
ATP5F1E	0.244580038204489
NDUFB6	0.241711714010043
COX6A1	0.241479870122266
ELOVL5	0.239714514197663
ATP5F1B	0.237942637750972
NDUFB7	0.237696187068517
TALDO1	0.236667486223961
TPI1	0.236016936270258
OGDH	0.235735868844845
COX17	0.231321072052551
NDUFS6	0.221967689814893
AKR1A1	0.218329049358821
ACSL4	0.217390570228627
G6PD	0.216137227768593
COX5A	0.215895798525651
NDUFA6	0.214121485608798
NDUFAB1	0.213767813853446
ATP5PF	0.213263837071121
ATP6V0C	0.209880223968381
ATP5MC1	0.208131551779693
GPI	0.208106278057275
TSTA3	0.207483784844896
OXCT1	0.206157586905951
HADHB	0.2054752589885
NDUFA4	0.204981238645519
NDUFA13	0.202687739827477
ATP5F1C	0.19917689759198
GMDS	0.196961237520035
NDUFB10	0.191110375456995
COX6B1	0.190816712354376
SHMT2	0.190296877782733
PIK3C3	0.189541627558236
PFKP	0.189403397896782
UQCRC2	0.188773874224559
NDUFB5	0.188188933184138
ATP6V0E1	0.187162983413988
PFKL	0.186598021859853
ATP6V0B	0.183745286687275
PGM2L1	0.183412497874318
ATP6V0A1	0.182075604214315
MINPP1	0.179593034460477
ATP5MF	0.17849526097075
TIGAR	0.177760214259842
ATP5F1A	0.176427737371641
NDUFB2	0.17475358182594
TECR	0.174254373798967
IDH3G	0.171922130181013
GLUD1	0.171853982063189
NDUFA2	0.170476492711829
PAPSS1	0.165185745538914
MDH1	0.164788967789166
ATP6V1D	0.164365371155258
INPP5K	0.163513542115265
SQOR	0.161410689704463
NDUFB3	0.160759269169519
COX7A2	0.160367721405051
TKT	0.160047457774522
NDUFB1	0.159737204344761
PI4KB	0.15878286584371
NAGK	0.158552445356999
ECHS1	0.158025868860838
UXS1	0.157902424227096
ATP5MC3	0.157146538085493
ACADVL	0.15236235866996
NDUFC2	0.151973591354751
MTMR14	0.151548119156377
CYC1	0.150981473010502
SUOX	0.148867402057915
GLYCTK	0.148737794496651
COX7C	0.148625394009916
NDUFS1	0.148030342730131
MDH2	0.147901861196736
COX15	0.147257534983391
ECI1	0.146627613371877
COX7B	0.145430609154349
RENBP	0.142076336459789
NDUFV3	0.140619620594745
ATP5PB	0.13828659881355
ALDOC	0.138266752089305
PGLS	0.137187070906607
GUSB	0.137140344337043
ACO2	0.136935487498091
COX11	0.136045375083521
BPNT1	0.13447318897205
ATP6V1B2	0.134084399813712
NDUFS8	0.133372703532974
PLCB2	0.133227955318438
COX6C	0.132726715689597
RPE	0.132717852252164
NDUFS3	0.131580001066741
UQCRH	0.127273596419047
ALDH9A1	0.125230252211661
NDUFB9	0.124954500345297
CYB5R4	0.124937360599948
UQCR11	0.123607707100053
GALE	0.122805520198365
ATP6AP1	0.122246361175216
FUK	0.122085036214153
PYGB	0.119849124540503
MTM1	0.119680419085819
BCKDHA	0.119481129102633
SDHC	0.118790911282013
IDH3B	0.118304559601003
GNPNAT1	0.117686150302053
ACAT2	0.117519213889229
MTMR6	0.117168668424557
HIBCH	0.117153459114298
DERA	0.116505465904184
PDHB	0.116139210250377
MLYCD	0.114792498106641
UQCR10	0.113735714779195
ATP6V0D1	0.113666435938695
DLD	0.113601939549669
SDHB	0.113261765653505
ETHE1	0.112151599769469
PPT1	0.112137347896048
UQCRB	0.112086454084261
NDUFA5	0.110370391780072
NDUFB8	0.109375122912736
NDUFS7	0.108098244391908
ATP6V1F	0.106369106962597
HK1	0.106075941326438
PPA2	0.106020330695917
UQCRC1	0.105991407999232
ATP6V1E1	0.105025594297798
ATP5PD	0.104691193156437
SYNJ2	0.103715666416348
NDUFV1	0.10347696865865
PRPS1	0.103019139096912
CA8	0.102192277691525
HACD2	0.101982110205568
NDUFA10	0.0999266103554508
CDIPT	0.0989185202826352
MCAT	0.0970803132243372
NDUFA12	0.0968440737165982
ALDH3A2	0.0942793718163279
HADHA	0.0938762436098292
ELOVL3	0.0936553326107408
MTMR2	0.0929911809617371
NDUFS2	0.0924230020074234
NDUFA1	0.091202530904942
ACOT7	0.0907264156285005
UQCRQ	0.0904274410356822
PGD	0.0903843985186447
IPPK	0.089649922866049
IDNK	0.0893082333518738
ACSS1	0.0878554377402171
TCIRG1	0.0877604042109281
SDHA	0.0870321637048146
BDH2	0.0850173764172157
CRYL1	0.0849335668055959
PMM1	0.0836015452260779
GNPDA1	0.0818661595395917
IDH3A	0.0816892882061295
RPIA	0.0806034491719852
CMAS	0.0805764793291125
SYNJ1	0.0802707174167929
CS	0.0801733957431388
CPT2	0.0800309047340716
ACAA1	0.0799189100893837
PI4K2A	0.0794189785410146
ATP6V1A	0.0784285464732444
GAA	0.0773426227252892
ENOSF1	0.0766749788867907
L2HGDH	0.0764743302656345
ITPKC	0.0759653068234764
PCCA	0.0754260953355089
CAT	0.0752594037829193
ATP6V0E2	0.0738998044681564
PIK3CA	0.0736911824180086
NDUFB4	0.0733499270598352
PGK1	0.072496903241931
NDUFA11	0.0722961393389933
TKFC	0.0710865391339332
ADPGK	0.0707917030383729
IMPA1	0.0707909950113112
PIP4K2C	0.0690212598843514
GCDH	0.0689445143690086
NDUFA3	0.0689248799680589
PIK3C2A	0.0663092986809251
ACAA2	0.0657125346171969
NANS	0.0651084718389331
ALDH5A1	0.0642405843879295
COX10	0.0633448589879291
NDUFB11	0.0632927904790197
NDUFA9	0.0629458449461533
HEXB	0.0628119119037723
ELOVL1	0.0617181574666739
HSD17B12	0.0614422825690085
CYB5R2	0.0607628893686632
ACADM	0.0607110706103413
IMPAD1	0.0606757780509326
HMGCL	0.0599283011414056
BCKDHB	0.0580487007956697
UQCRHL	0.0575082068037927
GLB1	0.0573299569195458
PPA1	0.0564537073113664
GLA	0.0564397182926568
PFKM	0.0562545908826861
CPT1B	0.0560276272049014
CA13	0.055733877374684
NDUFA8	0.0554403256199449
NDUFS4	0.0554394013441383
SDHD	0.0532113786727268
ADH5	0.0523902975245182
HEXA	0.0523816522005439
PGM2	0.0522438526483576
HMGCS1	0.0516621575740073
NDUFS5	0.0516306897349213
HAGH	0.0510862917656514
GANC	0.0509927021309699
ACAT1	0.050766259990691
GNPDA2	0.0505509456597815
ACLY	0.0504202046233322
PTEN	0.0497131972167122
ACSM3	0.0491615066605172
ACOX1	0.0487946457076052
THEM4	0.048039236898788
PIKFYVE	0.0478893463708851
IDH1	0.0477677788634647
ATP5MG	0.0475736124692167
NPL	0.0468978944913239
BPGM	0.046803306999223
AMY2B	0.0466100763798921
GYS1	0.0459002455745543
MPST	0.0450469759588928
SHMT1	0.0450291258194179
ATP6V1C1	0.044907749858181
ISPD	0.044468807374687
B4GALT1	0.0442493164055777
NDUFA7	0.0419744650069247
PIP5KL1	0.0418082654434216
PDHA1	0.041685571343061
MECR	0.0415041048010607
TST	0.0401201891027328
FPGT	0.039376522098728
KHK	0.0391877077485645
ACSL5	0.0379763798932118
PLCG1	0.0378249032254249
ACOT2	0.0367797056569888
H6PD	0.0362380389461176
PIP5K1C	0.035437018323418
SUCLG1	0.033874012671474
PCCB	0.0330131805526476
NANP	0.0328338443946972
PMM2	0.0328323515132953
ACSS2	0.0327989940931977
DLST	0.0324616974563205
ECHDC1	0.0318272207121356
ATP6V1H	0.0309120526918856
GMPPB	0.0302258586477206
ATP6V1G2	0.0301558294636944
CYB5RL	0.0301557304559314
FASN	0.0301078302307096
FH	0.0296456049916057
INPP5D	0.0288983506990207
PLCH2	0.0287497290008315
ACADSB	0.0267615946904443
HADH	0.0251967100912041
OCRL	0.0240934294994858
PYGM	0.0227294701030431
GMPPA	0.0225620336203282
MTMR8	0.0219593134067259
MTMR4	0.0215355845798828
ACOX3	0.0199580424952489
INPP5B	0.0180064013548223
UAP1L1	0.0179361049194528
TKTL1	0.0173101301210859
CYB5R3	0.0163978172564489
ALDH1B1	0.0134302421879207
PIP5K1B	0.0128147101509047
COX7A2L	0.0107465540245367
PC	0.0100390669969822
LHPP	0.00982535616345068
ACYP2	0.00941437032248412
GNE	0.00882649445805919
SUCLA2	0.00865937916238935
ATP6V0A2	0.00788895077291752
PI4KA	0.00775275389115862
G6PC3	0.00768714188684325
SORD	0.00729576771304062
ATP5ME	0.00624376594376996
PI4K2B	0.00586052090471912
PIK3CG	0.00495257014462515
GALK1	0.00485548451006456
PGM1	0.00459735661222993
PGP	0.00154985306244258
SUCLG2	0.000938335346587803
CYP4A11	0
CYP4A22	0
AMY2A	0
AMY1A	0
AMY1B	0
CHIA	0
HAO2	0
CA14	0
PKLR	0
ATP6V1B1	0
G6PC2	0
GAD1	0
ACADL	0
CPS1	0
UGT1A8	0
UGT1A10	0
UGT1A9	0
UGT1A7	0
UGT1A6	0
UGT1A5	0
UGT1A4	0
UGT1A3	0
UGT1A1	0
AGXT	0
SI	0
COX7B2	0
UGT2B17	0
UGT2B15	0
UGT2B10	0
UGT2A3	0
UGT2B7	0
UGT2B11	0
UGT2B28	0
UGT2B4	0
UGT2A1	0
UGT2A2	0
PDHA2	0
ADH4	0
ADH6	0
ADH1A	0
ADH1B	0
ADH7	0
TKTL2	0
ELOVL7	0
HK3	0
PGK2	0
HMGCLL1	0
PRPS1L1	0
AKR1B10	0
ATP6V0A4	0
MGAM	0
MGAM2	0
GYG2	0
RGN	0
PGAM4	0
GLUD2	0
MTMR7	0
CA1	0
ATP6V0D2	0
FBP2	0
ALDOB	0
LDHC	0
LDHAL6A	0
ALDH3B2	0
ALDH3B1	0
NDUFC2-KCTD14	0
TREH	0
OLAH	0
GAD2	0
OGDHL	0
ACSM6	0
HOGA1	0
RPEL1	0
ENO4	0
ACSM4	0
PIK3C2G	0
PLCZ1	0
GYS2	0
LALBA	0
ACSS3	0
ALDH2	0
ATP12A	0
KL	0
ATP4B	0
PYGL	0
