.	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-3	TRBV12-4	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV23-1	TRBV24-1	TRBV25-1	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-3	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-8	TRBV6-1	TRBV6-3	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV6-8	TRBV6-9	TRBV7-2	TRBV7-3	TRBV7-4	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
None	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2724265173686284E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.817279552105885E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRBJ1-1	3.817279552105885E-4	0.0	0.0024176103830003937	3.817279552105885E-4	0.005089706069474512	6.362132586843143E-4	8.9069856215804E-4	0.0026720956864741186	0.0	5.089706069474514E-4	0.0031810662934215693	0.0017813971243160799	2.544853034737257E-4	0.002926580989947844	0.00508970606947451	0.0030538236416847073	0.0029265809899478444	8.9069856215804E-4	0.0	6.362132586843143E-4	7.634559104211772E-4	0.018704669805318836	0.004835220766000785	0.03753658226237459	0.0022903677312635312	0.0033083089451584327	0.0026720956864741186	1.2724265173686284E-4	3.817279552105885E-4	0.007125588497264315	0.0	0.02379437587479335	5.089706069474514E-4	0.0016541544725792172	2.544853034737257E-4	0.0024176103830003937	0.004326250159053334	0.001526911820842354	0.004580735462527061	0.0011451838656317658	1.2724265173686284E-4	0.0	0.0	0.002799338338210982	0.0012724265173686287	0.0	0.003562794248632159	0.0	0.0012724265173686287	0.014505662298002361	0.004580735462527061
TRBJ1-2	0.0	2.544853034737257E-4	0.002035882427789806	2.544853034737257E-4	0.0013996691691054916	0.0	6.362132586843143E-4	0.0022903677312635312	0.0	2.544853034737257E-4	0.0010179412138949027	0.0011451838656317658	0.0	0.0011451838656317658	0.0025448530347372566	0.0024176103830003937	0.03664588370021661	1.2724265173686284E-4	0.0	0.004326250159053336	1.2724265173686284E-4	0.004199007507316472	0.006998345845527452	0.002035882427789806	0.0024176103830003933	0.005216948721211375	0.0012724265173686287	8.9069856215804E-4	3.817279552105885E-4	0.003562794248632158	0.0	0.012469779870212555	5.089706069474514E-4	0.002290367731263531	2.544853034737257E-4	0.0019086397760529432	0.0022903677312635312	3.817279552105885E-4	0.0011451838656317658	5.089706069474514E-4	1.2724265173686284E-4	0.0	0.0	0.005725919328158825	3.817279552105885E-4	1.2724265173686284E-4	1.2724265173686284E-4	0.0	6.362132586843143E-4	0.0015269118208423545	0.0021631250795266684
TRBJ1-3	1.2724265173686284E-4	0.0	5.089706069474514E-4	0.0	5.089706069474514E-4	0.0	5.089706069474514E-4	5.089706069474514E-4	0.0	2.544853034737257E-4	1.2724265173686284E-4	3.817279552105885E-4	0.0	2.544853034737257E-4	7.634559104211772E-4	7.634559104211772E-4	8.9069856215804E-4	0.0	0.0	0.0	1.2724265173686284E-4	6.362132586843143E-4	0.0033083089451584335	3.817279552105885E-4	6.362132586843143E-4	7.634559104211772E-4	3.817279552105885E-4	0.0	0.0	0.0015269118208423545	0.0	5.089706069474514E-4	2.544853034737257E-4	3.817279552105885E-4	0.0	5.089706069474514E-4	0.0	0.0	5.089706069474514E-4	2.544853034737257E-4	0.0	0.0	0.0	0.001017941213894903	0.0	0.0	1.2724265173686284E-4	1.2724265173686284E-4	1.2724265173686284E-4	8.9069856215804E-4	5.089706069474514E-4
TRBJ1-4	1.2724265173686284E-4	0.0	0.0	0.0	8.9069856215804E-4	0.0	2.544853034737257E-4	8.906985621580398E-4	0.0	0.0	3.817279552105885E-4	3.817279552105885E-4	0.0	2.544853034737257E-4	0.0026720956864741186	5.089706069474514E-4	5.089706069474514E-4	3.817279552105885E-4	0.0	2.544853034737257E-4	2.544853034737257E-4	0.0015269118208423543	0.0015269118208423543	0.0024176103830003937	2.544853034737257E-4	0.001017941213894903	1.2724265173686284E-4	0.0	0.0	0.0011451838656317656	0.0	1.2724265173686284E-4	1.2724265173686284E-4	3.817279552105885E-4	0.0	0.0020358824277898055	1.2724265173686284E-4	0.0	6.362132586843143E-4	0.0010179412138949027	0.0	0.0	0.0	5.089706069474514E-4	0.0	0.0	3.817279552105885E-4	1.2724265173686284E-4	1.2724265173686284E-4	0.00178139712431608	6.362132586843143E-4
TRBJ1-5	1.2724265173686284E-4	2.544853034737257E-4	6.362132586843143E-4	0.0	3.817279552105885E-4	0.0	0.001017941213894903	0.0031810662934215698	1.2724265173686284E-4	3.817279552105885E-4	1.2724265173686284E-4	0.0011451838656317658	0.0	0.002035882427789806	0.00369003690036902	0.0029265809899478444	0.004835220766000786	3.817279552105885E-4	0.0	7.634559104211772E-4	3.817279552105885E-4	0.0013996691691054916	0.0034355515968952947	3.817279552105885E-4	0.001017941213894903	0.001017941213894903	3.817279552105885E-4	6.362132586843143E-4	1.2724265173686284E-4	0.0022903677312635312	0.0	2.544853034737257E-4	1.2724265173686284E-4	6.362132586843143E-4	0.0	0.0031810662934215698	0.0015269118208423543	0.0	0.0011451838656317658	0.0012724265173686287	0.0	5.089706069474514E-4	0.0	0.001017941213894903	1.2724265173686284E-4	0.0	3.817279552105885E-4	0.0	0.0025448530347372566	0.002035882427789806	6.362132586843143E-4
TRBJ1-6	0.0	2.544853034737257E-4	1.2724265173686284E-4	1.2724265173686284E-4	6.362132586843143E-4	0.0	0.0	6.362132586843143E-4	0.0	1.2724265173686284E-4	5.089706069474514E-4	6.362132586843143E-4	0.0	2.544853034737257E-4	0.004707978114263925	6.362132586843143E-4	0.0021631250795266684	0.0	0.0	0.0	3.817279552105885E-4	0.001017941213894903	7.634559104211772E-4	0.0	7.634559104211772E-4	0.0015269118208423543	3.817279552105885E-4	6.362132586843143E-4	3.817279552105885E-4	6.362132586843143E-4	0.0	3.817279552105885E-4	3.817279552105885E-4	0.0011451838656317656	0.0	3.817279552105885E-4	7.634559104211772E-4	0.0	0.0015269118208423543	0.0	0.0	0.0	0.0	5.089706069474514E-4	0.0	0.0	1.2724265173686284E-4	0.0	1.2724265173686284E-4	7.634559104211772E-4	7.634559104211772E-4
TRBJ2-1	7.634559104211772E-4	3.817279552105885E-4	0.0027993383382109815	0.0012724265173686285	0.004326250159053335	5.089706069474514E-4	0.0025448530347372566	0.0013996691691054916	2.544853034737257E-4	8.9069856215804E-4	5.089706069474514E-4	0.002035882427789806	1.2724265173686284E-4	0.0015269118208423545	0.005598676676421962	0.006234889935106277	0.007761801755948629	0.0021631250795266684	1.2724265173686284E-4	0.0030538236416847073	2.544853034737257E-4	0.0050897060694745115	0.0022903677312635312	0.007507316452474906	0.04937014887390282	0.0015269118208423545	2.544853034737257E-4	0.0015269118208423545	0.001017941213894903	0.004071764855579609	2.544853034737257E-4	0.0016541544725792174	3.817279552105885E-4	0.002672095686474119	6.362132586843143E-4	0.0029265809899478444	0.0029265809899478444	0.0026720956864741195	0.006107647283369414	0.007507316452474907	1.2724265173686284E-4	0.0	2.544853034737257E-4	0.003944522203842745	0.0012724265173686287	0.0	0.0011451838656317658	3.817279552105885E-4	0.0013996691691054916	0.005725919328158826	0.003944522203842746
TRBJ2-2	0.0	0.0017813971243160799	0.0015269118208423543	0.0	0.0017813971243160803	2.544853034737257E-4	6.362132586843143E-4	7.634559104211772E-4	0.0	0.0015269118208423543	0.0	0.0	0.0	3.817279552105885E-4	0.0024176103830003937	0.0011451838656317658	0.002799338338210982	1.2724265173686284E-4	0.0	2.544853034737257E-4	5.089706069474514E-4	0.0016541544725792174	0.001017941213894903	0.001017941213894903	0.0012724265173686287	0.0011451838656317658	0.0012724265173686285	7.634559104211772E-4	2.544853034737257E-4	0.003817279552105883	0.0	0.0011451838656317658	1.2724265173686284E-4	1.2724265173686284E-4	1.2724265173686284E-4	0.0013996691691054916	0.0016541544725792172	7.634559104211772E-4	0.001017941213894903	8.9069856215804E-4	3.817279552105885E-4	0.0	0.0	8.9069856215804E-4	5.089706069474514E-4	0.0	6.362132586843143E-4	1.2724265173686284E-4	3.817279552105885E-4	0.010306654790685888	0.017305000636213343
TRBJ2-3	3.817279552105885E-4	3.817279552105885E-4	0.002035882427789806	3.817279552105885E-4	0.002290367731263531	0.001526911820842354	0.003308308945158433	3.817279552105885E-4	0.0	0.0031810662934215706	8.906985621580398E-4	7.634559104211772E-4	0.0	8.9069856215804E-4	0.0034355515968952947	0.0015269118208423545	0.002799338338210982	6.362132586843143E-4	0.0	0.0013996691691054916	5.089706069474514E-4	0.0048352207660007866	0.0013996691691054916	8.9069856215804E-4	0.0024176103830003933	0.0011451838656317658	0.005725919328158827	6.362132586843143E-4	3.817279552105885E-4	0.002799338338210982	0.0	0.0015269118208423545	7.634559104211772E-4	0.01870466980531884	7.634559104211772E-4	0.0035627942486321585	0.0022903677312635312	0.0013996691691054916	0.010179412138949025	0.0017813971243160803	0.0	0.0	0.0	0.0017813971243160803	0.001017941213894903	0.0	5.089706069474514E-4	3.817279552105885E-4	1.2724265173686284E-4	0.0027993383382109815	0.0022903677312635312
