statistic	p.value	sumsq	meansq	gene	method	p_adjust
432.254583099368	1.24613179992548e-79	186.961806293709	93.4809031468544	HLA-J	anova	1.59704251478449e-75
345.788149123842	7.18387046023083e-71	177.446490702588	88.723245351294	HLA-H	anova	4.60342419091592e-67
175.745909745828	1.82558121229619e-47	142.393562367216	71.1967811836079	RPS26	anova	7.79888293892931e-44
155.600228073531	7.98610770574934e-44	135.353886735605	67.6769433678024	RPL21	anova	2.55874890892209e-40
149.449828893172	1.16810688858282e-42	132.993389540669	66.4966947703346	CYTB	anova	2.99409157681548e-39
139.884379154601	8.58860378627945e-41	129.098483389862	64.5492416949308	RNR2	anova	1.83452576874929e-37
125.89004994726	6.21119423848393e-38	122.849750918198	61.4248754590991	IFITM3	anova	1.13718093372014e-34
114.628397369464	1.64389801321182e-35	117.275271989272	58.6376359946362	ATP6	anova	2.63352461716534e-32
105.35851028736	1.9942580104513e-33	112.264920714824	56.1324603574119	ND4	anova	2.83982340688265e-30
92.4877579793471	2.19436808845448e-30	104.576563551237	52.2882817756186	LOC100996809	anova	2.81230214216326e-27
88.790821342935	1.7757768822833e-29	102.191264304587	51.0956321522936	RPL21P28	anova	2.06894150212206e-26
87.9749021611941	2.83131926492899e-29	101.653291224667	50.8266456123336	ND4L	anova	3.02384897494416e-26
83.2624916188399	4.34571419309386e-28	98.4608351307368	49.2304175653684	IFITM2	anova	4.28420562297622e-25
68.8753013194158	2.74759022386308e-24	87.7179680689983	43.8589840344992	HLA-A	anova	2.51522259350209e-21
64.3413270652806	4.98463929055562e-23	83.9811582376739	41.9905791188369	RPS12	anova	4.25887580985072e-20
62.3106502516805	1.86876233601372e-22	82.2465824353697	41.1232912176849	ATP5E	anova	1.49687863114699e-19
57.8872892566906	3.50276572151865e-21	78.3295649237388	39.1647824618694	GNLY	anova	2.64067326394018e-18
57.0436007740497	6.17761330055315e-21	77.5599731963268	38.7799865981634	H3F3A	anova	4.39846066999385e-18
55.7062885484995	1.52701395897491e-20	76.3247939111955	38.1623969555978	LAPTM5	anova	1.03001109990645e-17
54.9098467190351	2.62632953447812e-20	75.5801000758835	37.7900500379418	ATP8	anova	1.68295196569358e-17
51.0893191801337	3.66748336847163e-19	71.9102662653598	35.9551331326799	ZFP36L2	anova	2.23821270715869e-16
46.4969903846977	9.45013445392312e-18	67.2734722117293	33.6367361058646	RPL17	anova	5.50513287097631e-15
45.0737061143942	2.63494637884361e-17	65.7833951949346	32.8916975974673	ND1	anova	1.46823794744607e-14
44.9276980035695	2.92870840134606e-17	65.6290628043813	32.8145314021907	CD8A	anova	1.5639302863188e-14
41.0270581340886	5.11088276599699e-16	61.4011222397128	30.7005611198564	ZNF10	anova	2.6200429411607e-13
39.8211552050276	1.25481916178033e-15	60.0517397460708	30.0258698730354	RNR1	anova	6.18529322206796e-13
38.6675743459585	2.9822275320953e-15	58.7414641016654	29.3707320508327	LOC101929876	anova	1.41556400190124e-12
