.	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-3	TRBV12-4	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV23-1	TRBV24-1	TRBV25-1	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-3	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-8	TRBV6-1	TRBV6-3	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV6-8	TRBV7-2	TRBV7-3	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
None	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.722460658082961E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8612303290414805E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRBJ1-1	8.583690987124441E-4	0.0	8.583690987124441E-4	0.0	0.003147353361945628	2.8612303290414805E-4	5.722460658082961E-4	0.0028612303290414796	0.0	5.722460658082961E-4	0.002002861230329036	0.0	0.0	0.001716738197424888	0.002002861230329036	0.003147353361945628	0.006008583690987111	2.8612303290414805E-4	0.0	5.722460658082961E-4	2.8612303290414805E-4	0.004864091559370517	0.011444921316165924	0.0034334763948497757	0.017167381974248875	0.004577968526466369	0.0	2.8612303290414805E-4	0.0	8.583690987124441E-4	0.0	0.003433476394849776	0.0	8.583690987124441E-4	0.0	0.005150214592274666	0.0025751072961373318	0.0	0.002288984263233184	0.002288984263233184	2.8612303290414805E-4	2.8612303290414805E-4	0.0025751072961373318	0.0011444921316165922	2.8612303290414805E-4	0.0	0.0025751072961373318	0.0028612303290414796	0.002002861230329036
TRBJ1-2	0.0	8.583690987124441E-4	0.004577968526466369	0.0	2.8612303290414805E-4	0.0	0.0	5.722460658082961E-4	0.0	0.0	0.002575107296137332	5.722460658082961E-4	0.0	0.00143061516452074	0.002002861230329036	8.583690987124441E-4	0.0042918454935622205	0.0	0.0	2.8612303290414805E-4	0.0	8.583690987124441E-4	0.0042918454935622205	0.002002861230329036	0.005150214592274665	0.001716738197424888	8.583690987124441E-4	2.8612303290414805E-4	0.0	8.583690987124441E-4	0.0	8.583690987124441E-4	0.0	2.8612303290414805E-4	0.0	0.00143061516452074	0.002002861230329036	0.0	0.00286123032904148	5.722460658082961E-4	0.0	0.0	0.002002861230329036	0.0025751072961373318	0.0	0.0	2.8612303290414805E-4	0.00143061516452074	0.0042918454935622205
TRBJ1-3	0.0	8.583690987124441E-4	0.0	0.0	0.0	0.0	2.8612303290414805E-4	5.722460658082961E-4	0.0	0.0	0.0	2.8612303290414805E-4	0.0	2.8612303290414805E-4	0.0	0.003719599427753924	0.0011444921316165922	0.0	0.0	0.0	0.0	2.8612303290414805E-4	0.005150214592274666	2.8612303290414805E-4	5.722460658082961E-4	0.00286123032904148	0.0	2.8612303290414805E-4	5.722460658082961E-4	2.8612303290414805E-4	0.0	2.8612303290414805E-4	0.0	0.0	0.0	2.8612303290414805E-4	8.583690987124441E-4	0.0	8.583690987124441E-4	0.0	0.0	0.0	0.00143061516452074	0.0	0.0	0.0	2.8612303290414805E-4	2.8612303290414805E-4	5.722460658082961E-4
TRBJ1-4	0.0	0.0	2.8612303290414805E-4	0.0	8.583690987124441E-4	0.0	5.722460658082961E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.722460658082961E-4	8.583690987124441E-4	0.0011444921316165922	2.8612303290414805E-4	0.0	0.0	0.0	0.0011444921316165922	0.0011444921316165922	2.8612303290414805E-4	0.0	0.0025751072961373318	5.722460658082961E-4	2.8612303290414805E-4	5.722460658082961E-4	0.004577968526466369	0.0	0.0	0.001716738197424888	0.0011444921316165922	0.0	5.722460658082961E-4	0.0	0.0	2.8612303290414805E-4	2.8612303290414805E-4	0.0	0.0	0.0011444921316165922	0.0	0.0011444921316165922	0.0	0.00143061516452074	2.8612303290414805E-4	0.0
TRBJ1-5	0.0	0.001716738197424888	2.8612303290414805E-4	0.0	0.0011444921316165922	0.0	0.00143061516452074	0.001716738197424888	0.0	2.8612303290414805E-4	2.8612303290414805E-4	5.722460658082961E-4	0.0	2.8612303290414805E-4	0.006580829756795407	5.722460658082961E-4	0.002288984263233184	2.8612303290414805E-4	0.0	0.002002861230329036	2.8612303290414805E-4	0.002002861230329036	0.007153075822603705	0.00600858369098711	0.001716738197424888	0.003147353361945628	0.0	2.8612303290414805E-4	0.0	0.004005722460658073	0.0	0.0	0.004005722460658072	8.583690987124441E-4	0.0	0.002288984263233184	0.002002861230329036	0.0	8.583690987124441E-4	5.722460658082961E-4	0.0	0.0	0.0042918454935622205	2.8612303290414805E-4	0.0	0.0	0.001716738197424888	0.002575107296137332	8.583690987124441E-4
TRBJ1-6	0.0	0.0	8.583690987124441E-4	0.0	0.0011444921316165922	2.8612303290414805E-4	2.8612303290414805E-4	2.8612303290414805E-4	0.0	0.0	0.0	5.722460658082961E-4	0.0	0.0	2.8612303290414805E-4	5.722460658082961E-4	5.722460658082961E-4	2.8612303290414805E-4	0.0	0.0	2.8612303290414805E-4	2.8612303290414805E-4	0.002288984263233184	0.0	0.002002861230329036	0.002288984263233184	0.0	2.8612303290414805E-4	2.8612303290414805E-4	0.0	0.0	5.722460658082961E-4	0.0	2.8612303290414805E-4	0.0	2.8612303290414805E-4	5.722460658082961E-4	0.0	2.8612303290414805E-4	0.001716738197424888	0.0	0.0	0.0025751072961373318	0.0	2.8612303290414805E-4	0.0	0.0	2.8612303290414805E-4	0.00143061516452074
TRBJ2-1	8.583690987124441E-4	2.8612303290414805E-4	5.722460658082961E-4	5.722460658082961E-4	0.0037195994277539235	0.0025751072961373318	0.0034334763948497757	5.722460658082961E-4	0.001716738197424888	8.583690987124441E-4	0.0025751072961373318	0.0011444921316165922	2.8612303290414805E-4	0.001716738197424888	0.004864091559370517	0.01030042918454933	0.010586552217453483	0.0	0.0	0.002002861230329036	2.8612303290414805E-4	0.005722460658082962	0.006866952789699556	0.00143061516452074	0.004005722460658072	0.002002861230329036	8.583690987124441E-4	8.583690987124441E-4	8.583690987124441E-4	0.01230329041487837	2.8612303290414805E-4	0.00143061516452074	2.8612303290414805E-4	5.722460658082961E-4	0.0	0.0034334763948497757	0.001716738197424888	0.00143061516452074	0.002002861230329036	8.583690987124441E-4	0.0	0.0	0.015164520743919847	0.01058655221745348	0.0011444921316165922	2.8612303290414805E-4	0.005150214592274664	0.005150214592274665	0.0028612303290414796
TRBJ2-2	0.001716738197424888	0.0	8.583690987124441E-4	2.8612303290414805E-4	8.583690987124441E-4	0.0	0.00143061516452074	8.583690987124441E-4	2.8612303290414805E-4	0.0	2.8612303290414805E-4	0.0	0.0	0.00143061516452074	0.002002861230329036	0.004577968526466369	0.00743919885550785	8.58369098712444E-4	0.0	0.009442060085836883	0.0	5.722460658082961E-4	0.12703862660944173	2.8612303290414805E-4	5.722460658082961E-4	5.722460658082961E-4	2.8612303290414805E-4	5.722460658082961E-4	8.583690987124441E-4	0.0031473533619456283	0.0	8.583690987124441E-4	5.722460658082961E-4	8.58369098712444E-4	0.0	0.001716738197424888	0.002288984263233184	0.00286123032904148	8.583690987124441E-4	2.8612303290414805E-4	0.0	0.0	5.722460658082961E-4	0.00143061516452074	0.002288984263233184	0.0	0.005436337625178812	0.0	8.583690987124441E-4
TRBJ2-3	0.0	2.8612303290414805E-4	2.8612303290414805E-4	0.0	0.001716738197424888	5.722460658082961E-4	0.0011444921316165922	0.002288984263233184	2.8612303290414805E-4	0.0	8.583690987124441E-4	0.004005722460658073	0.0	5.722460658082961E-4	0.0034334763948497757	0.011444921316165922	0.05464949928469231	2.8612303290414805E-4	0.0	5.722460658082961E-4	5.722460658082961E-4	8.583690987124441E-4	0.0042918454935622205	8.583690987124441E-4	0.0042918454935622205	0.0037195994277539235	2.8612303290414805E-4	5.722460658082961E-4	5.722460658082961E-4	0.0028612303290414796	0.0	0.0028612303290414796	2.8612303290414805E-4	0.002288984263233184	2.8612303290414805E-4	0.00143061516452074	0.00143061516452074	2.8612303290414805E-4	0.0011444921316165922	8.583690987124441E-4	0.0	0.0	0.005150214592274665	0.00286123032904148	0.0017167381974248883	0.0	0.001716738197424888	0.005150214592274665	8.583690987124441E-4
