TCR_Cluster	n	Sample
S_1	317	LN1
S_2	260	LN1
S_3	218	LN1
S_4	215	LN1
M_31	173	LN1
S_7	115	LN1
S_8	111	LN1
S_16	104	LN1
S_6	104	LN1
S_14	92	LN1
S_28	91	LN1
S_9	78	LN1
S_38	67	LN1
S_345	66	LN1
S_12	54	LN1
S_13	54	LN1
S_19	53	LN1
S_10	52	LN1
M_33	49	LN1
S_1292	45	LN1
S_22	40	LN1
S_62	40	LN1
S_15	39	LN1
S_994	39	LN1
S_31	38	LN1
S_17	37	LN1
S_25	37	LN1
S_81	36	LN1
S_61	35	LN1
S_18	33	LN1
S_178	30	LN1
S_21	30	LN1
S_42	30	LN1
S_1316	29	LN1
S_20	29	LN1
S_39	28	LN1
S_23	24	LN1
S_27	24	LN1
S_51	24	LN1
S_24	23	LN1
S_77	23	LN1
S_1329	21	LN1
S_41	21	LN1
S_35	20	LN1
S_64	20	LN1
S_29	19	LN1
S_26	18	LN1
S_30	18	LN1
S_394	18	LN1
S_112	16	LN1
S_50	16	LN1
S_60	16	LN1
S_318	14	LN1
S_66	14	LN1
S_68	14	LN1
S_32	13	LN1
S_33	13	LN1
S_34	13	LN1
S_118	12	LN1
S_36	12	LN1
S_851	12	LN1
S_141	11	LN1
S_170	11	LN1
S_40	11	LN1
S_54	10	LN1
S_55	10	LN1
S_63	10	LN1
S_80	10	LN1
S_1275	9	LN1
S_140	9	LN1
S_1561	9	LN1
S_238	9	LN1
S_37	9	LN1
S_48	9	LN1
S_97	9	LN1
S_122	8	LN1
S_1549	8	LN1
S_159	8	LN1
S_224	8	LN1
S_338	8	LN1
S_43	8	LN1
S_44	8	LN1
S_45	8	LN1
S_47	8	LN1
S_49	8	LN1
S_52	8	LN1
S_53	8	LN1
S_57	8	LN1
S_82	8	LN1
S_85	8	LN1
S_89	8	LN1
S_92	8	LN1
S_131	7	LN1
S_173	7	LN1
S_46	7	LN1
S_59	7	LN1
S_70	7	LN1
S_90	7	LN1
M_139	6	LN1
S_1127	6	LN1
S_113	6	LN1
S_121	6	LN1
S_125	6	LN1
S_129	6	LN1
S_1323	6	LN1
S_135	6	LN1
S_236	6	LN1
S_56	6	LN1
S_58	6	LN1
S_65	6	LN1
S_79	6	LN1
S_88	6	LN1
S_93	6	LN1
S_102	5	LN1
S_103	5	LN1
S_116	5	LN1
S_119	5	LN1
S_126	5	LN1
S_130	5	LN1
S_133	5	LN1
S_1443	5	LN1
S_1748	5	LN1
S_228	5	LN1
S_67	5	LN1
S_69	5	LN1
S_71	5	LN1
S_72	5	LN1
S_73	5	LN1
S_74	5	LN1
S_75	5	LN1
S_76	5	LN1
S_78	5	LN1
S_87	5	LN1
S_91	5	LN1
S_948	5	LN1
S_963	5	LN1
S_98	5	LN1
S_993	5	LN1
S_101	4	LN1
S_104	4	LN1
S_105	4	LN1
S_107	4	LN1
S_109	4	LN1
S_1116	4	LN1
S_1143	4	LN1
S_115	4	LN1
S_117	4	LN1
S_120	4	LN1
S_127	4	LN1
S_1321	4	LN1
S_142	4	LN1
S_1446	4	LN1
S_1537	4	LN1
S_162	4	LN1
S_166	4	LN1
S_171	4	LN1
S_1745	4	LN1
S_204	4	LN1
