Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
TNF signaling pathway	5/112	0.0133347594177807	0.0357830798092848	3.74651916841503	16.1751512842419	JUNB;JUN;TNFAIP3;FOS;CCL5	69	KEGG_2021_Human
Non-alcoholic fatty liver disease	6/155	0.0134098283277251	0.0357830798092848	3.23484431730663	13.9478962183241	COX6A1;UQCRB;JUN;COX7C;COX4I1;FOS	70	KEGG_2021_Human
Focal adhesion	7/201	0.0134423209865567	0.0357830798092848	2.90382249374231	12.5135795253585	MYL12B;ACTB;MYL12A;RHOA;JUN;RAC2;ACTG1	71	KEGG_2021_Human
Gastric acid secretion	4/76	0.0151567691806869	0.0397865190993031	4.44399277326107	18.617254637884	CALM2;CALM1;ACTB;ACTG1	72	KEGG_2021_Human
Leishmaniasis	4/77	0.0158345525353575	0.0409963072490763	4.38289341797528	18.1695513954561	JUN;EEF1A1;FOS;CYBA	73	KEGG_2021_Human
Neurotrophin signaling pathway	5/119	0.0169345727399492	0.0432518141601407	3.51521661296097	14.336452482749	CALM2;CALM1;RHOA;JUN;ARHGDIB	74	KEGG_2021_Human
RNA degradation	4/79	0.0172465750992707	0.0434613692501623	4.26558265582656	17.3188700165169	PABPC1;BTG2;BTG1;ENO1	75	KEGG_2021_Human
B cell receptor signaling pathway	4/81	0.0187348247538918	0.0465905510327045	4.15436595924401	16.523455523559	JUN;IFITM1;FOS;RAC2	76	KEGG_2021_Human
Platelet activation	5/124	0.0198669905932936	0.0487644314562662	3.36666095009432	13.192919750383	MYL12B;ACTB;MYL12A;ACTG1;RHOA	77	KEGG_2021_Human
Protein processing in endoplasmic reticulum	6/171	0.0207428753096237	0.0499789305999499	2.91877794336811	11.3118770089558	UBE2D3;HSP90AA1;HSPA8;CALR;DNAJB1;HSP90AB1	78	KEGG_2021_Human
Pyruvate metabolism	3/47	0.0208906641132066	0.0499789305999499	5.43963930806036	21.0429885266987	PKM;LDHB;LDHA	79	KEGG_2021_Human
Influenza A	6/172	0.0212759720032458	0.0502644838576682	2.90104681019159	11.1695434666001	ACTB;ACTG1;DNAJB1;SLC25A6;SLC25A5;CCL5	80	KEGG_2021_Human
Cardiac muscle contraction	4/87	0.023667032818254	0.055223076575926	3.85287491429131	14.4239007819748	COX7C;COX6A1;COX4I1;UQCRB	81	KEGG_2021_Human
