gene	avg_expr
MALAT1	79.2
EEF1A1	77.4
B2M	71.2
ACTB	63.52
TMSB4X	61.32
RPLP1	56.48
MT-CO1	42.7
RPL10	42.48
RPS12	40.66
RPL13	39.52
MT-CO2	36.86
RPS27	34
RPS19	32.74
RPL28	31.76
RPL32	31.76
RPS3	30.26
RPS18	30.02
RPS15A	29.84
HLA-B	28.84
TPT1	28.82
RPL30	28.22
RPS8	28
RPL19	27.9
RPS3A	27.26
RPS27A	26.92
RPL11	25.88
RPS2	25.86
RPS4X	25.76
MT-CO3	25.58
RPS14	24.6
RPL18A	24.16
RPS23	23.04
RPL39	22.66
RPS6	22.04
MT-ND4L	21.74
RPL34	21.52
GAPDH	20.98
RPS28	20.86
MT-ATP6	20.86
GZMA	20.68
RPL26	20.58
PTMA	20.38
RPS13	20.14
RPS15	20.02
RPL8	19.82
RPLP0	19.8
RPL37	19.5
ACTG1	19.18
RPL18	19.12
RPS7	18.78
RPL29	18.66
MT-CYB	18.46
RPL7A	18.26
RPS24	17.98
RPLP2	17.88
RPL3	17.78
RPL12	17.24
MT-ATP8	17.14
RPL6	17.02
RPL35A	16.72
RPS25	16.46
HLA-A	16.06
FTL	16
PFN1	16
RPL15	15.88
JUNB	15.84
TMSB10	15.34
CCL5	15.24
FAU	14.86
RPSA	14.78
RPL14	14.68
RPL17	14.58
CCL4	14.38
IL32	14.36
RPL23A	14.36
FTH1	13.98
RPL5	13.42
RPS16	13.32
RPS26	13.32
RPL21	12.62
RPS9	12.24
HSPA8	12.18
RPL36	12.14
BTG1	12.12
HLA-C	12.08
RPL10A	12.02
RACK1	12
RPS5	11.74
RPS21	11.46
RPL24	10.86
RPL9	10.86
SRGN	10.78
EIF1	10.74
MT-ND3	10.62
H3F3B	10.6
RPL37A	10.54
RPL13A	10.54
CD7	10.48
RPL41	10.26
RPL35	10.24
NACA	10.22
HSP90AA1	9.83999999999999
CCL4L2	9.82
CFL1	9.72
MT-ND1	9.5
FOS	9.18
ZFP36	9.16
GNLY	9.14
PABPC1	9.11999999999999
UBA52	9.08
ZFP36L2	9.06
GZMB	9.04
RPL4	9.04
EEF1B2	8.68
SH3BGRL3	8.48
UBC	8.36
RPS29	8.32
PPIA	8.28
RPL22	8.2
HSP90AB1	7.98
MT-ND5	7.94
RPL27	7.88
DUSP1	7.6
EEF2	7.58
NPM1	7.31999999999999
HNRNPA1	7.28
DUSP2	7.26
SARAF	7.24
CD3E	7.22
RPL7	7.16
ARHGDIB	7.1
CORO1A	7.04
HLA-E	7
EEF1D	6.92
VIM	6.74
NKG7	6.64
SERF2	6.56
BTF3	6.44
MYL6	6.42
PTPRCAP	6.36
EEF1G	6.06
COTL1	6.05999999999999
RAC2	5.86
OAZ1	5.82
ATP5F1E	5.68
MIF	5.66
TNFAIP3	5.6
CXCR4	5.58
IFITM1	5.58
RPL27A	5.5
RPL31	5.46
YBX1	5.36
HNRNPA2B1	5.34
DNAJB1	5.34
CD74	5.34
HMGB1	5.33999999999999
ARPC2	5.24
PNRC1	5.1
KLF6	5.08
RPL38	5.06
RPS11	4.9
HMGN2	4.9
RGS1	4.88
MT-ND2	4.88
TPI1	4.86
PFDN5	4.82
CD3D	4.82
H3F3A	4.82
LDHA	4.8
PTPRC	4.78
XCL2	4.76
MT-ND4	4.76
MYL12A	4.74
FABP5	4.68
CD69	4.6
JUN	4.54
TSC22D3	4.5
RPL36AL	4.42
ZFP36L1	4.42
PCBP1	4.28
CHCHD2	4.26
CD52	4.24
PPDPF	4.24
CALM1	4.14
UBB	4.14
RAN	4.08
COX4I1	4.06
COX7C	4.06
ATP5MC2	4.04
DDX5	4.02
ITM2B	3.98
YWHAZ	3.96
ARPC1B	3.96
SRP14	3.96
CYBA	3.9
PGK1	3.88
XCL1	3.86
CCNI	3.84
HINT1	3.84
ATP5MG	3.82
NCL	3.78
NR4A2	3.72
FXYD5	3.66
HSPE1	3.66
RHOA	3.62
SUB1	3.62
ALDOA	3.62
PKM	3.62
IL7R	3.62
LTB	3.6
EVL	3.54
TUBA1B	3.5
LAPTM5	3.46
LDHB	3.44
TMA7	3.42
SLC25A6	3.42
ENO1	3.4
YWHAB	3.4
TRBC2	3.4
CLIC1	3.38
SUMO2	3.38
CALM2	3.32
MYL12B	3.3
CNBP	3.26
CST7	3.24
TOMM7	3.22
PCBP2	3.2
PTGES3	3.2
HNRNPK	3.18
BTG2	3.16
CRIP1	3.16
CALR	3.16
RPL23	3.12
ARPC3	3.12
IFITM2	3.1
SNRPD2	3.1
KLRB1	3.08
CYTIP	3.04
RGCC	3.04
S100A4	3
CD8A	3
COX6A1	2.94
UBE2D3	2.92
AREG	2.9
RPS20	2.88
LSP1	2.88
UQCRB	2.82
SLC25A5	2.8
TUBB	2.8
CD37	2.78
