p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
4.08949728091895e-54	4.50727687246952	0.367	0.017	1.3715355980746e-49	PTGDR	Control
4.9224017100961e-33	2.67830190830816	0.571	0.078	1.65087508553203e-28	XCL2	Control
3.6765584590328e-26	4.66821309068458	0.163	0.007	1.23304417599042e-21	ZSCAN18	Control
1.3310206981425e-24	2.92234492469876	0.714	0.163	4.46397721743032e-20	CCL4L2	Control
8.58829638737928e-21	-2.02534948372555	0.98	0.994	2.88034284239926e-16	CD7	Control
9.25107173904457e-21	5.89060551202103	0.082	0.002	3.10262443984077e-16	SLC4A4	Control
9.94076677267541e-21	3.07117775766285	0.306	0.035	3.33393436021988e-16	SKAP2	Control
2.45071529649391e-20	2.80484095824271	0.49	0.093	8.21920896138128e-16	EOMES	Control
9.52679003437356e-20	1.74176851453637	1	0.487	3.1950948417282e-15	CTSW	Control
1.6338074306817e-19	-1.69847812468533	0.98	0.998	5.47946336102029e-15	CD52	Control
4.77221251792404e-19	4.53305350740295	0.224	0.021	1.60050463426136e-14	TRAV8-1	Control
5.90132847274949e-19	6.89060551202103	0.041	0	1.97918754319072e-14	AL136985.3	Control
5.90132847274949e-19	6.89060551202103	0.041	0	1.97918754319072e-14	MS4A1	Control
9.76829505989313e-19	-1.72209547350891	0.939	0.996	3.27609079718696e-14	RARRES3	Control
3.15045867349014e-18	-2.55389177508278	0.51	0.914	1.05660082991512e-13	ISG20	Control
5.77373566847405e-18	-1.53203156951654	0.959	1	1.93639546849283e-13	RPS26	Control
8.14831558780939e-18	-1.37459891330272	0.959	0.992	2.73278208183951e-13	ATP5MG	Control
6.96864359385333e-17	-0.954839734033798	1	1	2.33714368850653e-12	RPS15A	Control
7.91686120514983e-17	-3.48955140594393	0.592	0.908	2.65515691098315e-12	GZMB	Control
9.28492652813374e-17	-4.2358408527544	0.204	0.775	3.11397865900549e-12	LINC02446	Control
