Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Bile secretion	1/90	0.836106250309892	0.89285554331735	0.553682896379526	0.0991090060717952	SLC4A4	221	KEGG_2021_Human
Small cell lung cancer	1/92	0.842577242046332	0.895611063436327	0.541458541458541	0.0927464005396557	CDKN1B	222	KEGG_2021_Human
Hepatocellular carcinoma	2/168	0.849512296700851	0.895611063436327	0.592862589598902	0.0966916569569577	WNT10A;ACTG1	223	KEGG_2021_Human
Circadian entrainment	1/97	0.857661442104279	0.895611063436327	0.513126052188552	0.0787883742944883	CALM3	224	KEGG_2021_Human
Phosphatidylinositol signaling system	1/97	0.857661442104279	0.895611063436327	0.513126052188552	0.0787883742944883	CALM3	224	KEGG_2021_Human
Prostate cancer	1/97	0.857661442104279	0.895611063436327	0.513126052188552	0.0787883742944883	CDKN1B	224	KEGG_2021_Human
Longevity regulating pathway	1/102	0.871303568754338	0.905848644167506	0.487598759875988	0.0671739621432475	CAMK4	227	KEGG_2021_Human
Ribosome biogenesis in eukaryotes	1/108	0.885963318038536	0.917049750250415	0.460115170395544	0.0557106210589046	NOP10	228	KEGG_2021_Human
Serotonergic synapse	1/113	0.896898716791209	0.922407955754691	0.43946158008658	0.0478188413640608	TRPC1	229	KEGG_2021_Human
Glutamatergic synapse	1/114	0.898956906032115	0.922407955754691	0.43555019218736	0.04639488535325	TRPC1	230	KEGG_2021_Human
Cell cycle	1/124	0.917413736893492	0.937271177085992	0.399934302373327	0.0344730263631215	CDKN1B	231	KEGG_2021_Human
Relaxin signaling pathway	1/129	0.925339359887418	0.941293486782029	0.384213226010101	0.0298129227634452	MAPK13	232	KEGG_2021_Human
Systemic lupus erythematosus	1/135	0.933854899837199	0.945878782667721	0.366896577717473	0.0251082760958809	TNF	233	KEGG_2021_Human
MicroRNAs in cancer	3/310	0.947472632971631	0.952123173331878	0.478579341589643	0.0258228136212674	CDKN1B;ERBB3;MCL1	234	KEGG_2021_Human
Breast cancer	1/147	0.948088753105896	0.952123173331878	0.336533139615331	0.0179396258143188	WNT10A	235	KEGG_2021_Human
Olfactory transduction	2/440	0.99864925356377	0.99864925356377	0.221547887405352	0.0002994573103757	CALM3;RGS2	236	KEGG_2021_Human
