Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Cytokine-cytokine receptor interaction	6/295	0.165542147842854	0.295829949385841	1.65587951670543	2.97814807121806	IL32;CXCR4;IL7R;LTB;CCL5;CCL4	108	KEGG_2021_Human
Mineral absorption	2/60	0.172652780476588	0.305706299375977	2.73804226918799	4.80929663575136	FTL;FTH1	109	KEGG_2021_Human
Tuberculosis	4/180	0.188922405584779	0.331472947980567	1.80838876570584	3.0135332189563	CD74;CALM1;CORO1A;RHOA	110	KEGG_2021_Human
Phenylalanine metabolism	1/17	0.192591401607465	0.33486613072289	4.95331325301205	8.15902043952221	MIF	111	KEGG_2021_Human
Central carbon metabolism in cancer	2/70	0.218001638326611	0.370594486904288	2.33420303605313	3.55558107926071	LDHB;LDHA	112	KEGG_2021_Human
Oocyte meiosis	3/129	0.218900370503051	0.370594486904288	1.89165220744168	2.87368185183663	CALM1;YWHAB;YWHAZ	113	KEGG_2021_Human
Relaxin signaling pathway	3/129	0.218900370503051	0.370594486904288	1.89165220744168	2.87368185183663	JUN;NFKBIA;FOS	113	KEGG_2021_Human
Vascular smooth muscle contraction	3/133	0.232040551969812	0.389424578523249	1.83307380878231	2.67783327964053	MYL6;CALM1;RHOA	115	KEGG_2021_Human
Apelin signaling pathway	3/137	0.245320387734146	0.408162369247329	1.77799262795335	2.49841784794563	RPS6;CALM1;KLF2	116	KEGG_2021_Human
Arrhythmogenic right ventricular cardiomyopathy	2/77	0.250320753141563	0.41109232800708	2.11559139784946	2.930119834696	ACTB;ACTG1	117	KEGG_2021_Human
Protein export	1/23	0.251341423341116	0.41109232800708	3.6013143483023	4.97320988258474	SRP14	118	KEGG_2021_Human
PI3K-Akt signaling pathway	6/354	0.282795794874431	0.458652003451809	1.37097230073488	1.73157943931721	RPS6;IL7R;HSP90AA1;YWHAB;YWHAZ;HSP90AB1	119	KEGG_2021_Human
Phototransduction	1/28	0.297033023386046	0.477728112612557	2.93366056819872	3.56120564007414	CALM1	120	KEGG_2021_Human
Gap junction	2/88	0.301267993740972	0.480534899107501	1.84396099024756	2.21230153900374	TUBB;TUBA1B	121	KEGG_2021_Human
