pathway	pval	padj	log2err	ES	NES	size	leadingEdge	seurat_clusters
Oxidative phosphorylation	19.8581643708986	2.49521592894592e-19	1.16906996676109	0.685982474685439	2.52539386833135	102	COX7A2,COX5B,COX4I1,UQCRB,UQCR11,NDUFA4,ATP5MC2,ATP5F1E,ATP5F1B,UQCRH,ATP5MG,ATP5PF,NDUFA1,ATP6V1G1,ATP6V0E1,ATP5F1D,NDUFS5,ATP6V0C,ATP5PB,NDUFB11,COX7C,NDUFB10,ATP5MC3,COX8A,ATP5F1A,COX6C,ATP5MF,UQCR10,COX7A2L,NDUFB9,ATP5F1C,COX6A1,ATP6V0E2,NDUFB2,COX6B1,ATP5PD,COX7B,UQCRQ,COX5A,SDHD,NDUFV2,ATP5ME,NDUFB4,NDUFS7,COX17,NDUFV1,NDUFB7,NDUFS6,NDUFA3,UQCRC2,UQCRFS1,UQCRC1,NDUFA2,NDUFB3,NDUFA13,SDHC,SDHA,NDUFA5,ATP5MC1,NDUFB1,NDUFA6,ATP6V0B,NDUFA12,NDUFAB1,ATP6V1F,NDUFA11,TCIRG1,NDUFC1,NDUFS8,NDUFB6,SDHB,ATP6AP1,PPA1,NDUFS3,NDUFC2,NDUFA9	c8
Fatty acid biosynthesis	0.283655899594559	0.998958333333333	0.197822021315103	-0.277081720219425	-0.972359990779396	10	ACACB,OXSM,FASN,ACACA,ACSL1,MCAT,ACSL6,ACSL3,ACSL4	c8
Oxidative phosphorylation	22.8898576252899	2.44847670049471e-22	1.26273988547916	0.744392633680587	2.21260808749406	105	NDUFA1,NDUFS8,ATP5F1C,COX7B,NDUFC1,ATP5MF,SDHD,ATP5MC3,NDUFS5,NDUFB2,ATP5PF,ATP6V0E1,COX7A2L,UQCRFS1,COX6C,NDUFA13,ATP5PD,ATP5MC2,NDUFA3,NDUFA12,UQCR10,UQCRC2,NDUFA4,ATP5ME,UQCRB,SDHC,ATP5F1B,ATP5PB,NDUFV1,NDUFB9,ATP6V1G1,NDUFB4,UQCRQ,PPA1,COX5A,NDUFS7,NDUFB7,NDUFAB1,ATP5MG,ATP5MC1,NDUFA6,NDUFV2,UQCRC1,COX8A,ATP5F1A,ATP5F1D,NDUFA2,NDUFA5,COX5B,COX4I1,COX7A2,UQCRH,NDUFB10,COX7C,ATP5F1E,SDHA,NDUFS6,NDUFC2,ATP6V0B,COX17,NDUFB5,UQCR11,NDUFB1,ATP6V1F,NDUFB6,ATP6V0E2,NDUFA11,NDUFB11,COX6B1,NDUFB3,ATP6V0C,COX6A1,ATP6AP1,NDUFA10,NDUFS2,SDHB,PPA2,CYC1	c3
Fatty acid biosynthesis	0.594190417914037	1	0.203508959461977	-0.378109452736318	-1.27075570045405	11	ACSBG1,ACACB,MCAT,ACSL1,FASN,ACACA,OXSM,ACSL4,ACSL6,ACSL3,ACSL5	c3
Oxidative phosphorylation	18.0641502553205	1.63909205668913e-17	1.12391496374483	0.701327840067777	2.08119397847048	105	NDUFS7,ATP5F1C,ATP6V1F,NDUFA3,ATP6V1G1,ATP5ME,COX17,ATP6V0B,COX5A,UQCRC1,COX7A2L,NDUFB4,COX5B,NDUFA11,UQCRQ,COX7A2,COX4I1,ATP6V0E1,UQCRC2,PPA1,NDUFB7,UQCR11,COX6A1,NDUFB9,ATP5MC2,ATP5PF,SDHD,NDUFAB1,ATP5MG,NDUFA1,NDUFA6,UQCRH,ATP5PD,COX6B1,ATP6V0C,NDUFB10,ATP5F1E,NDUFV1,COX7C,NDUFV2,COX6C,NDUFS8,UQCRFS1,NDUFB1,NDUFB11,NDUFA12,COX7B,NDUFA13,NDUFB5,ATP5PB,ATP6V0E2,ATP5F1D,NDUFC1,NDUFB6,SDHC,ATP5F1A,UQCR10,NDUFA5,ATP5MC1,ATP5F1B,ATP5MF,NDUFS6,NDUFA4,ATP5MC3,UQCRB,NDUFA2,NDUFS5,NDUFB3,TCIRG1,NDUFB2	c2
Fatty acid biosynthesis	0.968060619556908	0.681666147213251	0.287805130535564	-0.401002506265664	-1.31472280225004	11	ACSBG1,ACACB,FASN,ACACA,ACSL1,MCAT,OXSM,ACSL4,ACSL6,ACSL3,ACSL5	c2
Oxidative phosphorylation	19.5930591091315	4.59423700909785e-19	1.16906996676109	0.673487085268261	2.74132830438642	102	ATP5MC2,NDUFB2,UQCRB,COX7A2,ATP5MF,COX5B,ATP5F1A,ATP5F1D,NDUFS5,COX6C,COX7B,NDUFB10,COX8A,ATP5PD,COX6A1,UQCRH,ATP5ME,NDUFA4,UQCR11,ATP6V0C,ATP5PB,COX4I1,NDUFA2,ATP6V0B,PPA1,ATP5F1B,UQCRQ,ATP6V1G1,NDUFV2,NDUFA13,NDUFB4,NDUFB11,ATP6V1F,UQCRC2,ATP5PF,ATP5F1E,NDUFA1,NDUFB7,ATP5MC3,ATP6V0E2,TCIRG1,COX7C,NDUFA12,NDUFA5,SDHD,COX6B1,COX5A,COX7A2L,NDUFA6,NDUFS8,ATP6V0E1,ATP5F1C,NDUFA11,UQCR10,NDUFA3,NDUFAB1,COX17,ATP5MG,NDUFS6,NDUFB9,NDUFB6,SDHA,NDUFB3,UQCRC1,SDHB,SDHC,NDUFC1,CYC1,UQCRFS1,NDUFA10,ATP5MC1,NDUFV1,ATP6AP1,NDUFS7	c1
Fatty acid biosynthesis	0.561716749649147	0.972107438016529	0.257206466468838	-0.30225988700565	-1.12565863369709	9	MCAT,ACACA,ACSL1,ACSL6,OXSM,FASN,ACSL3,ACSL5,ACSL4	c1
Oxidative phosphorylation	22.5573333540487	4.98814593713564e-22	1.24623277191648	0.717333521810822	2.4681738676654	104	ATP5F1D,NDUFC1,ATP5F1E,NDUFA4,ATP5MG,COX6B1,COX8A,NDUFV2,COX6C,COX17,ATP6V0E1,COX7A2L,ATP5ME,COX7A2,UQCRB,NDUFS7,ATP5MC3,NDUFA3,COX7C,NDUFB11,COX6A1,UQCRH,ATP5F1A,ATP6V0C,UQCR10,ATP5PB,NDUFS5,NDUFA13,ATP5F1C,ATP5MC2,NDUFB4,COX4I1,ATP5MF,NDUFS8,NDUFB10,UQCR11,NDUFA6,COX5B,ATP5PD,ATP6V1F,COX5A,NDUFS6,NDUFB9,ATP6V0B,ATP5F1B,COX7B,NDUFB1,NDUFB2,NDUFA12,UQCRQ,UQCRC2,SDHD,NDUFAB1,UQCRFS1,NDUFB3,NDUFA2,ATP6V1G1,NDUFB5,ATP5PF,NDUFA1,CYC1,NDUFB7,UQCRC1,SDHC,NDUFV1,PPA1,SDHA,TCIRG1,NDUFA11,NDUFS2,ATP6V0E2,NDUFA5,NDUFB6,ATP6AP1,ATP5MC1,NDUFA10,NDUFC2,NDUFS3	c4
Fatty acid biosynthesis	0.863440953621402	1	0.249246554383295	-0.38560411311054	-1.32934882773743	10	ACACB,ACSL6,FASN,MCAT,OXSM,ACSL1,ACACA,ACSL3,ACSL4,ACSL5	c4
