p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
6.76514310387909e-10	0.84615786810295	0.293	0.211	2.07872552152893e-05	gamma-delta T cells	RAB24
7.05928079746302e-10	0.678035111246742	0.46	0.354	2.16910521063646e-05	gamma-delta T cells	CCL4L1
7.63977542617078e-10	0.104634169562475	1	1	2.34747379519949e-05	gamma-delta T cells	HLA-C
9.13720962583104e-10	0.191952746074124	0.996	0.985	2.8075904017291e-05	gamma-delta T cells	GAPDH
1.40641010962066e-09	0.568795009786872	0.489	0.424	4.3214763438314e-05	gamma-delta T cells	RAB27A
1.87189651571117e-09	0.767139269833968	0.339	0.263	5.75177642382572e-05	gamma-delta T cells	HLA-DMA
2.08976142551195e-09	0.266149231810054	0.861	0.85	6.42120993217057e-05	gamma-delta T cells	ARPC2
2.23340434761316e-09	1.1515731208215	0.102	0.05	6.86258153891095e-05	gamma-delta T cells	NCR1
2.26360266274726e-09	0.274300705604238	0.904	0.885	6.9553719018235e-05	gamma-delta T cells	ATP5L
2.85645966050347e-09	0.558876674037796	0.565	0.526	8.77704359882903e-05	gamma-delta T cells	PRDX5
3.90893255326066e-09	0.413511586724621	0.731	0.724	0.00012010977056404	gamma-delta T cells	PGK1
5.90372825132095e-09	0.311700215774532	0.789	0.776	0.000181403857978339	gamma-delta T cells	TCEB2
7.01994634594094e-09	1.28812524100343	0.114	0.061	0.000215701891371727	gamma-delta T cells	CLNK
7.96634627044998e-09	0.580641669997153	0.444	0.371	0.000244781921852117	gamma-delta T cells	CXCR6
8.29626557296051e-09	0.848871671252817	0.242	0.168	0.000254919352260358	gamma-delta T cells	MYO7A
9.76063410200806e-09	0.783841718170018	0.299	0.218	0.000299915004052402	gamma-delta T cells	ANXA2R
1.07118152059933e-08	0.522616995417714	0.337	0.243	0.000329141945834557	gamma-delta T cells	CCL3
1.25098311964615e-08	0.749002239120368	0.234	0.16	0.000384389583173673	gamma-delta T cells	GNPTAB
1.4067171394196e-08	1.1542922376179	0.092	0.045	0.000432241975429461	gamma-delta T cells	CRACR2B
1.72061185960426e-08	0.626604618933774	0.391	0.32	0.0005286924061006	gamma-delta T cells	PLEKHF1
1.81336979567415e-08	0.258945307741103	0.782	0.76	0.000557194137116796	gamma-delta T cells	COX6A1
1.87572731215446e-08	0.330900583433961	0.809	0.797	0.000576354731205702	gamma-delta T cells	TPI1
2.01018531759414e-08	1.70502560907034	0.065	0.028	0.000617669642537151	gamma-delta T cells	GPR34
2.21884561136878e-08	0.30698294172394	0.967	0.959	0.000681784691005284	gamma-delta T cells	ATP5E
2.26195813629717e-08	0.350731766360858	0.663	0.626	0.000695031876540031	gamma-delta T cells	RABAC1
2.3933392456356e-08	2.26715638383049	0.026	0.007	0.000735401350006452	gamma-delta T cells	REG4
2.41351636816588e-08	2.22997439050714	0.036	0.011	0.000741601174446331	gamma-delta T cells	PTPRK
2.42476572707487e-08	0.289502368457272	0.798	0.788	0.000745057764958294	gamma-delta T cells	RPS11
2.59960762411429e-08	0.114692446878437	0.999	1	0.000798781434661597	gamma-delta T cells	RPS27
2.65646164796012e-08	0.380711562717368	0.705	0.68	0.000816250970568706	gamma-delta T cells	ATP5G3
3.28344994465101e-08	1.25020311481759	0.114	0.063	0.00100890566449292	gamma-delta T cells	PIK3AP1
3.44763299780203e-08	0.147386650348881	0.997	0.996	0.00105935419123463	gamma-delta T cells	RPS15
4.39947356988434e-08	0.341594880164851	0.704	0.678	0.00135182624381836	gamma-delta T cells	PPP1CA
