Gene	Expression
1	MALAT1	205.686852309171
2	B2M	194.935611392375
3	RNR2	177.528925910617
4	ACTB	139.284393523529
5	RPL41	100.093389142619
6	TMSB4X	99.2427878059525
7	EEF1A1	98.4260851755873
8	RPS27	77.0157211747332
9	HLA-C	76.1311305939988
10	RPLP1	74.9292807041119
11	HLA-A	65.9242217038507
12	RPL10	64.9995837233612
13	TMSB10	63.3896073412855
14	RPL28	61.5480943769163
15	COX1	53.1970314642987
16	RPL39	51.2151426525235
17	RPS26	50.0608332986935
18	RPL13	49.0760238537417
19	RPS15A	47.1169946512869
20	RPS19	46.3933158420648
21	FOS	45.5736100773407
22	COX2	44.1925087080982
23	RNR1	44.1237990021922
24	HSPA1A	43.4894100925217
25	RPL30	43.1113564390187
26	RPS12	42.8266921449701
27	DUSP1	42.5001179336565
28	IL32	41.406458603855
29	RPL32	41.3332862425736
30	JUNB	40.0332288940684
31	RPL19	39.2206580939996
32	DNAJB1	38.5328652286583
33	RPL11	38.4091580066409
34	JUN	37.9193019847389
35	RPS4X	37.5806557535943
36	RPS3	36.6762505309722
37	GAPDH	36.0131050106591
38	RPL34	35.6281987761287
39	RPS18	33.9646137911157
40	ACTG1	33.0799707490532
41	RPL18A	32.9111164313893
42	TPT1	32.6900498442696
43	RPS15	32.4407741397149
44	PTMA	32.4131344758377
45	PFN1	31.9097970199771
46	S100A4	30.5956736475647
47	RPS27A	29.8547526446651
48	RPS23	29.0257919226657
49	RPS8	29.0064772209451
50	RPL12	28.685094355499
51	ND3	27.9757679253233
52	RPL26	27.1746608709584
53	RPS24	26.8015477975272
54	FTH1	26.5820956605591
55	RPS3A	26.5687962222429
56	RPL36	26.3740545310055
57	RPS14	25.5678773218155
58	RPS21	25.321301217338
59	RPL37	25.0770398589829
60	RPL8	24.7886157480335
61	HSPA1B	24.7019669163383
62	EIF1	24.6708321066143
63	RPL7A	24.6502898169731
64	H3F3B	24.5458774760676
65	RPL29	24.4375494898733
66	CD74	24.4048347225251
67	ATP6	24.2997016459502
68	UBC	24.2838093079896
69	FAU	24.0043906499238
70	RPL35A	23.7810485845788
71	RPS13	23.6928501249649
72	RPL18	23.5030538369796
73	RPL3	23.3253227687304
74	RPS7	23.2238808152102
75	RPS25	22.5744404322742
76	BTG1	22.2749517854079
77	ZFP36	22.198010206339
78	RPL6	21.0580598570793
79	RPL14	20.4322132502108
80	RPS29	20.104515114176
81	FXYD5	19.9720662310321
82	FTL	19.5413876407936
83	RPLP0	19.5227749770356
84	ND4L	18.9207459690534
85	RPL15	18.8996952981377
86	HSPA8	18.8665120050919
87	ATP8	18.8031213054802
88	TSC22D3	18.4914193328779
89	RPL5	18.3862261788071
90	RPS6	18.3529078417108
91	SH3BGRL3	18.1946263002347
92	HLA-H	18.0767564169349
93	RPL24	17.517152098147
94	RPS9	17.3220849413088
95	LTB	17.0403058888872
96	ND4	16.8786028041153
97	CYTB	16.6590168301255
98	CD7	16.3435433638625
99	CFL1	16.2992186046519
100	ATP5E	16.27092963025
101	GNB2L1	16.1997418884798
102	RPL35	15.6164538126908
103	MYL6	15.3546873912438
104	COX3	14.7143582955029
105	RPLP2	14.6465937920216
106	SRGN	14.6038142013014
107	HSP90AA1	14.5272475200856
108	NACA	14.1073128887027
109	SERF2	14.0211309816284
110	ARHGDIB	13.8373207462446
111	DUSP2	13.8078953985786
112	CD3E	13.7682904009588
113	RPS2	13.5221319298303
114	RPL9	13.4115640711808
115	RPS5	13.2099601119726
116	RGS1	12.9222744966002
117	CRIP1	12.6046724715248
118	RAC2	12.5801321222297
119	SAT1	12.3085391269719
120	TNFRSF4	12.2349829770759
121	VIM	12.1092963914714
122	KLF6	11.9594187682695
123	RPSA	11.9389839988678
124	EEF1D	11.9095707379274
125	RPL22	11.898237324241
126	SARAF	11.8152482405315
127	PPIA	11.7957711018032
128	RPS16	11.4372032861682
129	IFITM1	11.4351313684948
130	UBB	11.2268831323954
131	HNRNPA1	11.147319037073
132	RPL23A	11.1004550616279
133	HSP90AB1	10.9742287069241
134	BATF	10.7885108187312
135	ZFP36L2	10.65458415692
136	RPL10A	10.5314752145062
137	CORO1A	10.3544367156212
138	CD3D	10.3151356230215
139	S100A6	10.2303005988722
140	PTPRCAP	10.1993714941191
141	TMA7	9.68627355347649
142	PFDN5	9.60545682451525
143	UBA52	9.56266831999417
144	CD69	9.54401200346899
145	CD2	9.30406163280237
146	RPL37A	9.29778285669698
147	PCBP2	9.19435151799494
148	COX7C	9.1701814181984
149	NFKBIA	9.16130543741615
150	ARPC1B	9.06308351449698
151	IL2RG	8.9328103862738
152	MIF	8.90641158086773
153	PPP1R15A	8.90186992522837
154	EEF2	8.85181104406289
155	MYL12A	8.80208166683981
156	PABPC1	8.79294021592544
157	DDX5	8.75352662462485
158	LAPTM5	8.62478920740267
159	PPDPF	8.60470379166203
160	RPL27	8.59359610886258
161	ATP5G2	8.46930438631769
162	BTF3	8.35778870887294
163	DDIT4	8.33406186860573
164	RPL36AL	8.27023537713319
165	RHOA	8.24270105370132
166	CYBA	8.19058771017656
167	CLIC1	8.16866719481062
168	YWHAZ	8.07261946735956
169	TNFRSF18	8.02242999374237
170	ATP5L	8.00409435462409
171	PTPRC	7.9396673627068
172	PNRC1	7.92437081642538
173	SUMO2	7.90141383962126
174	EEF1B2	7.90042252908931
175	COX4I1	7.85219160383895
176	HINT1	7.76861912140427
177	FOXP3	7.69288937885766
178	RPL4	7.6456960469971
179	CIRBP	7.63697106661139
180	NPM1	7.63520093754472
181	SRP14	7.52106498054627
182	ND1	7.44964198056543
183	RPL38	7.38614608405441
184	HNRNPA2B1	7.381761855843
185	LINC00152	7.37061178803674
186	EEF1G	7.33369330859773
187	TNFAIP3	7.28505345058286
188	LOC101929876	7.2504783592112
189	ALDOA	7.1985688657488
190	PCBP1	7.1321159041456
191	IER2	7.11011773044563
192	SOD1	7.10908071154781
193	CD27	7.0640109200061
194	SRSF7	7.03384708050752
195	MIR4435-1HG	7.02821346794516
196	COTL1	7.01063481096953
197	OST4	6.99043206276675
198	ARPC2	6.94157367071087
199	IFITM2	6.84319622507289
200	CD52	6.81702396185193
201	PKM	6.7934228162352
202	UCP2	6.77453619447398
203	CCNI	6.6924591057028
204	LIMD2	6.67414846466182
205	HSPB1	6.64824475980126
206	CALM1	6.61344836812658
207	COMMD6	6.54580129732017
208	DAZAP2	6.44950795583063
209	PSME1	6.44657073789193
210	ITM2B	6.44508113348326
211	TIGIT	6.40498773657246
212	TAGLN2	6.40417676794672
213	CHCHD2	6.35206177638309
214	RPL36A	6.26109835495406
215	ARPC3	6.25645449119235
216	SPOCK2	6.19332424995707
217	LSP1	6.1570931564776
218	UBL5	6.15328653484008
219	ICOS	6.04281796036982
220	HSPE1	5.95681632014145
221	PIM2	5.92819350558745
222	ZFP36L1	5.87736756176476
223	CTSC	5.83270386331389
224	ISG20	5.77653691376762
225	SUB1	5.76611073597764
226	YWHAB	5.75805390080343
227	RPL21	5.68253924113251
228	LCK	5.63138215446003
229	UQCR11	5.61737449972795
230	GABARAP	5.60464626259726
231	HCST	5.59503362223536
232	CARD16	5.59303405042037
233	RPS11	5.56263552507204
234	LDHA	5.55541446865197
235	CXCR4	5.53974196614043
236	ENO1	5.5214941449296
237	TNFRSF1B	5.50927888054106
238	LOC101928173	5.49403411562974
239	TOMM7	5.44592054911448
240	ND2	5.41430881106809
241	HNRNPDL	5.38436098504142
242	CYTIP	5.37667397610018
243	LY6E	5.37387864074661
244	SKP1	5.35925202313614
245	BTG2	5.34693798318393
246	TPI1	5.34080568985276
247	CST7	5.30498927673182
248	CD37	5.24146652689541
249	RPL17	5.20224988473186
250	NDUFA4	5.14776575535027
