.	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-3	TRBV12-4	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV24-1	TRBV25-1	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-8	TRBV6-1	TRBV6-3	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV7-2	TRBV7-3	TRBV7-4	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
None	0.0	0.0	0.0	0.0	0.0	2.9347028613353065E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9347028613353065E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9347028613353065E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRBJ1-1	0.0	1.4673514306676533E-4	7.336757153338266E-4	0.0	0.003668378576669133	0.0	8.804108584005919E-4	0.00821716801173886	0.0	0.0	0.0014673514306676532	4.40205429200296E-4	5.869405722670613E-4	0.001027146001467357	0.05018341892883371	0.0030814380044020713	0.006016140865737377	7.336757153338266E-4	8.804108584005919E-4	4.40205429200296E-4	0.0022010271460014795	0.0027879677182685407	0.001467351430667653	0.0022010271460014795	0.005869405722670613	0.0022010271460014795	5.869405722670613E-4	0.0011738811445341226	0.007336757153338266	0.0011738811445341224	2.9347028613353065E-4	5.869405722670613E-4	1.4673514306676533E-4	0.001027146001467357	7.336757153338266E-4	0.001760821716801184	0.0022010271460014795	5.869405722670613E-4	0.0	0.00249449743213501	0.0	0.0	5.869405722670613E-4	0.0	0.002054292002934714	0.0022010271460014795	0.004842259721203256
TRBJ1-2	0.0	2.9347028613353065E-4	0.001467351430667653	0.0	0.002347762289068245	1.4673514306676533E-4	7.336757153338266E-4	7.336757153338266E-4	0.00220102714600148	0.0	5.869405722670613E-4	2.9347028613353065E-4	0.0	0.0011738811445341224	0.0013206162876008877	0.0019075568598679491	0.0066030814380044385	1.4673514306676533E-4	4.40205429200296E-4	1.4673514306676533E-4	0.0014673514306676532	0.0032281731474688366	8.804108584005919E-4	0.0013206162876008877	0.0024944974321350105	0.012032281731474758	1.4673514306676533E-4	0.009684519442406517	0.002054292002934714	0.0011738811445341224	7.336757153338266E-4	0.005869405722670613	1.4673514306676533E-4	0.00249449743213501	4.40205429200296E-4	1.4673514306676533E-4	0.0017608217168011838	0.001027146001467357	0.0	0.002054292002934714	0.0	0.0	4.40205429200296E-4	0.0	0.001027146001467357	0.0016140865737344185	4.40205429200296E-4
TRBJ1-3	0.0	0.0	0.0	1.4673514306676533E-4	2.9347028613353065E-4	0.0	2.9347028613353065E-4	2.9347028613353065E-4	0.0	0.0	5.869405722670613E-4	1.4673514306676533E-4	0.0	7.336757153338266E-4	2.9347028613353065E-4	5.869405722670613E-4	5.869405722670613E-4	0.0	0.0	0.0	1.4673514306676533E-4	0.002347762289068245	0.0	7.336757153338266E-4	2.9347028613353065E-4	1.4673514306676533E-4	0.0	2.9347028613353065E-4	1.4673514306676533E-4	0.0	2.9347028613353065E-4	1.4673514306676533E-4	0.0	0.0	1.4673514306676533E-4	0.0	0.0029347028613353064	0.0	0.0	2.9347028613353065E-4	0.0	0.0	7.336757153338267E-4	0.0	1.4673514306676533E-4	0.0	0.0
TRBJ1-4	0.0	1.4673514306676533E-4	1.4673514306676533E-4	0.0	1.4673514306676533E-4	0.0	1.4673514306676533E-4	0.0024944974321350105	0.0	0.0	0.0	1.4673514306676533E-4	0.0	2.9347028613353065E-4	0.0013206162876008877	4.40205429200296E-4	7.336757153338266E-4	2.9347028613353065E-4	1.4673514306676533E-4	0.0	0.00440205429200296	5.869405722670613E-4	1.4673514306676533E-4	7.336757153338266E-4	0.001320616287600888	4.40205429200296E-4	1.4673514306676533E-4	7.336757153338266E-4	7.336757153338266E-4	1.4673514306676533E-4	1.4673514306676533E-4	0.0	0.0	7.336757153338266E-4	0.0	0.0	1.4673514306676533E-4	0.0	0.0	5.869405722670613E-4	0.0	0.0	1.4673514306676533E-4	0.0	8.804108584005921E-4	8.804108584005919E-4	1.4673514306676533E-4
TRBJ1-5	0.0	2.9347028613353065E-4	5.869405722670613E-4	0.0	0.0	0.0	0.0011738811445341224	7.336757153338266E-4	0.0	0.0	0.0	2.9347028613353065E-4	0.0	7.336757153338266E-4	0.011298606016140949	0.0011738811445341224	0.0032281731474688366	7.336757153338266E-4	4.40205429200296E-4	0.0	1.4673514306676533E-4	0.003521643433602367	0.0	8.804108584005919E-4	2.9347028613353065E-4	5.869405722670613E-4	4.40205429200296E-4	1.4673514306676533E-4	7.336757153338266E-4	0.0	4.40205429200296E-4	2.9347028613353065E-4	1.4673514306676533E-4	0.002347762289068245	0.001027146001467357	1.4673514306676533E-4	2.9347028613353065E-4	4.40205429200296E-4	0.0023477622890682452	7.336757153338266E-4	0.0	0.0	1.4673514306676533E-4	1.4673514306676533E-4	8.804108584005919E-4	2.9347028613353065E-4	0.0
TRBJ1-6	1.4673514306676533E-4	2.9347028613353065E-4	0.0	0.0	0.0016140865737344185	0.0	2.9347028613353065E-4	1.4673514306676533E-4	0.0	2.9347028613353065E-4	2.9347028613353065E-4	2.9347028613353065E-4	0.0	5.869405722670613E-4	7.336757153338266E-4	4.40205429200296E-4	0.00249449743213501	0.0	0.0	0.0	2.9347028613353065E-4	0.0033749082905356023	0.0	2.9347028613353065E-4	0.0	2.9347028613353065E-4	1.4673514306676533E-4	2.9347028613353065E-4	5.869405722670613E-4	0.006016140865737378	1.4673514306676533E-4	0.001320616287600888	0.0	8.804108584005921E-4	4.40205429200296E-4	0.0	0.001027146001467357	4.40205429200296E-4	0.0	0.001027146001467357	0.0	0.0	4.40205429200296E-4	0.0	2.9347028613353065E-4	4.40205429200296E-4	1.4673514306676533E-4
TRBJ2-1	1.4673514306676533E-4	0.00220102714600148	0.0022010271460014795	0.0	0.013646368305209189	0.007630227439471797	0.004548789435069724	0.010711665443873879	0.0	5.869405722670613E-4	8.804108584005919E-4	5.869405722670613E-4	0.0	0.002347762289068245	0.0076302274394717965	0.009391049156272988	0.014086573734409505	2.9347028613353065E-4	0.003521643433602367	2.9347028613353065E-4	0.007336757153338266	0.005575935436537081	0.0016140865737344183	0.010271460014673581	0.006456346294937674	0.015700660308143898	0.0017608217168011838	0.004108584005869428	0.00469552457813649	0.0026412325752017754	0.0038151137197358987	0.002787967718268541	5.869405722670613E-4	0.0038151137197358982	0.002934702861335306	4.40205429200296E-4	0.03448275862068983	0.0019075568598679491	0.0	0.007190022010271501	0.0	0.0	0.0033749082905356023	2.9347028613353065E-4	0.002054292002934714	0.010711665443873886	0.0027879677182685407
TRBJ2-2	0.00220102714600148	0.0	5.869405722670613E-4	1.4673514306676533E-4	7.336757153338266E-4	2.9347028613353065E-4	0.001467351430667653	0.001027146001467357	0.0	0.0	0.0014673514306676532	0.0014673514306676532	0.0	5.869405722670613E-4	0.004402054292002959	0.005869405722670613	0.007923697725605326	5.869405722670613E-4	5.869405722670613E-4	1.4673514306676533E-4	0.001027146001467357	0.002347762289068245	8.804108584005919E-4	0.00249449743213501	0.002641232575201776	0.0029347028613353064	2.9347028613353065E-4	0.036537050623624556	0.003961848862802663	0.0022010271460014795	0.0	0.002054292002934714	0.0	0.0011738811445341224	0.0029347028613353064	7.336757153338266E-4	0.003961848862802663	5.869405722670613E-4	0.0	0.007776962582538562	0.0	1.4673514306676533E-4	5.869405722670613E-4	2.9347028613353065E-4	0.001907556859867949	0.0027879677182685407	0.007923697725605328
TRBJ2-3	1.4673514306676533E-4	2.9347028613353065E-4	0.001907556859867949	0.0	0.001467351430667653	1.4673514306676533E-4	0.0011738811445341224	0.0014673514306676532	0.0	0.0033749082905356023	7.336757153338266E-4	5.869405722670613E-4	0.0	5.869405722670613E-4	0.004255319148936194	0.00249449743213501	0.006456346294937673	1.4673514306676533E-4	0.0014673514306676532	0.0014673514306676532	0.004108584005869428	0.014380044020543015	7.336757153338266E-4	7.336757153338266E-4	2.9347028613353065E-4	0.0017608217168011836	5.869405722670613E-4	8.804108584005919E-4	0.007190022010271501	0.001027146001467357	7.336757153338266E-4	7.336757153338266E-4	2.9347028613353065E-4	5.869405722670613E-4	8.804108584005919E-4	4.40205429200296E-4	0.001027146001467357	0.0023477622890682452	0.0	0.006016140865737377	0.0	0.0	0.0011738811445341224	1.4673514306676533E-4	0.004988994864270021	0.0036683785766691325	0.004842259721203256
