Tem/Trm cytotoxic T cells	gamma-delta T cells	Regulatory T cells.3	Trm cytotoxic T cells.1	Regulatory T cells	Trm cytotoxic T cells	Regulatory T cells.4	Regulatory T cells.2	Regulatory T cells.1	Trm cytotoxic T cells.2
Glycolysis / Gluconeogenesis	0.816316997859507	0.918879900833276	1.85226654856816	0.912114718279662	1.0410129310888	0.832703580321997	0.787045749708866	1.12428549546081	1.06834540239376	0.647028675485156
Citrate cycle (TCA cycle)	0.837362449804486	0.953066201949858	1.85416062682732	1.0356447383587	NA	0.877083918901241	0.776791189858291	1.08272419607686	NA	0.588676822932635
Pentose phosphate pathway	0.824656796010498	0.948223109899265	1.88753017323951	NA	0.952651499253361	0.843640981161365	0.801894103859846	1.07347022287293	1.04457649381558	0.644807722950407
Pentose and glucuronate interconversions	0.81655643277968	0.949551531678423	1.97048913894041	0.897799289977606	0.979867148019624	0.813263604620951	0.831601937166109	1.09522889265103	0.968693741021932	0.676948283144233
Fructose and mannose metabolism	0.807530378540998	0.906093901344509	1.80247054322937	0.904669898374174	1.01468261029179	0.789277626150058	0.877875198519039	1.1452748951442	1.09077968757792	0.661345260827941
Galactose metabolism	0.906864416916599	0.859655704059908	1.4314495890284	0.962337746823401	1.02050597484936	0.813743433854745	0.90077589388553	1.09787824268023	1.32146077191214	0.685328225989685
Ascorbate and aldarate metabolism	0.833180002666728	NA	1.66880154924615	0.9134650473289	0.965723379370515	0.790554363503292	0.924675536858277	1.25855467700971	NA	0.661002162069376
Starch and sucrose metabolism	0.856052352734359	0.973090454085185	1.43436475768005	NA	1.07313367726787	0.937457905203411	0.852692767957306	1.12248603492223	1.02460971925522	0.706882697420192
Amino sugar and nucleotide sugar metabolism	0.824177089926306	0.851771375215058	1.67719691821811	NA	0.972788364610744	0.852737768433045	0.873544948502249	1.08769829439884	1.22972699303709	0.641611328222234
Pyruvate metabolism	0.79638131325782	0.842242629364593	2.06554428734538	NA	1.03759063508252	0.847396823691816	0.783247017719634	NA	1.02070898004284	0.634092631767707
Glyoxylate and dicarboxylate metabolism	0.764693478874925	0.880567444195838	2.14327849113035	0.839032316231857	1.05533273608576	0.751538449521519	0.803122405192248	1.13972898887339	0.980204704301636	0.642500985592482
Propanoate metabolism	0.80136562519287	0.869533726902555	1.66675186785872	0.931347830227244	1.0680598445356	0.818436167761811	0.940994265695268	1.19272190656405	1.10073602151091	0.610052743750976
Butanoate metabolism	0.832773179300237	0.857765406044881	2.02567267908535	0.876081658152377	1.03044799745907	0.759275697047018	0.870678420160208	1.16115545198822	0.916227853214471	0.669921657548163
Inositol phosphate metabolism	0.876851056238843	0.903525442972201	1.28011182468916	1.04729919484564	1.06178490023277	0.950489341987061	0.952910233272075	1.10791028182966	1.07443457687558	0.744683147057024
Oxidative phosphorylation	0.851776836905207	0.951280735519871	1.55356921478229	1.03009931024382	1.04206798115876	0.920269944804336	0.789180602514089	1.0254990991128	1.16441672205209	0.671839552906742
Nitrogen metabolism	NA	0.880089430537466	1.03866115100682	1.3438499951141	0.946282212704763	0.974637722253874	NA	1.13222311883984	0.824623190078336	0.832319063349163
Sulfur metabolism	0.815103561460981	1.025406254852	1.93924917801137	0.88624073682403	1.06423075722568	0.748140939317593	0.740173752580948	1.22908147816288	0.918218437143082	0.63415490442144
Fatty acid biosynthesis	0.778517725892712	NA	1.69641084335814	0.95289752640938	0.935586228179859	NA	0.804751566261478	1.21776518634312	0.920539795049454	0.688776734461846
Fatty acid elongation	0.833091546312025	0.942368060618999	1.78920211357399	0.958872830546053	0.932133435557401	0.868164908908934	0.836643620600133	1.12208202308997	1.02580172904997	0.691639731742527
Fatty acid degradation	0.845561558204753	0.929751569383471	1.77682571164309	NA	0.972675037516331	0.82668856455014	0.823268969403673	1.10127432423242	1.09045955902108	0.651572191805714
