Tem/Trm cytotoxic T cells	Regulatory T cells.3	Trm cytotoxic T cells	Regulatory T cells.2	Regulatory T cells.5	Regulatory T cells.1	Regulatory T cells	Tem/Trm cytotoxic T cells.1	Trm cytotoxic T cells.1	Regulatory T cells.4	Tem/Trm cytotoxic T cells.2
Glycolysis / Gluconeogenesis	0.920849236134297	0.813774245533771	0.810834500004898	1.19505357730668	1.84699638184896	0.994872542025767	0.931119924072768	0.567164525306198	0.640439321106026	1.3355518040104	0.943343942650233
Citrate cycle (TCA cycle)	1.00503386256132	0.827111786715104	0.876128232991126	1.17131418262617	1.65959869497415	0.974002756883227	0.929639257666376	0.584386225607165	0.695183352426148	1.21922806740047	1.05837358014875
Pentose phosphate pathway	0.954684425120093	0.780289480589129	0.810370971856877	1.07179153746727	1.65035650300476	0.95643271015701	1.02166985068271	0.60752141210453	0.65268203033652	1.38241015828297	1.11179092039812
Pentose and glucuronate interconversions	1.01651016664663	0.821967905645879	0.770750000695652	1.14736586954511	1.92967888323362	1.07515405322592	0.925861463504596	0.619341453075158	0.675593962019099	1.14443344247038	0.873342799937964
Fructose and mannose metabolism	0.84476041527146	0.787811167442556	0.789167033085972	1.12935818666889	1.85447355937604	0.99447244942788	0.971083019454055	0.597992686166134	0.675684352517442	1.22460207792092	1.13059505266865
Galactose metabolism	0.858437420817152	0.827573078386484	0.791827088177396	1.1958420937437	1.3251330652827	1.00221718574111	1.19584684415753	0.596290573019982	0.695236085759211	1.54299908532759	0.968597479587136
Ascorbate and aldarate metabolism	0.991504721999679	0.967130558456376	0.824164815763934	1.06584595344841	1.44307902086482	1.14104898753275	0.927864264529785	0.769799310422774	0.776892420513768	1.11424011904724	0.978429827420465
Starch and sucrose metabolism	1.02388948846241	0.880057121341245	0.931500927265777	1.18850647929594	1.11715973416369	1.04184765747572	0.982169615897667	0.720358687039846	0.747712311101618	1.25765026986799	1.1091477080881
Amino sugar and nucleotide sugar metabolism	0.875696111629526	0.803346942603044	0.857241441869206	1.08169948007052	1.5184207811727	0.989528710417319	1.06799867962212	0.63637717923062	0.709156019285847	1.37024867800005	1.09028597609905
Pyruvate metabolism	0.841157487378781	0.801272418714732	0.834813581915955	1.13562561792074	2.00285291343402	0.868828813004674	0.916928813385067	0.574253711033385	0.624234929413921	1.19749962580513	1.2025320879936
Glyoxylate and dicarboxylate metabolism	0.875731586023478	0.8307453401421	0.796463216595069	1.20351440623731	1.8111931243997	1.03361258892541	0.876613057912011	0.608624268684692	0.651161885091815	1.0813822051119	1.23095832087652
Propanoate metabolism	0.893959607515173	0.873938005209112	0.813836398773811	1.24192870928061	1.3982361189707	1.12683651122348	1.05338597019878	0.576579386338944	0.621031037630438	1.23022751707432	1.17004073778464
Butanoate metabolism	0.875098180449029	0.810326580484089	0.771338732761688	1.2432742460741	1.92734230970889	1.10499613472193	0.885094213225839	0.613865525014383	0.694994150453734	1.10515178049306	0.968518146613262
Inositol phosphate metabolism	0.92342646612877	0.930929566435063	0.881086680477025	1.15917784669353	1.13228518372535	1.01889805922365	1.03360950935757	0.725648142662489	0.692738261038162	1.10910046709196	1.39309981716644
Oxidative phosphorylation	0.940015092375057	0.835518402985009	0.878816263377047	1.1174653337073	1.3948086339942	0.886119362538069	1.0323877533932	0.63498138993063	0.698118974378975	1.36715806661546	1.21461072670506
Nitrogen metabolism	0.996421551229959	0.970641760060267	1.39539227250966	1.0809390093416	0.929339001859231	1.22010973189975	0.842525680435444	0.860170451832124	0.884637084962871	0.86048385360991	0.959339602259185
Sulfur metabolism	1.00497891671874	0.788476708008124	0.738716717528391	1.18637699069787	1.60674773238449	1.09025161476571	0.904062830140775	0.594902344252324	0.682557643787216	1.14944167899335	1.25348682272301
Fatty acid biosynthesis	1.01840552973752	0.771096881164587	0.913881970329301	1.09046176011974	1.44183049509057	1.18638528675646	0.795880927217512	0.6739966415578	0.625279579887479	1.2033288141301	1.27945211400892
Fatty acid elongation	0.979490824884476	0.824019560544522	0.856494707153327	1.05755476826819	1.48860148196841	1.01621182346545	0.982214945758061	0.659961878041885	0.710250354713423	1.23474496969824	1.19045468550401
Fatty acid degradation	0.917541645122609	0.770327453458248	0.860754411556612	1.06745751115092	1.54745758415378	0.97000566159172	0.933100170499575	0.631073344544821	0.688897663321027	1.20492567588793	1.40845887871276
