.	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-3	TRBV12-4	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV24-1	TRBV25-1	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-3	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-8	TRBV6-1	TRBV6-3	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV7-2	TRBV7-3	TRBV7-4	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
None	0.0	0.0	0.0	0.0	0.0	1.2672665061462543E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2672665061462543E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2672665061462543E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRBJ1-1	0.0	0.0013939931567608795	0.0010138132049170032	0.0	0.0012672665061462538	1.2672665061462543E-4	0.0012672665061462538	0.002027626409834007	0.0	2.5345330122925085E-4	3.8017995184387625E-4	0.0015207198073755048	0.0	0.0031681662653656366	0.008617412241794525	0.003294892915980262	0.006589785831960526	0.0036750728678241374	6.33633253073127E-4	3.8017995184387625E-4	7.603599036877524E-4	0.006209605880116647	0.0034216195665948876	0.0019008997592193807	0.0019008997592193809	0.002154353060448632	0.0016474464579901303	1.2672665061462543E-4	0.00671651248257515	0.0	0.0010138132049170032	1.2672665061462543E-4	3.8017995184387625E-4	1.2672665061462543E-4	0.0017741731086047554	0.0015207198073755048	7.603599036877524E-4	0.004562159422126516	8.870865543023777E-4	0.0	0.0036750728678241387	0.0	0.0	5.069066024585017E-4	0.0	0.0013939931567608793	0.007350145735648277	0.0010138132049170032
TRBJ1-2	0.0	0.0011405398555316287	0.002407806361677883	0.0	0.0013939931567608793	0.0	0.0017741731086047554	0.00164744645799013	7.603599036877525E-4	6.33633253073127E-4	2.5345330122925085E-4	5.069066024585017E-4	0.0	0.0020276264098340064	0.0031681662653656366	0.003294892915980262	0.009377772145482275	7.603599036877524E-4	5.069066024585017E-4	1.2672665061462543E-4	0.0011405398555316285	0.004435432771511892	7.603599036877524E-4	0.0012672665061462538	0.00164744645799013	0.010645038651628533	0.0012672665061462538	0.0020276264098340064	0.0025345330122925084	0.0	0.0025345330122925084	0.00278798631352176	0.0011405398555316285	0.0	0.0022810797110632574	0.0013939931567608795	1.2672665061462543E-4	0.0020276264098340064	0.0015207198073755048	0.0	0.004815612723355767	0.0	0.0	3.8017995184387625E-4	0.0	3.8017995184387625E-4	0.0013939931567608793	7.603599036877524E-4
TRBJ1-3	0.0	0.0	3.8017995184387625E-4	2.5345330122925085E-4	8.870865543023779E-4	0.0	0.0010138132049170032	2.5345330122925085E-4	1.2672665061462543E-4	1.2672665061462543E-4	0.0	1.2672665061462543E-4	0.0	2.5345330122925085E-4	3.8017995184387625E-4	1.2672665061462543E-4	0.0017741731086047554	1.2672665061462543E-4	0.0	0.0	5.069066024585017E-4	0.01368647826637954	6.33633253073127E-4	6.33633253073127E-4	2.5345330122925085E-4	1.2672665061462543E-4	2.5345330122925085E-4	0.0015207198073755048	2.5345330122925085E-4	0.0	0.0	0.0	5.069066024585017E-4	0.0	2.5345330122925085E-4	0.0	0.0	0.0039285261690533875	2.5345330122925085E-4	0.0	7.603599036877524E-4	0.0	0.0	0.0	0.0	2.5345330122925085E-4	2.5345330122925085E-4	7.603599036877524E-4
TRBJ1-4	0.0	0.0	0.0	0.0	3.8017995184387625E-4	0.0	3.8017995184387625E-4	6.33633253073127E-4	0.0	1.2672665061462543E-4	3.8017995184387625E-4	0.0012672665061462538	0.0	3.8017995184387625E-4	7.603599036877524E-4	0.0011405398555316285	0.0025345330122925084	5.069066024585017E-4	2.5345330122925085E-4	1.2672665061462543E-4	0.0027879863135217594	8.870865543023777E-4	3.8017995184387625E-4	7.603599036877524E-4	3.8017995184387625E-4	5.069066024585017E-4	3.8017995184387625E-4	2.5345330122925085E-4	5.069066024585017E-4	0.0	1.2672665061462543E-4	0.0015207198073755048	6.33633253073127E-4	1.2672665061462543E-4	7.603599036877524E-4	0.0	0.0	3.8017995184387625E-4	3.8017995184387625E-4	0.0	0.00164744645799013	0.0	0.0	1.2672665061462543E-4	0.0	6.33633253073127E-4	0.0016474464579901299	0.0
TRBJ1-5	0.0	0.0	5.069066024585017E-4	0.0	3.8017995184387625E-4	1.2672665061462543E-4	0.002534533012292509	8.870865543023777E-4	0.0	0.0	2.5345330122925085E-4	8.870865543023779E-4	0.0	6.33633253073127E-4	0.003421619566594888	0.0040552528196680145	0.003928526169053389	5.069066024585017E-4	0.002027626409834007	0.0	2.5345330122925085E-4	0.010011405398555396	7.603599036877524E-4	0.0015207198073755046	3.8017995184387625E-4	0.0017741731086047556	3.8017995184387625E-4	1.2672665061462543E-4	0.0020276264098340064	0.0	1.2672665061462543E-4	7.603599036877524E-4	0.0013939931567608797	6.33633253073127E-4	0.005575972627043521	0.0013939931567608795	3.8017995184387625E-4	0.0010138132049170032	1.2672665061462543E-4	2.5345330122925085E-4	0.0015207198073755046	1.2672665061462543E-4	0.0	1.2672665061462543E-4	0.0	7.603599036877524E-4	0.0011405398555316285	8.870865543023779E-4
TRBJ1-6	0.0	2.5345330122925085E-4	2.5345330122925085E-4	0.0	0.004815612723355766	1.2672665061462543E-4	7.603599036877524E-4	1.2672665061462543E-4	0.0	1.2672665061462543E-4	0.0	6.33633253073127E-4	1.2672665061462543E-4	0.0010138132049170032	5.069066024585017E-4	0.0011405398555316287	0.0036750728678241387	1.2672665061462543E-4	0.0	0.0	7.603599036877524E-4	0.0013939931567608793	0.0	0.0013939931567608795	6.33633253073127E-4	6.33633253073127E-4	0.0	3.8017995184387625E-4	0.0013939931567608795	0.0	0.0010138132049170032	5.069066024585017E-4	0.0	0.0	8.870865543023777E-4	0.0	0.0	0.002281079711063258	0.0011405398555316285	0.0	0.0034216195665948876	0.0	0.0011405398555316287	5.069066024585017E-4	0.0	0.0	7.603599036877524E-4	6.33633253073127E-4
TRBJ2-1	0.001267266506146254	3.8017995184387625E-4	0.0022810797110632574	1.2672665061462543E-4	0.007350145735648276	0.0020276264098340064	0.006843239133189774	0.003041439614751011	1.2672665061462543E-4	7.603599036877524E-4	0.0010138132049170032	0.002407806361677883	0.0	0.004435432771511891	0.008617412241794528	0.006463059181345901	0.02635914332784216	6.33633253073127E-4	0.0011405398555316285	6.33633253073127E-4	0.0017741731086047554	0.013939931567608773	0.0019008997592193807	0.007223419085033653	0.0010138132049170032	0.009884678747940774	0.006209605880116645	0.0032948929159802615	0.007096692434419026	2.5345330122925085E-4	0.004435432771511891	0.002154353060448632	0.002407806361677883	0.0	0.002407806361677883	0.00532251932581427	3.8017995184387625E-4	0.01013813204917002	0.007096692434419025	0.0	0.005829425928272774	0.0	0.0	0.03104802940058323	3.8017995184387625E-4	0.0017741731086047554	0.002914712964136385	0.006716512482575148
TRBJ2-2	2.5345330122925085E-4	0.0	0.0030414396147510105	0.0	0.0016474464579901299	5.069066024585017E-4	0.0013939931567608793	1.2672665061462543E-4	1.2672665061462543E-4	3.8017995184387625E-4	1.2672665061462543E-4	0.0010138132049170032	0.0	0.002661259662907134	0.003928526169053388	0.0069699657838044	0.01774173108604757	7.603599036877524E-4	0.001900899759219381	0.0	0.0013939931567608795	0.002407806361677883	3.8017995184387625E-4	0.0021543530604486317	8.870865543023777E-4	0.0032948929159802623	1.2672665061462543E-4	0.004562159422126516	0.007730325687492153	1.2672665061462543E-4	0.0021543530604486317	0.0	0.004815612723355767	0.0	0.00557597262704352	0.0015207198073755046	6.33633253073127E-4	0.0010138132049170032	0.0015207198073755046	0.0	0.00278798631352176	0.0	0.0	0.0013939931567608795	7.603599036877524E-4	0.0013939931567608793	0.0017741731086047552	0.0012672665061462538
TRBJ2-3	0.0	1.2672665061462543E-4	0.0031681662653656366	1.2672665061462543E-4	7.603599036877524E-4	0.0	0.0020276264098340064	8.870865543023777E-4	0.0	6.33633253073127E-4	2.5345330122925085E-4	2.5345330122925085E-4	1.2672665061462543E-4	0.0013939931567608793	0.0031681662653656366	0.004435432771511893	0.019262450893423086	5.069066024585017E-4	0.0012672665061462538	1.2672665061462543E-4	0.0040552528196680145	0.008363958940565278	0.0013939931567608793	0.0022810797110632574	0.004308706120897264	0.0030414396147510105	0.0012672665061462538	2.5345330122925085E-4	0.006082879229502024	0.0	0.002661259662907134	5.069066024585017E-4	5.069066024585017E-4	5.069066024585017E-4	0.0010138132049170032	0.0015207198073755048	6.33633253073127E-4	0.0021543530604486317	0.007476872386262901	0.0	0.005575972627043522	0.0	0.0	0.0010138132049170032	1.2672665061462543E-4	0.002534533012292509	0.0036750728678241387	0.0020276264098340064
TRBJ2-4	0.0	0.0	1.2672665061462543E-4	0.0	7.603599036877525E-4	0.0	1.2672665061462543E-4	0.0	0.0	0.0	1.2672665061462543E-4	2.5345330122925085E-4	0.0	1.2672665061462543E-4	6.33633253073127E-4	3.8017995184387625E-4	0.0027879863135217603	0.0	2.5345330122925085E-4	2.5345330122925085E-4	0.0	0.0020276264098340064	2.5345330122925085E-4	0.0013939931567608795	1.2672665061462543E-4	0.0	0.0	3.8017995184387625E-4	7.603599036877524E-4	0.0	2.5345330122925085E-4	0.0	1.2672665061462543E-4	0.0	2.5345330122925085E-4	0.0010138132049170034	0.0	0.0	0.0	0.0	1.2672665061462543E-4	0.0	0.0	0.0	0.0	0.0	1.2672665061462543E-4	1.2672665061462543E-4
TRBJ2-5	0.0	2.5345330122925085E-4	3.8017995184387625E-4	1.2672665061462543E-4	0.0013939931567608795	2.5345330122925085E-4	0.00164744645799013	7.603599036877524E-4	0.0	1.2672665061462543E-4	3.8017995184387625E-4	0.0011405398555316285	0.0	0.0021543530604486317	0.002407806361677883	0.005575972627043521	0.01077176530224315	0.001267266506146254	6.33633253073127E-4	1.2672665061462543E-4	6.33633253073127E-4	0.01267266506146253	0.00278798631352176	0.0022810797110632574	0.0026612596629071337	8.870865543023777E-4	0.008870865543023777	2.5345330122925085E-4	0.012799391712077153	0.0	0.0017741731086047552	2.5345330122925085E-4	0.0022810797110632574	0.002027626409834007	0.0013939931567608793	0.0015207198073755048	0.0	0.0010138132049170032	3.8017995184387625E-4	0.0	0.002914712964136385	1.2672665061462543E-4	0.0	7.603599036877524E-4	5.069066024585017E-4	0.0012672665061462538	0.0011405398555316285	0.0011405398555316285
