statistic	p.value	sumsq	meansq	gene	method	p_adjust
1412.77183615486	0	960.879766126421	480.439883063211	HLA-J	anova	0
1156.96884344731	2.69382854254567e-301	893.770912681906	446.885456340953	HLA-H	anova	2.09674144609042e-297
1081.84436057503	1.87469897381656e-288	870.455638292329	435.227819146165	RNR2	anova	9.72781297513412e-285
985.023037814663	4.3162796275339e-271	837.387805103873	418.693902551937	RPS26	anova	1.6797881240455e-267
901.132785982684	3.10406613998774e-255	805.555291645959	402.777645822979	RPL21	anova	9.66419952023783e-252
768.543129865685	2.0033101050677e-228	747.958524818634	373.979262409317	IFITM3	anova	5.19758806759816e-225
722.614234483189	1.40159227014617e-218	725.54922597114	362.77461298557	ND4	anova	3.11694098133791e-215
658.330570678693	2.90413220836214e-204	691.688211264758	345.844105632379	CYTB	anova	5.65107826094667e-201
536.474806999724	3.34531011212648e-175	618.041500003388	309.020750001694	ND4L	anova	5.7862713906081e-172
477.094875844627	5.23259482581785e-160	576.749750506202	288.374875253101	RNR1	anova	8.14558036535065e-157
476.722593954344	6.5512412840377e-160	576.478016361027	288.239008180514	ATP6	anova	9.27119755169226e-157
465.042021158253	7.83835292462938e-157	567.865949140027	283.932974570014	EEF1A1	anova	1.01683033314755e-153
436.125311550553	4.42263705068406e-149	545.801232780457	272.900616390228	LOC101929876	anova	5.29593776676914e-146
427.015101064171	1.34202567907884e-146	538.620579370989	269.310289685495	HLA-G	anova	1.4922366961586e-143
381.095740019618	8.80398724031028e-134	500.628777895736	250.314388947868	PABPC1	anova	9.13677795799401e-131
348.016334218041	3.24650897994757e-124	471.248086382741	235.624043191371	ZFP36L2	anova	3.15865033067774e-121
346.734032248729	7.72982042965307e-124	470.072697811152	235.036348905576	IFITM2	anova	7.07824203696525e-121
340.15370174278	6.73975684328232e-122	463.99654848345	231.998274241725	TMSB10	anova	5.82876637663199e-119
328.339844762839	2.20123131756047e-118	452.897637970189	226.448818985094	UQCRB	anova	1.80350357476125e-115
314.10961772636	4.24682579635204e-114	439.193993603887	219.596996801943	H3F3A	anova	3.30551685859061e-111
303.906803563396	5.45561373770193e-111	429.135752651827	214.567876325913	MT2A	anova	4.04416852641933e-108
287.410206629172	6.74596151864709e-106	412.444660198979	206.22233009949	FKBP5	anova	4.77338104367178e-103
281.389785225589	5.10623345777582e-104	406.217171266989	203.108585633494	RPL17	anova	3.45603201031288e-101
280.200656547283	1.20384706898766e-103	404.978334547404	202.489167273702	SARAF	anova	7.80845305122123e-101
253.864188752088	2.78421452601495e-95	376.770590839782	188.385295419891	RPL21P28	anova	1.73367470105899e-92
248.624773405883	1.36599437051143e-93	370.977186890714	185.488593445357	ATP8	anova	8.17862860221211e-91
244.237970270852	3.61460924044071e-92	366.078445087438	183.039222543719	ENTPD1	anova	2.08402303873854e-89
234.859451509256	4.17967928737056e-89	355.455497326722	177.727748663361	ND1	anova	2.32375240951777e-86
222.385685216839	5.51800696318053e-85	341.001215458908	170.500607729454	NPM1	anova	2.96202808261487e-82
211.968006040924	1.67853724368517e-81	328.635016648714	164.317508324357	RPS14P3	anova	8.70992975748233e-79
206.969826253973	8.1249449663376e-80	322.603997183298	161.301998591649	RPL36A	anova	4.08003284809605e-77
198.367747266448	6.77364402547347e-77	312.071723904035	156.035861952018	TPT1	anova	3.29516614201705e-74
192.205550613403	8.71095388369003e-75	304.405558403101	152.202779201551	ATP5E	anova	4.10919451840614e-72
191.733648843989	1.26524484719748e-74	303.814240982365	151.907120491183	ND5	anova	5.79296074597739e-72
191.5100122062	1.51017712114624e-74	303.533800345341	151.76690017267	COX1	anova	6.71683635568102e-72
190.956530745571	2.34052755494572e-74	302.839145969147	151.419572984574	CCNI	anova	1.01208312355111e-71
189.44880469952	7.73125435539661e-74	300.942595725346	150.471297862673	SRGN	anova	3.25276855541781e-71
173.902050926891	1.94794837247862e-68	281.016112566775	140.508056283388	EEF2	anova	7.9799242932565e-66
171.191756588666	1.74076108699474e-67	277.471642140346	138.735821070173	CKLF	anova	6.94831483108902e-65
170.648348857939	2.70265409461889e-67	276.758406683104	138.379203341552	HLA-C	anova	1.0518054072733e-64
168.983274271994	1.04212247674731e-66	274.567567178335	137.283783589168	GNLY	anova	3.95676112085986e-64
166.773162833954	6.27469854245754e-66	271.646974318101	135.82348715905	PNRC1	anova	2.32567219548659e-63
161.538112793216	4.48865005387909e-64	264.671021128638	132.335510564319	CTSC	anova	1.62499570671479e-61
160.111793089023	1.44306705569351e-63	262.756102231472	131.378051115736	HNRNPA1	anova	5.10550564908657e-61
159.49499462781	2.3925469185806e-63	261.926104087022	130.963052043511	RPL12	anova	8.27661730700981e-61
159.39352406528	2.6001451244602e-63	261.789448974336	130.894724487168	COX3	anova	8.79923025053739e-61
159.128260634592	3.23211267848234e-63	261.432058477254	130.716029238627	TMSB4X	anova	1.07051698012627e-60
156.450775305073	2.91618669245398e-62	257.812648717851	128.906324358926	MALAT1	anova	9.45755796696481e-60
152.709654428683	6.37548481429608e-61	252.71850243514	126.35925121757	LOC100996809	anova	2.02545249192137e-58
151.913221178893	1.23155093647254e-60	251.62842667446	125.81421333723	RPS29	anova	3.8343106856136e-58
146.890828473346	7.93614108319275e-59	244.708495281894	122.354247640947	ND2	anova	2.42239035768748e-56
144.231141882802	7.27603413118999e-58	241.011606620271	120.505803310135	CALM1	anova	2.17819275615836e-55
139.875077901825	2.78165717711609e-56	234.907770939156	117.453885469578	VIM	anova	8.17019948606908e-54
137.748160364619	1.65894887793001e-55	231.905119990031	115.952559995016	TIMP1	anova	4.78238095976602e-53
135.913362384363	7.76931890286799e-55	229.302966413352	114.651483206676	CNBP	anova	2.19899977019902e-52
128.16114906197	5.48735770844795e-52	218.185268032636	109.092634016318	DDX5	anova	1.52538745441802e-49
122.891126686839	4.90815809161834e-50	210.511487242408	105.255743621204	COX2	anova	1.34044380723198e-47
121.411833641273	1.74138978315518e-49	208.340314333659	104.17015716683	RPS12	anova	4.67383013006494e-47
114.987277469366	4.3714830328379e-47	198.822362735031	99.4111813675153	MSN	anova	1.15340468427437e-44
113.67694945685	1.35618236392095e-46	196.863245970558	98.4316229852791	FAM134B	anova	3.5186151431929e-44
113.283464992065	1.90598495373302e-46	196.273740118249	98.1368700591243	EIF4B	anova	4.86401111061672e-44
112.353106687943	4.264400996243e-46	194.877707345453	97.4388536727263	HIST1H4C	anova	1.07070855336314e-43
110.985832592718	1.39490849116343e-45	192.820439627589	96.4102198137945	BTG2	anova	3.44675245745098e-43
109.175684475523	6.71800183966236e-45	190.086446049441	95.0432230247205	ZFP36	anova	1.63404897871912e-42
