length	imgt_pos	feature	estimate
12	p105	isoelectric point	-0.0370900287254151
12	p105	hydrophobicity	0.0377477127568067
12	p105	volume	0.038316151942544
12	p106	isoelectric point	0.00592574911093679
12	p106	hydrophobicity	-0.0111407634159873
12	p106	volume	-0.120686911418795
12	p107	isoelectric point	-0.257299866452488
12	p107	hydrophobicity	-0.0514841488017176
12	p107	volume	0.458687781972675
12	p108	isoelectric point	0.162060449357468
12	p108	hydrophobicity	-0.52663241175105
12	p108	volume	0.213922954760527
12	p109	isoelectric point	0.211112415024397
12	p109	hydrophobicity	0.0389128178647718
12	p109	volume	-0.0543358828425222
12	p113	isoelectric point	0.412121405007957
12	p113	hydrophobicity	0.308935989446959
12	p113	volume	-0.066497239309389
12	p114	isoelectric point	0.471057444470186
12	p114	hydrophobicity	-0.154168704878581
12	p114	volume	-0.142343810504473
12	p115	isoelectric point	0.476902126150538
12	p115	hydrophobicity	-0.0366308650254545
12	p115	volume	-0.226434945530061
12	p116	isoelectric point	-0.190321201365841
12	p116	hydrophobicity	-0.563123458638643
12	p116	volume	-0.241643801644434
12	p117	isoelectric point	-0.309173679054329
12	p117	hydrophobicity	-0.360777674885989
12	p117	volume	-0.101091054726817
13	p105	isoelectric point	-0.0483765441206589
13	p105	hydrophobicity	0.0484555911141257
13	p105	volume	0.0449717486750746
13	p106	isoelectric point	-0.07419051909484
13	p106	hydrophobicity	0.2223857719739
13	p106	volume	-0.226793054615311
13	p107	isoelectric point	-0.0151801267637471
13	p107	hydrophobicity	-0.143909779310634
13	p107	volume	-0.484122293887508
13	p108	isoelectric point	-0.0860620935859358
13	p108	hydrophobicity	-0.0736379599310045
13	p108	volume	0.156611568101411
13	p109	isoelectric point	-0.0730128086263304
13	p109	hydrophobicity	0.268715711117933
13	p109	volume	-0.0110087404500833
13	p110	isoelectric point	0.0724917922497051
13	p110	hydrophobicity	-0.0389039066998154
13	p110	volume	-0.12842898046687
13	p113	isoelectric point	-0.186549300655536
13	p113	hydrophobicity	-0.0881581572166437
13	p113	volume	-0.0747500450428105
13	p114	isoelectric point	-0.0326817785679777
13	p114	hydrophobicity	0.0994276565049578
13	p114	volume	-0.173270941256015
13	p115	isoelectric point	-0.049362150109639
13	p115	hydrophobicity	0.652440300840987
13	p115	volume	0.0498532177011882
13	p116	isoelectric point	0.403503592376463
13	p116	hydrophobicity	-0.255143882389955
13	p116	volume	-0.101749911862076
13	p117	isoelectric point	-0.183656219240797
13	p117	hydrophobicity	-0.0840523851098389
13	p117	volume	-0.0757147236353388
14	p105	isoelectric point	-0.0202199534908357
14	p105	hydrophobicity	0.0224750043791513
14	p105	volume	0.0220243317259404
14	p106	isoelectric point	0.0637190751949863
14	p106	hydrophobicity	0.0264357080069948
14	p106	volume	0.0489437349529537
14	p107	isoelectric point	-0.0352746995871909
14	p107	hydrophobicity	-0.245642528786641
14	p107	volume	-0.209629860687367
14	p108	isoelectric point	0.0960180433989512
14	p108	hydrophobicity	0.0714184307607521
14	p108	volume	-0.0213482568348447
14	p109	isoelectric point	0.0560915133783666
14	p109	hydrophobicity	-0.0280192943080498
14	p109	volume	-0.00364026593598351
14	p110	isoelectric point	-0.0375378588772059
14	p110	hydrophobicity	-0.0680256359302026
14	p110	volume	0.111420297878305
14	p112	isoelectric point	0.285789501727293
14	p112	hydrophobicity	-0.0262830320402354
14	p112	volume	0.0434450338822552
14	p113	isoelectric point	0.0949177050106168
14	p113	hydrophobicity	-0.116728967408754
14	p113	volume	0.0408086608178765
14	p114	isoelectric point	0.0717337496958305
14	p114	hydrophobicity	0.205131738969887
14	p114	volume	-0.161302438806579
14	p115	isoelectric point	0.334455690499288
