Gene	Expression
209	HSP90AB1	6.03953672408356
210	RN7SK	5.97961973735689
211	CITED2	5.95278498968155
212	SRP14	5.94302985273265
213	COMMD6	5.93884629849995
214	PCBP1	5.90227704089151
215	HNRNPDL	5.89125410490482
216	ATP5G2	5.77028682902207
217	IL2RG	5.71858921532705
218	DAZAP2	5.7128105285084
219	TNFAIP3	5.71022810760372
220	CD44	5.6477759995138
221	HINT1	5.59911069304968
222	LOC101929876	5.54902652872634
223	ARPC1B	5.49355370301342
224	CKLF	5.47811867818119
225	CYTIP	5.41854268470239
226	CHCHD2	5.40666440827534
227	RPL31	5.40649085303715
228	XCL1	5.4021399988821
229	RPL17	5.31551645219896
230	SRSF7	5.25962953747222
231	PPIB	5.25027260567242
232	CCNI	5.21781765301557
233	CIRBP	5.21269385333169
234	HOPX	5.18003495475162
235	UQCR11	5.16912169671133
236	LCP1	5.16631485446693
237	NPM1	5.14682008588596
238	BTG2	5.11490876832846
239	ARPC3	5.10625661653548
240	GZMA	5.09120934230161
241	RPS11	5.02102639526986
242	NFKBIA	4.99229359195956
243	ALDOA	4.95894731399993
244	DDIT4	4.86499831861098
245	SUMO2	4.85217497147829
246	CD37	4.75037118682392
247	UBL5	4.74665203798825
248	SNRPD2	4.73721608130277
249	GSTK1	4.66036596124182
250	LCK	4.62959729632448
