Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Kaposi sarcoma-associated herpesvirus infection	10/193	0.00654199339343403	0.0485693448906466	0	0	2.6580111480888	13.3685025796396	NFKBIA;JUN;ZFP36;IFNGR1;MYC;TCF7;CYCS;PIK3R1;RPS27A;NFKB1
Pathogenic Escherichia coli infection	10/197	0.00751693132617662	0.0541661227915668	0	0	2.60061919504644	12.718581194457	NFKBIA;CYTH3;JUN;TUBB2A;RPS3;CYCS;FYN;TUBB4B;NFKB1;CYTH1
Ras signaling pathway	11/232	0.00849099080606309	0.0594369356424416	0	0	2.422406148389	11.551848309385	FGF9;RASA3;FLT4;RASGRF2;FLT3LG;TGFA;RRAS2;PIK3R1;RASGRP2;ETS1;NFKB1
Acute myeloid leukemia	5/67	0.0119525715372731	0.0813438896286641	0	0	3.89831523474928	17.257096312478	MYC;ZBTB16;TCF7;PIK3R1;NFKB1
IL-17 signaling pathway	6/94	0.0126982117529251	0.0840827534990988	0	0	3.29962779156328	14.4071453660486	NFKBIA;JUN;TNFAIP3;FOSB;NFKB1;HSP90B1
cAMP signaling pathway	10/216	0.0137596516633556	0.0887135436190029	0	0	2.35844465532764	10.1083286080011	NFKBIA;JUN;PTGER2;CAMK4;PDE3B;PDE4B;RRAS2;PIK3R1;ADRB2;NFKB1
Prostate cancer	6/97	0.0146525086736701	0.0920478108986967	0	0	3.19035802906771	13.473340467529	NFKBIA;TCF7;TGFA;PIK3R1;NFKB1;HSP90B1
Natural killer cell mediated cytotoxicity	7/131	0.0182551126660552	0.10654913631751	0	0	2.73369041887338	10.9438104425583	NCR3;TYROBP;IFNGR1;ICAM2;PRF1;FYN;PIK3R1
Chagas disease	6/102	0.0183582822376963	0.10654913631751	0	0	3.02341811414392	12.0866413713879	NFKBIA;JUN;IFNGR1;PIK3R1;PLCB1;NFKB1
JAK-STAT signaling pathway	8/162	0.0185377706671545	0.10654913631751	0	0	2.51799073744211	10.0416084973101	SOCS3;IL23A;IFNGR1;IL23R;MYC;OSM;PIK3R1;IL7R
Pancreatic cancer	5/76	0.0197261845156451	0.10654913631751	0	0	3.40259378050481	13.3579311179105	SMAD3;GADD45B;TGFA;PIK3R1;NFKB1
C-type lectin receptor signaling pathway	6/104	0.0200051439616549	0.10654913631751	0	0	2.96141186002937	11.5843497534632	NFKBIA;JUN;IL23A;RRAS2;PIK3R1;NFKB1
NF-kappa B signaling pathway	6/104	0.0200051439616549	0.10654913631751	0	0	2.96141186002937	11.5843497534632	NFKBIA;EDA;GADD45B;TNFAIP3;LTB;NFKB1
T cell receptor signaling pathway	6/104	0.0200051439616549	0.10654913631751	0	0	2.96141186002937	11.5843497534632	NFKBIA;JUN;MAP3K8;FYN;PIK3R1;NFKB1
Wnt signaling pathway	8/166	0.0211167294090249	0.110076568195981	0	0	2.4537390700464	9.46576391164122	TLE4;JUN;TLE1;SMAD3;MYC;RUVBL1;TCF7;PLCB1
Apelin signaling pathway	7/137	0.0227113157314996	0.115922340712862	0	0	2.60671641791045	9.86614008598554	SMAD3;CAMK4;RPS6;PDE3B;RRAS2;PLCB1;KLF2
Insulin resistance	6/108	0.0235941396197653	0.117970698098827	0	0	2.84469420522551	10.6583776958217	NFKBIA;SOCS3;GFPT2;PYGM;PIK3R1;NFKB1
Fluid shear stress and atherosclerosis	7/139	0.0243501793886991	0.119315879004626	0	0	2.56695688225539	9.53679944041344	JUN;DUSP1;PIK3R1;NFKB1;KLF2;HSP90B1;NFE2L2
ErbB signaling pathway	5/85	0.0302398628096113	0.142231974619297	0	0	3.01840965346535	10.5601907012244	JUN;MYC;TGFA;PIK3R1;AREG
Shigellosis	10/246	0.0305585780373062	0.142231974619297	0	0	2.05545643770443	7.16965783829713	NFKBIA;CYTH3;JUN;PXN;CYCS;PIK3R1;PLCB1;RPS27A;NFKB1;CYTH1
Endometrial cancer	4/58	0.0307685496115215	0.142231974619297	0	0	3.57329675354367	12.4395830147104	GADD45B;MYC;TCF7;PIK3R1
Breast cancer	7/147	0.0317153986286779	0.143194298685966	0	0	2.41927860696517	8.34881665739805	JUN;FGF9;GADD45B;MYC;FLT4;TCF7;PIK3R1
Phospholipase D signaling pathway	7/148	0.032730125413935	0.143194298685966	0	0	2.40199710666526	8.21353148596462	CYTH3;RRAS2;FYN;PIK3R1;PLCB1;CYTH1;AGPAT4
Retrograde endocannabinoid signaling	7/148	0.032730125413935	0.143194298685966	0	0	2.40199710666526	8.21353148596462	ND6;ND1;ND4L;ND3;PLCB1;ND2;ND4
Viral myocarditis	4/60	0.0342711104411744	0.14730565014189	0	0	3.44532627865961	11.6226446889798	PRF1;CYCS;FYN;CD55
Neurotrophin signaling pathway	6/119	0.0356144843756493	0.148901343686313	0	0	2.56632776301632	8.55871042778246	NFKBIA;JUN;CAMK4;MATK;PIK3R1;NFKB1
PD-L1 expression and PD-1 checkpoint pathway in cancer	5/89	0.0358578746020101	0.148901343686313	0	0	2.87408651579444	9.56551198452386	NFKBIA;JUN;IFNGR1;PIK3R1;NFKB1
Thyroid cancer	3/37	0.0395073346080893	0.161321616316365	0	0	4.25028977108085	13.7338293149282	GADD45B;MYC;TCF7
Th1 and Th2 cell differentiation	5/92	0.0404664604072072	0.162529226225668	0	0	2.77455331740071	8.89877431934908	NFKBIA;JUN;IFNGR1;TBX21;NFKB1
Hepatitis C	7/157	0.0428455968366548	0.169309213306136	0	0	2.25683250414594	7.10936632216247	NFKBIA;SOCS3;MYC;CYCS;EIF3E;PIK3R1;NFKB1
Hepatitis B	7/162	0.0492519577471981	0.191535391239104	0	0	2.18346974803402	6.57400416961121	NFKBIA;JUN;SMAD3;MYC;CYCS;PIK3R1;NFKB1
Ferroptosis	3/41	0.0510933412597771	0.193032947407673	0	0	3.80211304122375	11.3078685717307	FTH1;ACSL6;FTL
Adipocytokine signaling pathway	4/69	0.0527886019441391	0.193032947407673	0	0	2.96691358024691	8.727057571819	NFKBIA;SOCS3;ACSL6;NFKB1
Renal cell carcinoma	4/69	0.0527886019441391	0.193032947407673	0	0	2.96691358024691	8.727057571819	JUN;TGFA;PIK3R1;ETS1
Renin secretion	4/69	0.0527886019441391	0.193032947407673	0	0	2.96691358024691	8.727057571819	PTGER2;PDE3B;ADRB2;PLCB1
AGE-RAGE signaling pathway in diabetic complications	5/100	0.0544410376861432	0.195758701806316	0	0	2.53986451276707	7.39262372816046	JUN;SMAD3;PIK3R1;PLCB1;NFKB1
Focal adhesion	8/201	0.055132042549534	0.195758701806316	0	0	2.00514258395462	5.81095172748675	JUN;FLT4;COL6A2;PXN;FLNA;ITGA6;FYN;PIK3R1
Epstein-Barr virus infection	8/202	0.0564346073179164	0.197521125612707	0	0	1.99470396174512	5.73412103084891	NFKBIA;JUN;GADD45B;MYC;CYCS;TNFAIP3;PIK3R1;NFKB1
Hepatocellular carcinoma	7/168	0.0577028493653482	0.198450991202714	0	0	2.10144927536232	5.99427630463021	SMAD3;GADD45B;MYC;TCF7;TGFA;PIK3R1;NFE2L2
Longevity regulating pathway	5/102	0.058320291292226	0.198450991202714	0	0	2.48724099214045	7.06825437659049	SESN1;CAMK4;PIK3R1;SOD2;NFKB1
Protein processing in endoplasmic reticulum	7/171	0.0622446784679761	0.204029922507332	0	0	2.0626896007766	5.72743356821668	ERN1;DNAJA1;XBP1;HSPA5;DDIT3;HSP90B1;NFE2L2
Toll-like receptor signaling pathway	5/104	0.0623537678200116	0.204029922507332	0	0	2.43674367436744	6.76179599608641	NFKBIA;JUN;MAP3K8;PIK3R1;NFKB1
p53 signaling pathway	4/73	0.0624581395430607	0.204029922507332	0	0	2.79434603685811	7.74944449649482	GADD45B;SESN1;IGFBP3;CYCS
Glycosphingolipid biosynthesis	3/45	0.0641299649179267	0.206734755327527	0	0	3.43930330752991	9.44722811664516	B4GALT1;B3GALT2;ST3GAL1
Measles	6/139	0.0661980709542532	0.210630225763533	0	0	2.17817496595086	5.91397146719126	NFKBIA;JUN;CYCS;TNFAIP3;PIK3R1;NFKB1
Glioma	4/75	0.0676188903102053	0.212392668282055	0	0	2.71535385150409	7.31480455737384	GADD45B;CAMK4;TGFA;PIK3R1
Spinocerebellar ataxia	6/143	0.0737171700569874	0.228616540050151	0	0	2.11414392059553	5.51267157199607	ERN1;XBP1;CYCS;RORA;PIK3R1;PLCB1
Cocaine addiction	3/49	0.0785338222795143	0.240509830731013	0	0	3.1395909188263	7.98782849944234	JUN;FOSB;NFKB1
