.	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-3	TRBV12-4	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV24-1	TRBV25-1	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-8	TRBV6-1	TRBV6-3	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV7-2	TRBV7-3	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
None	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001141552511415524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRBJ1-1	2.85388127853881E-4	2.85388127853881E-4	0.001712328767123286	0.0	0.00285388127853881	0.0	0.001997716894977167	0.002568493150684929	0.0	2.85388127853881E-4	0.001141552511415524	0.0	0.001426940639269405	0.011986301369863003	0.002283105022831048	0.013698630136986288	0.0	5.70776255707762E-4	2.85388127853881E-4	0.0031392694063926913	5.70776255707762E-4	8.56164383561643E-4	0.00285388127853881	0.001426940639269405	5.70776255707762E-4	2.85388127853881E-4	5.70776255707762E-4	0.004566210045662096	0.001426940639269405	0.001997716894977167	0.001426940639269405	0.0	0.00285388127853881	0.002283105022831048	0.0	0.003424657534246572	8.56164383561643E-4	2.85388127853881E-4	0.0042808219178082155	5.70776255707762E-4	2.85388127853881E-4	2.85388127853881E-4	8.56164383561643E-4	8.56164383561643E-4	0.002568493150684929
TRBJ1-2	0.0	0.0	5.70776255707762E-4	8.56164383561643E-4	0.017408675799086743	0.0	0.001426940639269405	0.001997716894977167	0.0	5.70776255707762E-4	8.56164383561643E-4	5.70776255707762E-4	0.01398401826484017	0.0031392694063926913	0.002283105022831048	0.004566210045662096	5.70776255707762E-4	0.001997716894977167	2.85388127853881E-4	0.001712328767123286	8.56164383561643E-4	0.003424657534246572	0.002283105022831048	0.001426940639269405	0.005136986301369858	5.70776255707762E-4	0.003710045662100453	0.003995433789954334	5.70776255707762E-4	2.85388127853881E-4	0.001712328767123286	0.001141552511415524	0.001712328767123286	0.0	5.70776255707762E-4	0.0042808219178082155	5.70776255707762E-4	0.0	0.0042808219178082155	8.56164383561643E-4	2.85388127853881E-4	0.0	5.70776255707762E-4	0.007990867579908668	0.001712328767123286
TRBJ1-3	0.0	0.0	2.85388127853881E-4	2.85388127853881E-4	0.0	0.0	2.85388127853881E-4	5.70776255707762E-4	0.0	5.70776255707762E-4	0.001712328767123286	0.0	0.001712328767123286	2.85388127853881E-4	8.56164383561643E-4	0.001712328767123286	0.0	0.0	0.0	2.85388127853881E-4	0.0	5.70776255707762E-4	8.56164383561643E-4	2.85388127853881E-4	0.001141552511415524	5.70776255707762E-4	0.0	0.001141552511415524	5.70776255707762E-4	0.0	0.0	0.0	0.001712328767123286	0.0	0.0	8.56164383561643E-4	5.70776255707762E-4	0.0	2.85388127853881E-4	0.001141552511415524	0.0	0.0	0.0	5.70776255707762E-4	5.70776255707762E-4
TRBJ1-4	0.0	0.0	2.85388127853881E-4	0.0	2.85388127853881E-4	0.0	0.001712328767123286	2.85388127853881E-4	0.0	0.0	0.0	0.0	2.85388127853881E-4	2.85388127853881E-4	0.005136986301369858	8.56164383561643E-4	0.0	2.85388127853881E-4	0.0	0.0	2.85388127853881E-4	0.0	0.001141552511415524	0.0	0.0	2.85388127853881E-4	0.0	0.001141552511415524	0.001426940639269405	2.85388127853881E-4	2.85388127853881E-4	2.85388127853881E-4	5.70776255707762E-4	2.85388127853881E-4	0.0	0.0	0.001141552511415524	0.0	0.001997716894977167	0.0	0.0	0.0	2.85388127853881E-4	0.0	2.85388127853881E-4
TRBJ1-5	0.0	0.0	0.0	0.0	2.85388127853881E-4	0.0	0.0	5.70776255707762E-4	0.0	0.0	0.0	5.70776255707762E-4	8.56164383561643E-4	0.001997716894977167	0.001141552511415524	0.04081050228310496	0.0	0.001141552511415524	0.0	0.0	2.85388127853881E-4	0.0	5.70776255707762E-4	0.001712328767123286	0.0	2.85388127853881E-4	2.85388127853881E-4	8.56164383561643E-4	0.0	0.002568493150684929	5.70776255707762E-4	0.0	0.001997716894977167	0.001426940639269405	2.85388127853881E-4	0.001426940639269405	2.85388127853881E-4	0.0	0.001141552511415524	0.0	0.0	0.0	0.0	5.70776255707762E-4	5.70776255707762E-4
TRBJ1-6	2.85388127853881E-4	0.0	0.0	5.70776255707762E-4	5.70776255707762E-4	5.70776255707762E-4	0.0	2.85388127853881E-4	2.85388127853881E-4	0.001141552511415524	0.0	2.85388127853881E-4	8.56164383561643E-4	0.005422374429223739	5.70776255707762E-4	0.001141552511415524	8.56164383561643E-4	0.0031392694063926913	0.0	2.85388127853881E-4	0.0	5.70776255707762E-4	2.85388127853881E-4	5.70776255707762E-4	0.0	0.0	5.70776255707762E-4	0.001426940639269405	0.001141552511415524	2.85388127853881E-4	0.001141552511415524	0.0	2.85388127853881E-4	0.0	2.85388127853881E-4	0.0031392694063926913	2.85388127853881E-4	0.0	0.001426940639269405	5.70776255707762E-4	0.0	0.0	2.85388127853881E-4	2.85388127853881E-4	2.85388127853881E-4
TRBJ2-1	5.70776255707762E-4	0.0	8.56164383561643E-4	0.002283105022831048	0.006563926940639263	2.85388127853881E-4	0.001426940639269405	0.00285388127853881	2.85388127853881E-4	2.85388127853881E-4	0.0	0.0	0.007420091324200906	0.07505707762557069	0.00570776255707762	0.004851598173515977	5.70776255707762E-4	0.003995433789954334	0.0	2.85388127853881E-4	0.0	0.001712328767123286	0.007420091324200906	0.001141552511415524	0.002283105022831048	0.0	2.85388127853881E-4	0.00570776255707762	8.56164383561643E-4	0.001426940639269405	0.002283105022831048	0.010844748858447478	0.001141552511415524	0.001997716894977167	8.56164383561643E-4	0.001426940639269405	0.001426940639269405	0.0	0.007705479452054787	0.012557077625570765	8.56164383561643E-4	0.0	0.0	0.003424657534246572	0.001997716894977167
TRBJ2-2	5.70776255707762E-4	0.0	0.0	0.0	8.56164383561643E-4	2.85388127853881E-4	2.85388127853881E-4	0.0	0.0	0.0	2.85388127853881E-4	0.0	0.00285388127853881	0.001426940639269405	0.001426940639269405	0.003424657534246572	0.0	5.70776255707762E-4	0.0	0.001141552511415524	2.85388127853881E-4	5.70776255707762E-4	0.001426940639269405	8.56164383561643E-4	0.001426940639269405	5.70776255707762E-4	2.85388127853881E-4	0.004566210045662096	0.001712328767123286	5.70776255707762E-4	0.014840182648401812	8.56164383561643E-4	0.001997716894977167	0.001141552511415524	2.85388127853881E-4	5.70776255707762E-4	5.70776255707762E-4	0.0	0.0031392694063926913	0.004566210045662096	8.56164383561643E-4	5.70776255707762E-4	0.0	8.56164383561643E-4	0.001141552511415524
TRBJ2-3	0.0	0.0	5.70776255707762E-4	2.85388127853881E-4	8.56164383561643E-4	2.85388127853881E-4	5.70776255707762E-4	0.005422374429223739	2.85388127853881E-4	2.85388127853881E-4	2.85388127853881E-4	2.85388127853881E-4	2.85388127853881E-4	0.002283105022831048	8.56164383561643E-4	0.004566210045662096	2.85388127853881E-4	0.001141552511415524	5.70776255707762E-4	2.85388127853881E-4	0.001426940639269405	0.001997716894977167	0.001712328767123286	5.70776255707762E-4	0.001141552511415524	5.70776255707762E-4	5.70776255707762E-4	0.002568493150684929	8.56164383561643E-4	2.85388127853881E-4	8.56164383561643E-4	5.70776255707762E-4	0.001141552511415524	5.70776255707762E-4	0.001141552511415524	0.001141552511415524	5.70776255707762E-4	0.0	0.03110730593607303	0.001141552511415524	8.56164383561643E-4	0.0	8.56164383561643E-4	0.002568493150684929	0.00285388127853881
TRBJ2-4	0.0	2.85388127853881E-4	0.0	0.0	0.0	0.0	0.0	2.85388127853881E-4	2.85388127853881E-4	0.0	2.85388127853881E-4	0.0	0.0	0.0	0.0	2.85388127853881E-4	0.0	0.0	0.0	2.85388127853881E-4	0.0	0.0	5.70776255707762E-4	0.0	0.0	2.85388127853881E-4	0.0	0.0	2.85388127853881E-4	0.0	0.0	0.0	0.0	5.70776255707762E-4	0.0	5.70776255707762E-4	0.0	0.0	2.85388127853881E-4	0.0	0.0	0.0	0.0	0.0	0.0
TRBJ2-5	2.85388127853881E-4	0.0	0.0	2.85388127853881E-4	0.002568493150684929	2.85388127853881E-4	0.0042808219178082155	0.007420091324200906	8.56164383561643E-4	5.70776255707762E-4	5.70776255707762E-4	0.0	0.001141552511415524	0.006849315068493144	0.001997716894977167	0.006563926940639263	2.85388127853881E-4	0.001426940639269405	2.85388127853881E-4	2.85388127853881E-4	8.56164383561643E-4	0.001141552511415524	0.003424657534246572	0.007990867579908668	0.001997716894977167	0.021689497716894955	0.001141552511415524	0.0042808219178082155	0.02796803652968034	0.001997716894977167	0.09132420091324192	8.56164383561643E-4	0.003710045662100453	0.002283105022831048	0.0	5.70776255707762E-4	8.56164383561643E-4	0.0	0.0031392694063926913	5.70776255707762E-4	0.001141552511415524	0.0042808219178082155	0.00570776255707762	0.001426940639269405	0.00285388127853881
TRBJ2-6	0.0	0.0	0.0	0.0	2.85388127853881E-4	0.0	0.0	0.0	0.0	2.85388127853881E-4	0.0	0.0	5.70776255707762E-4	8.56164383561643E-4	5.70776255707762E-4	8.56164383561643E-4	0.0	2.85388127853881E-4	0.0	0.0	0.0	5.70776255707762E-4	0.001712328767123286	5.70776255707762E-4	2.85388127853881E-4	0.0	0.0	0.002568493150684929	0.0	0.0	2.85388127853881E-4	0.0	2.85388127853881E-4	2.85388127853881E-4	0.0	0.0	0.0	0.0	0.001712328767123286	0.0	2.85388127853881E-4	0.0	2.85388127853881E-4	0.0	0.0
TRBJ2-7	8.56164383561643E-4	2.85388127853881E-4	0.001426940639269405	2.85388127853881E-4	2.85388127853881E-4	0.0	0.002283105022831048	5.70776255707762E-4	0.0	0.08847031963470312	5.70776255707762E-4	5.70776255707762E-4	0.001426940639269405	5.70776255707762E-4	0.001712328767123286	0.004566210045662096	5.70776255707762E-4	0.0	0.0	0.001141552511415524	0.001712328767123286	0.0	0.002283105022831048	8.56164383561643E-4	2.85388127853881E-4	2.85388127853881E-4	0.0	0.002283105022831048	8.56164383561643E-4	2.85388127853881E-4	0.001712328767123286	0.0	0.00285388127853881	0.0031392694063926913	0.0	0.0	2.85388127853881E-4	0.0	0.004851598173515977	2.85388127853881E-4	0.0	0.0	8.56164383561643E-4	0.0	0.001426940639269405
