Tem/Trm cytotoxic T cells.1	Cycling T cells	Trm cytotoxic T cells	Tem/Trm cytotoxic T cells	Tcm/Naive helper T cells	Regulatory T cells.1	Type 1 helper T cells.1	Follicular helper T cells	Plasmablasts	Regulatory T cells	Type 1 helper T cells	gamma-delta T cells
Glycolysis / Gluconeogenesis	0.823168953442369	1.95645935836356	0.79472971800359	1.03841558458697	0.5789104578382	0.906940837901385	0.764505257233119	0.647291148298233	1.63030173713065	1.13510406323366	0.672143873492038	1.05202901047623
Citrate cycle (TCA cycle)	0.876448397632554	1.91112418846399	0.858931281051871	1.13620489076265	0.576054884178653	0.993203748756891	0.680592933350523	0.615143971241881	1.70073433195041	1.05115829608854	0.633247974409619	0.967155102112407
Pentose phosphate pathway	0.802036492452064	2.03967148573565	0.80129588539055	1.01914271533168	0.637010063316463	0.936752889035894	0.667025292011166	0.649028168845601	1.57707293821383	1.07782451543272	0.618859543654793	1.17428001057959
Pentose and glucuronate interconversions	0.711052114190274	2.06454236670351	0.798821129651419	0.845978097460484	0.746005587771918	0.831251879763236	0.690000169127419	0.729666880637763	1.78146980217131	1.06798952861845	0.668810375275694	1.06441206862852
Fructose and mannose metabolism	0.765900527618368	1.7666728198973	0.914137107355795	0.979857340999175	0.707082216875928	0.911607622587225	0.892212822400979	0.706390899129479	1.39131105540293	1.16006324403343	0.696274164236473	1.10849017946291
Galactose metabolism	0.88657296580155	1.5369749627284	0.877314380286214	0.956463734054541	0.653294619281522	0.996587627130256	0.883712796337951	0.757364313264261	1.34375144874722	1.15559630343811	0.760561106329554	1.19180574260043
Ascorbate and aldarate metabolism	0.662489800604305	1.95642988835031	0.873092183376111	0.910992179221769	0.538584952817387	0.734261587170421	0.623942801270807	0.587360967584977	1.26149674724223	1.26318680562169	0.602167058984309	1.98599502775569
Starch and sucrose metabolism	0.906992138377034	1.2603655091625	0.898269804582636	1.00282620676184	0.793475099152842	0.999879693214942	0.915263538114475	0.844873533864862	1.0270693893771	1.25925850954957	0.77277006530571	1.31895651253649
Amino sugar and nucleotide sugar metabolism	0.817711766129771	1.67345969304655	0.984053001812883	0.990954490324179	0.664864521623889	0.901511213770379	0.890213129124163	0.710858525272568	1.27952147806899	1.06186103366212	0.760311511155524	1.26467963600898
Pyruvate metabolism	0.786927009138658	1.90186213354982	0.849041164662689	0.996170649748015	0.665394836427344	0.974841801794384	0.759526769860304	0.686036125277456	1.63375128089382	1.03096321417107	0.709376865804991	1.00610814867145
Glyoxylate and dicarboxylate metabolism	0.767964352770869	2.20776484541738	0.802030601743287	0.976285775389579	0.645413788164073	0.897430606927922	0.681704511055455	0.622976518804604	1.81356668199524	1.01025324497286	0.624571735513288	0.950037337245451
Propanoate metabolism	0.894572831092022	1.72467082900006	0.909270561395444	1.12581580534678	0.700236602380896	1.00565591473503	0.715484397638692	0.704120650612875	1.3273056730397	1.19150110920622	0.688339868403842	1.01302575714844
Butanoate metabolism	0.725723346099252	2.38803027478905	0.754201198577457	1.00793328333298	0.700754660399186	0.829448739962224	0.604244283295624	0.666740851909644	1.66622383412211	1.17879984105753	0.578357950652788	0.899541735802158
Inositol phosphate metabolism	1.00739362303949	1.14540985393584	0.935095762362746	1.15132487413042	0.686953551413054	1.05414118463615	0.789639588497008	0.764040523226839	1.17815851545469	1.22627484867614	0.727661815588829	1.33390585903879
Oxidative phosphorylation	0.903397101163583	1.82338573151881	0.837814920319089	1.19528482786857	0.67108280592021	1.0428642993345	0.657790610564702	0.662499990906817	1.65119582914616	1.11902484702288	0.643561103454947	0.79209793277974
Nitrogen metabolism	1.26995855387151	0.951521034694065	0.904845440795313	0.740829684754729	0.999611248974349	1.02315426482899	0.906539703438858	1.35034855106387	0.869459507217565	0.876067567397648	1.12324782527678	0.984416617686323
Sulfur metabolism	0.982872661715978	1.60052189060192	0.780225087263389	1.23068563874137	0.541869253556255	1.0546856970962	0.724792330627787	0.611565683660519	1.576335554281	1.11495574113176	0.644610071835881	1.13688038948794
Fatty acid biosynthesis	0.793686849252469	1.74600181504951	1.04586546934618	0.967461605704288	0.757080911991915	0.859864180274557	0.879562984742813	0.710557880318668	1.23287805269599	1.09237456201079	0.828503347212188	1.08616234140063
Fatty acid elongation	0.933361012663945	1.89945246330475	0.883844315093209	1.0637960242701	0.623933583712829	0.911133443094082	0.690112245878161	0.66556082985183	1.62500989784619	0.983780959358974	0.653311329709215	1.06670389521672
Fatty acid degradation	0.91723366532	1.69061602068346	0.867160956726375	1.1059413553551	0.625447704992599	0.962504993653225	0.729369196652375	0.676628429336116	1.45637632273421	1.12658637930247	0.700219049715515	1.14191592552855
