Gene	p_val	p_val_adj
CST7	0	0
PRF1	0	0
HLA-DRB5	0	0
S1PR5	0	0
NKG7	0	0
KIR2DL5B	0	0
GZMH	0	0
GZMB	0	0
PLEK	0	0
GNLY	0	0
CD8A	0	0
SPON2	0	0
FGFBP2	0	0
PTGDS	0	0
CTSW	0	0
PRSS23	0	0
CCL5	0	0
CCL4L1	0	0
RPLP1	0	0
KLRG1	0	0
KLRF1	0	0
KLRD1	0	0
KLRC3	0	0
FGR	0	0
SLC1A7	0	0
FCGR3A	0	0
LITAF	0	0
GPR56	0	0
GZMA	0	0
CMC1	0	0
CX3CR1	0	0
ZEB2	2.08338449849051e-315	1.38076307637582e-312
KIR3DL3	1.84556543717346e-313	1.18608338762348e-310
EOMES	9.12655604014108e-313	5.69282354409743e-310
CCL4L2	3.79160495992502e-312	2.297495942574e-309
CCL4	4.92771975669969e-310	2.90297446111353e-307
KLRC2	1.81984577272607e-296	1.04311592291823e-293
C1orf21	2.46542454005382e-294	1.37596641172267e-291
ZNF80	1.72823447169448e-293	9.3980504296658e-291
FCRL6	7.4659932331293e-281	3.95846961220515e-278
RPS26	8.58494117658093e-279	4.44071786519338e-276
KLRAP1	7.04374655005104e-274	3.55675659127339e-271
KIR2DL5A	2.7532288709178e-259	1.35791809056801e-256
APMAP	6.52653650665496e-253	3.14579059620769e-250
LPCAT1	1.52147284624956e-251	7.17053247183569e-249
CCL3	1.65538017227476e-250	7.63202232469632e-248
ND4	4.23979719582349e-234	1.91314082827712e-231
LTB	1.9016200430128e-233	8.40199122337822e-231
GZMM	3.24547297312438e-233	1.40469369008208e-230
LILRB1	5.48982365808513e-233	2.32856360281339e-230
PTMS	1.05921579970257e-231	4.40467621178276e-229
TARP	3.29409913476447e-217	1.34348566250163e-214
CD8B	1.841035734099e-215	7.36692185825879e-213
HCST	9.4339824105106e-193	3.70510924003905e-190
KRT86	1.25740905380603e-190	4.84856931147605e-188
LYAR	3.93445454592785e-189	1.49003414303639e-186
HLA-H	6.99415517250752e-188	2.60231654207964e-185
HLA-C	4.43427446226631e-185	1.62141539303007e-182
CLIC3	4.88264654450928e-183	1.75510454094835e-180
KIR3DL2	5.25413956639882e-183	1.85716319873643e-180
APOBEC3G	2.02269971510273e-182	7.03236320621289e-180
SAMD3	7.29462250643672e-182	2.49523151800823e-179
C12orf75	3.36511087426747e-179	1.13281383208674e-176
TPST2	9.22299451823434e-178	3.0562698084799e-175
GZMK	5.91778400148903e-175	1.93083635543968e-172
CLEC2B	9.95913293913706e-173	3.20020138444271e-170
ITGB2	1.4817108967024e-169	4.69016786526336e-167
PTGDR	5.94238049024543e-164	1.85332360936949e-161
TBX21	1.34869195862063e-160	4.14537087803281e-158
IL7R	4.31288623500949e-156	1.30668130388688e-153
FLNA	1.94085579826102e-155	5.79741827739714e-153
ABI3	8.40962551864704e-154	2.47710191665926e-151
CTSC	1.24954949834269e-150	3.63019804943174e-148
KLRC4	1.95478960566913e-150	5.60232134554471e-148
NCR1	3.33558776421286e-150	9.4321527071235e-148
LOC102724850	5.04368675635923e-147	1.40745406222193e-144
KIR2DL4	1.03839455777324e-146	2.86003529626686e-144
CYBA	4.17614255752961e-146	1.13548245333446e-143
CCL3L1	5.91891239487784e-146	1.58896574772872e-143
SLC9A3R1	3.51238605024355e-140	9.31133541919566e-138
CST3	1.19855679817023e-137	3.13814723155485e-135
HLA-A	9.24352636588711e-137	2.39069155082602e-134
LGR6	5.13566841314194e-135	1.31225609284234e-132
PLAC8	1.97252712256729e-134	4.9801613351675e-132
KIR2DS5	7.86794639592575e-134	1.9630989078211e-131
TTC38	1.77070007435604e-132	4.36662874150498e-130
PYHIN1	2.49719147423224e-129	6.08740652707096e-127
GeneID:101927981	4.37999284941835e-129	1.05557827670982e-126
B2M	2.02567613831891e-128	4.82702691477163e-126
HLA-DRB4	1.23766882803688e-127	2.91649783388957e-125
RGS1	9.51352480375118e-127	2.21717400041709e-124
GSTP1	3.0914904274104e-126	7.12655749831737e-124
MATK	1.52777291459405e-125	3.48397935190438e-123
SYNE1	4.16541350871766e-124	9.39788188222172e-122
AOAH	2.04594882988963e-123	4.5401327411742e-121
LAG3	2.05513364368504e-123	4.5401327411742e-121
CD300A	5.29820437602572e-123	1.15839503512117e-120
LOC101929876	6.36302035516137e-123	1.37700954788023e-120
KLRK1	7.44231979859235e-122	1.59431028574289e-119
DUSP2	3.62667082085624e-121	7.69144347687192e-119
ND4L	5.64923080986385e-121	1.18622660411478e-118
UBE2F	1.59023861248687e-120	3.3064490680021e-118
CYTB	7.95800953620863e-120	1.63857734217391e-117
CD244	1.48758807824843e-119	3.03353538110506e-117
HLA-DRB3	2.78198667539594e-118	5.61908318207592e-116
IFNG	4.1676256492407e-117	8.33839667632988e-115
SUN2	2.98546975132061e-116	5.91736845663621e-114
RASSF1	4.96326120025948e-115	9.74637440139844e-113
ARPC5L	5.40122983422248e-115	1.05091084701092e-112
OSBPL5	1.89966531143319e-113	3.6625547204432e-111
LOC100996809	9.50169520341444e-113	1.81542298985598e-110
PECAM1	1.45511189679484e-110	2.75535831314509e-108
RNR2	7.95641930778957e-107	1.4932720414124e-104
COX2	9.51705891973186e-107	1.77050689096205e-104
PCBP1	1.34044650586715e-106	2.47201647795048e-104
ENC1	6.05214926612249e-106	1.10649984168902e-103
RARRES3	6.6654712267493e-106	1.20821635706751e-103
FASLG	6.73964514928005e-105	1.21130842649094e-102
FOXP2	7.03332906023754e-105	1.25346926646654e-102
RAP1B	2.95688578744985e-104	5.22580281501971e-102
ADRB2	2.50225853275672e-103	4.38577677377724e-101
RPL12	2.58512585877967e-103	4.49388108303272e-101
CD99	1.43026489390008e-102	2.46610226584008e-100
USP28	3.02825058869056e-100	5.17928536168947e-98
ATP6	3.52266362612082e-100	5.97669201462164e-98
CSF1	5.41736202683212e-100	9.11836617976632e-98
RPL11	2.04351966511748e-99	3.41251693368595e-97
TTC16	5.37777829497223e-99	8.91030641248211e-97
LOC101060789	1.81284391558398e-95	2.9803716094345e-93
RHOB	4.37281236856667e-94	7.13373882404322e-92
PIK3AP1	6.11640956795873e-93	9.90204687918082e-91
SLAMF7	1.02422566955853e-92	1.64558924242404e-90
NMUR1	3.74827026788927e-92	5.97694104070645e-90
HOPX	6.09019474814474e-92	9.63886941930251e-90
CD74	1.98008302840794e-90	3.11063710122041e-88
FGL2	2.98026376348257e-90	4.64745837470135e-88
TNIP3	4.55856733706241e-90	7.05679533462917e-88
ATP8	5.88157759818598e-90	9.03887664509625e-88
CALM1	1.77053525817262e-89	2.70140372340467e-87
MALAT1	6.08451748800075e-89	9.21717477753714e-87
CXCR1	1.80671602670579e-87	2.71750592158697e-85
PTPN4	3.36148660271208e-87	5.02045125847308e-85
CXCR2	4.89660367998651e-87	7.26203991924153e-85
STARD3NL	3.00138430326766e-86	4.42037210442365e-84
PVRIG	1.39288275237529e-85	2.03725913188794e-83
LEPROTL1	4.15413777250039e-85	6.03431190953345e-83
CHST12	1.16722401874045e-84	1.68397870676514e-82
CRTAM	1.42870165599722e-84	2.04729085948575e-82
BIN2	2.16011632470694e-84	3.07461389358288e-82
TNFAIP3	3.40933472432977e-84	4.82034472223906e-82
MBP	8.4261868025255e-84	1.18346072654279e-81
GNPTAB	6.43427396418548e-83	8.97750541002932e-81
CFL1	4.72115058643184e-82	6.54419357104879e-80
SEPT7	6.24962690724123e-82	8.60662905511506e-80
ITGAM	6.40434054806503e-82	8.76279060279763e-80
COX1	1.50007271728647e-81	2.03932962744946e-79
LEF1	1.13599882002059e-80	1.53453904299342e-78
TSC22D3	1.20301479705894e-80	1.61478087443203e-78
MMP23B	1.23770524047298e-79	1.65089639873906e-77
EFHD2	3.3431710433804e-79	4.43137321800072e-77
SASH3	4.71538921180248e-79	6.21142698160913e-77
SIGLEC17P	6.72765440970449e-78	8.80741325438351e-76
PROK2	7.86370916545431e-78	1.02315057657028e-75
TNFSF9	9.55716231889553e-78	1.23590425889717e-75
S1PR1	1.15768362180324e-77	1.48800934855777e-75
MYO1E	3.78434350372688e-77	4.83484078476142e-75
IDH2	8.20302564467933e-77	1.04173513696023e-74
FOS	1.008441992334e-76	1.27303796270355e-74
XCL2	1.12066979168931e-76	1.40634112083709e-74
PDLIM1	1.16590278774679e-76	1.45449801897259e-74
CALR	2.15460931351665e-76	2.67221955093924e-74
IL2RB	3.03456098978464e-76	3.74168427159028e-74
FAM49A	1.53104265922945e-75	1.87689900097909e-73
RPL13	2.22462334798389e-75	2.71148344620932e-73
PTP4A2	3.05584172015326e-75	3.70333092577202e-73
PIK3R1	3.15143253317212e-75	3.7974762024724e-73
BTN3A2	7.51372926921999e-75	9.00289097975241e-73
MYL12A	9.61271467786501e-74	1.14531715105708e-71
LAMP1	1.13594547622939e-73	1.34587327708787e-71
CD63	2.34816049716933e-73	2.76665487910928e-71
GPR114	2.37084654196282e-73	2.7779510199971e-71
CD40LG	5.60367849142654e-73	6.52982491462495e-71
FXYD5	1.88834589016898e-72	2.18841746659583e-70
DTHD1	2.09694100813604e-72	2.41695244024724e-70
