p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
4.85621498932773e-53	-1.73673329077951	0.302	0.661	1.62867738312073e-48	HSPA1B	NoColitis
3.86471911148099e-48	0.715244886949627	0.972	0.847	1.29614949560849e-43	RPL36A	NoColitis
2.33614129857205e-45	-0.604038045065285	0.994	0.996	7.83495068715095e-41	MT-ATP8	NoColitis
1.3929844865802e-41	1.27450107950542	0.559	0.255	4.67179137109269e-37	RNPEPL1	NoColitis
1.08086099307761e-39	0.89852937798085	0.884	0.747	3.62499159858367e-35	NFKBIA	NoColitis
2.64201296030959e-35	0.394650103218517	0.998	0.995	8.86078306628631e-31	RPL41	NoColitis
1.11070194789469e-33	2.07493309251502	0.284	0.08	3.72507219284923e-29	KANSL1-AS1	NoColitis
6.09315475453151e-28	-0.725357951454327	0.954	0.978	2.04352224157478e-23	HSP90AA1	NoColitis
1.6129061308715e-26	-0.357037431976934	0.998	1	5.40936458171683e-22	RPS5	NoColitis
9.35652331228538e-26	0.512748059858315	0.994	0.986	3.13799078847427e-21	ZFP36L2	NoColitis
1.16861653847231e-25	2.69704859165364	0.153	0.026	3.91930614672843e-21	RAB34	NoColitis
1.22659287178738e-25	0.404465662769682	1	0.962	4.11374717340051e-21	RPS26	NoColitis
3.12773918884392e-25	0.343135264293151	0.998	0.997	1.04898116915447e-20	MT-ATP6	NoColitis
3.73870450760094e-25	-0.816843220775072	0.86	0.925	1.2538867177592e-20	DNAJB1	NoColitis
3.64548059724688e-24	0.384540519873426	0.997	0.998	1.22262128270466e-19	MT-ND3	NoColitis
1.05696227268516e-23	0.740601660697113	0.691	0.466	3.54484007013149e-19	PLP2	NoColitis
4.76940223313193e-23	-0.767338054280234	0.846	0.905	1.59956212094779e-18	LTB	NoColitis
2.49645553577782e-22	1.07652424194386	0.486	0.27	8.37261257589166e-18	MT2A	NoColitis
6.64103943948667e-22	-0.438681911037655	0.981	0.995	2.22727180721504e-17	HSPA8	NoColitis
5.62800118732488e-21	2.00857808998079	0.16	0.038	1.88751903820502e-16	C20orf204	NoColitis
1.11189489127133e-20	-1.08011816399273	0.238	0.452	3.7290730863458e-16	ERAP2	NoColitis
1.35647807505409e-18	3.61659875923363	0.082	0.007	4.5493561681164e-14	AC108134.3	NoColitis
1.66408415491916e-17	-0.589474167102519	0.619	0.768	5.58100543876788e-13	CDC42	NoColitis
9.48832698822957e-17	-0.369835199890972	0.972	0.978	3.18219510531243e-12	CORO1A	NoColitis
1.05677881766137e-16	0.312033276248114	0.991	0.966	3.5442247986727e-12	ATP5F1E	NoColitis
3.89916598147714e-16	0.527095206347303	0.795	0.647	1.3077022868678e-11	HIST1H4C	NoColitis
6.53345081984625e-16	-0.61304074367812	0.61	0.742	2.19118873596003e-11	RBM3	NoColitis
1.09339539316685e-15	-0.291323122125847	0.981	0.991	3.66702946960298e-11	ITM2B	NoColitis
1.28574190633527e-15	0.575876716602825	0.971	0.941	4.31212120546724e-11	ZFP36	NoColitis
8.30616404340503e-15	-0.241681525399341	1	1	2.78572129687718e-10	RPL12	NoColitis
1.39513584682532e-14	0.53330773550666	0.955	0.949	4.67900660308276e-10	TSC22D3	NoColitis
6.56281926106998e-14	-0.388603610321133	0.923	0.963	2.20103832377765e-09	HSP90AB1	NoColitis
2.34809556962612e-13	-0.456514992416674	0.526	0.699	7.87504292141207e-09	NR4A1	NoColitis
2.9052313835159e-13	0.170119231674153	1	1	9.74356501403563e-09	RPS28	NoColitis
1.2725628158996e-12	-1.06594911278026	0.387	0.517	4.26792117196409e-08	HSPA1A	NoColitis
1.55694174404919e-12	0.438526418984073	0.789	0.643	5.22167122119218e-08	CKLF	NoColitis
1.88697406292507e-12	0.507093522177331	0.724	0.584	6.32853361223811e-08	JUND	NoColitis
1.8949320831956e-12	-0.261011570407469	1	1	6.3552232206214e-08	RPSA	NoColitis
3.17913132716934e-12	-0.294742072191449	0.988	0.992	1.06621706450605e-07	RPL7	NoColitis
3.69881298744383e-12	-0.476793606592841	0.61	0.737	1.24050789972891e-07	EIF5A	NoColitis
5.22192617194366e-12	-0.226393075113767	1	1	1.75132959954646e-07	RPL18A	NoColitis
5.26358933297182e-12	3.16875511487154	0.054	0.005	1.76530259049209e-07	KIR3DL2	NoColitis
1.23732605457636e-11	-0.368898022424383	0.929	0.964	4.14974412183821e-07	LDHB	NoColitis
1.33143590304816e-11	-0.417462449035237	0.676	0.775	4.46536973164292e-07	PSME2	NoColitis
1.50302625992595e-11	0.771960041732729	0.52	0.377	5.04084947053964e-07	LINC01871	NoColitis
1.74171522619032e-11	0.144835905197592	1	1	5.8413645255971e-07	RPL39	NoColitis
1.97106804226532e-11	-0.840582749707792	0.23	0.375	6.61056800014942e-07	GOLGA8B	NoColitis
2.3928163876501e-11	-0.365817424800704	0.864	0.927	8.02502760090089e-07	NOP53	NoColitis
4.08755504440156e-11	-1.00465264087782	0.184	0.32	1.37088421079139e-06	KLF2	NoColitis
5.43901851475179e-11	-0.26541486999158	1	1	1.82413802947745e-06	HLA-B	NoColitis
6.22590366812244e-11	-0.301298350348027	0.898	0.931	2.0880435722149e-06	UBB	NoColitis
9.78354317608398e-11	-0.213463336348452	1	1	3.28120471039505e-06	RPL13	NoColitis
2.51958471471115e-10	0.205154467125953	0.994	0.986	8.45018321619826e-06	SERF2	NoColitis
3.01934299622741e-10	0.195205977972616	1	0.991	1.01262725407475e-05	RPL37A	NoColitis
3.02024085232321e-10	0.167882862875214	1	1	1.01292837705216e-05	RPS27	NoColitis
4.20109034084242e-10	0.644905800997269	0.443	0.308	1.40896167851173e-05	NDUFA11	NoColitis
5.04863852739704e-10	-1.88073987617978	0.034	0.12	1.69321238931842e-05	S1PR1	NoColitis
5.3830417795538e-10	1.35111287440574	0.139	0.056	1.80536455202675e-05	COL18A1	NoColitis
5.70206294342777e-10	-0.325184887795146	0.9	0.945	1.91235786996681e-05	SLC25A6	NoColitis
5.97118795417634e-10	0.155702699996668	1	1	2.00261701607166e-05	RPL37	NoColitis
6.55629051309319e-10	-0.35586115026268	0.816	0.878	2.19884871228119e-05	RPL23	NoColitis
7.30894071901074e-10	-0.424886428504316	0.622	0.725	2.45127253834182e-05	ANXA6	NoColitis
7.9991861911166e-10	-0.274238661942901	0.994	0.998	2.68276706477669e-05	PABPC1	NoColitis
8.50233082937087e-10	-0.171421855847253	1	1	2.8515117135544e-05	RPL11	NoColitis
9.90608282393923e-10	-0.420225471676405	0.738	0.813	3.32230205749274e-05	ENO1	NoColitis
1.05479650647246e-09	-1.15051199855275	0.093	0.2	3.53757652340735e-05	RASA3	NoColitis
1.13078155400536e-09	-0.328717375822432	0.906	0.924	3.79241517582319e-05	S100A10	NoColitis
1.23766855374995e-09	-0.25766185466738	0.954	0.978	4.15089279556657e-05	PTPRC	NoColitis
1.43573192599485e-09	0.570162399733696	0.56	0.438	4.81515773340151e-05	SOCS1	NoColitis
1.45804849952896e-09	-1.68809479823738	0.037	0.122	4.89000305772024e-05	AL157402.2	NoColitis
1.5009041266123e-09	-2.16541657577057	0.023	0.099	5.03373225983232e-05	ZBTB16	NoColitis
2.13690458519899e-09	-0.726420532210976	0.344	0.468	7.16675059784038e-05	TIMP1	NoColitis
2.77274218968158e-09	2.22825612662021	0.06	0.012	9.29922275575409e-05	SLC12A7	NoColitis
3.84251681949365e-09	-0.997522109555624	0.106	0.215	0.000128870329092178	TOB1	NoColitis
4.51867280018155e-09	-0.535732182193945	0.631	0.696	0.000151547248372489	NME2	NoColitis
4.90173009708522e-09	-0.857604610033633	0.215	0.335	0.000164394223996044	PLSCR3	NoColitis
5.33806034937253e-09	0.893477113283003	0.245	0.14	0.000179027867997256	LINC02273	NoColitis
5.8178113405717e-09	0.375558198158142	0.966	0.959	0.000195117756740094	JUNB	NoColitis
6.3897150762834e-09	-0.388029366918322	0.688	0.793	0.000214298264228393	STK17B	NoColitis
6.91887328214181e-09	2.08866720354885	0.063	0.015	0.000232045172136472	FHL3	NoColitis
7.55123375596055e-09	-0.21098784264625	1	0.999	0.000253253277707405	NACA	NoColitis
9.43954860838171e-09	0.620244231902028	0.341	0.215	0.000316583581227906	GPR15	NoColitis
1.03516242538628e-08	0.75719708940643	0.4	0.285	0.000347172774226051	PRDM1	NoColitis
1.05016396125346e-08	-0.364139338605738	0.645	0.746	0.000352203989325187	MSN	NoColitis
1.14754989757831e-08	-0.904785350146426	0.241	0.353	0.000384865284649815	RIPOR2	NoColitis
1.19785570964598e-08	-0.234718068996183	1	0.999	0.00040173684790107	RPL13A	NoColitis
