.	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-3	TRBV12-4	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV23-1	TRBV24-1	TRBV25-1	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-3	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-8	TRBV6-1	TRBV6-3	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-8	TRBV6-9	TRBV7-2	TRBV7-3	TRBV7-4	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
None	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2123893805309837E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4247787610619674E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRBJ1-1	6.637168141592952E-4	0.0015486725663716886	0.003539823008849574	4.4247787610619674E-4	4.4247787610619674E-4	2.2123893805309837E-4	0.00553097345132746	0.004646017699115066	6.637168141592952E-4	0.0	0.0015486725663716886	0.0	0.0	0.0033185840707964757	0.0026548672566371807	0.0026548672566371807	0.006415929203539852	8.849557522123935E-4	6.637168141592952E-4	4.4247787610619674E-4	4.4247787610619674E-4	8.849557522123935E-4	0.007743362831858443	0.007079646017699148	0.004424778761061968	0.0	8.849557522123935E-4	0.001106194690265492	0.009070796460177033	0.005309734513274361	0.0	0.0013274336283185903	6.637168141592952E-4	0.0013274336283185903	2.2123893805309837E-4	0.0013274336283185903	0.00553097345132746	6.637168141592952E-4	0.003761061946902672	0.001769911504424787	0.0	0.0	0.004646017699115066	8.849557522123935E-4	0.0	6.637168141592952E-4	2.2123893805309837E-4	6.637168141592952E-4	0.004424778761061968	0.0042035398230088694
TRBJ1-2	0.0	6.637168141592952E-4	0.0026548672566371807	2.2123893805309837E-4	0.0026548672566371807	0.0	0.001991150442477885	0.001106194690265492	0.0	0.0	6.637168141592952E-4	6.637168141592952E-4	4.4247787610619674E-4	0.002212389380530984	0.003097345132743377	0.002212389380530984	0.005973451327433656	4.4247787610619674E-4	2.2123893805309837E-4	2.2123893805309837E-4	0.002212389380530984	0.001769911504424787	0.005088495575221262	0.0026548672566371807	0.0026548672566371807	0.0	0.0013274336283185903	0.00398230088495577	0.0013274336283185903	0.002433628318584082	0.0	0.0	6.637168141592952E-4	0.0015486725663716886	2.2123893805309837E-4	0.002433628318584082	0.0015486725663716886	2.2123893805309837E-4	0.002433628318584082	8.849557522123935E-4	2.2123893805309837E-4	0.0	0.007079646017699148	0.001106194690265492	0.0	0.0013274336283185903	0.0	0.002212389380530984	0.002212389380530984	0.002433628318584082
TRBJ1-3	0.001769911504424787	6.637168141592952E-4	2.2123893805309837E-4	0.0	8.849557522123935E-4	0.0	2.2123893805309837E-4	2.2123893805309837E-4	6.637168141592952E-4	0.0	2.2123893805309837E-4	2.2123893805309837E-4	0.0	0.0015486725663716886	6.637168141592952E-4	0.001106194690265492	8.849557522123935E-4	2.2123893805309837E-4	0.0	2.2123893805309837E-4	0.0	4.4247787610619674E-4	0.0013274336283185903	2.2123893805309837E-4	8.849557522123935E-4	0.0	0.001106194690265492	0.0	4.4247787610619674E-4	0.001106194690265492	0.0	4.4247787610619674E-4	0.0	0.0	0.0	8.849557522123935E-4	2.2123893805309837E-4	0.0	0.002212389380530984	0.001106194690265492	0.0	0.0	0.001991150442477885	0.0	2.2123893805309837E-4	8.849557522123935E-4	0.0	0.0	0.001106194690265492	0.0026548672566371807
TRBJ1-4	0.0	4.4247787610619674E-4	0.0013274336283185903	0.0	0.0015486725663716886	0.0	0.0	2.2123893805309837E-4	0.0	0.0	4.4247787610619674E-4	0.0	0.0	4.4247787610619674E-4	0.0013274336283185903	2.2123893805309837E-4	0.002876106194690279	6.637168141592952E-4	0.0	0.0	2.2123893805309837E-4	0.0	0.0026548672566371807	2.2123893805309837E-4	0.0015486725663716886	0.0	4.4247787610619674E-4	4.4247787610619674E-4	0.01106194690265492	0.002876106194690279	0.0	2.2123893805309837E-4	0.0	2.2123893805309837E-4	0.0	0.0015486725663716886	4.4247787610619674E-4	0.0	0.0013274336283185903	4.4247787610619674E-4	0.0	0.0	0.0015486725663716886	2.2123893805309837E-4	0.0	2.2123893805309837E-4	0.0	0.0	4.4247787610619674E-4	0.0
TRBJ1-5	0.0	0.0013274336283185903	0.0015486725663716886	0.0	0.001106194690265492	2.2123893805309837E-4	0.0033185840707964757	4.4247787610619674E-4	0.0	0.0	0.0	8.849557522123935E-4	2.2123893805309837E-4	0.001106194690265492	0.004646017699115066	0.005973451327433656	0.006194690265486754	6.637168141592952E-4	0.0	0.001106194690265492	0.003097345132743377	0.002433628318584082	0.005973451327433656	2.2123893805309837E-4	0.005309734513274361	0.0	0.0013274336283185903	0.0013274336283185903	2.2123893805309837E-4	8.849557522123935E-4	0.0	0.0	2.2123893805309837E-4	0.001106194690265492	2.2123893805309837E-4	0.0026548672566371807	0.00553097345132746	0.0	0.004424778761061968	0.0013274336283185903	0.0	2.2123893805309837E-4	0.005088495575221262	0.007300884955752246	0.0	4.4247787610619674E-4	0.0	0.001769911504424787	0.001106194690265492	0.0015486725663716886
TRBJ1-6	2.2123893805309837E-4	4.4247787610619674E-4	2.2123893805309837E-4	0.0	0.0015486725663716886	4.4247787610619674E-4	0.0013274336283185903	4.4247787610619674E-4	0.0	4.4247787610619674E-4	4.4247787610619674E-4	2.2123893805309837E-4	0.0	6.637168141592952E-4	0.00818584070796464	2.2123893805309837E-4	0.00398230088495577	0.0	0.0	0.0	4.4247787610619674E-4	8.849557522123935E-4	8.849557522123935E-4	0.0	0.002212389380530984	0.0	2.2123893805309837E-4	4.4247787610619674E-4	4.4247787610619674E-4	0.001991150442477885	0.0	4.4247787610619674E-4	0.0013274336283185903	4.4247787610619674E-4	0.0	8.849557522123935E-4	4.4247787610619674E-4	0.0	0.002212389380530984	4.4247787610619674E-4	0.0	0.0	0.0013274336283185903	8.849557522123935E-4	0.0	0.001106194690265492	0.0	8.849557522123935E-4	0.001769911504424787	0.0026548672566371807
TRBJ2-1	4.4247787610619674E-4	0.007743362831858443	0.0013274336283185903	2.2123893805309837E-4	0.0026548672566371807	4.4247787610619674E-4	0.004424778761061968	0.0015486725663716886	0.0	0.005973451327433656	0.0013274336283185903	0.002212389380530984	2.2123893805309837E-4	0.0026548672566371807	0.003761061946902672	0.0033185840707964757	0.018141592920354083	6.637168141592952E-4	0.0	0.003097345132743377	4.4247787610619674E-4	0.005752212389380558	0.00553097345132746	0.001769911504424787	0.004646017699115066	2.2123893805309837E-4	0.002433628318584082	0.015707964601769982	8.849557522123935E-4	0.012389380530973508	4.4247787610619674E-4	0.004867256637168164	4.4247787610619674E-4	0.001991150442477885	0.0	0.001106194690265492	0.003097345132743377	2.2123893805309837E-4	0.002876106194690279	0.005973451327433656	0.0	0.0	0.007522123893805344	0.002433628318584082	0.0	0.001991150442477885	0.001106194690265492	0.002212389380530984	0.015707964601769982	0.015486725663716887
TRBJ2-2	4.4247787610619674E-4	0.005309734513274361	8.849557522123935E-4	2.2123893805309837E-4	0.0	4.4247787610619674E-4	0.001769911504424787	6.637168141592952E-4	2.2123893805309837E-4	0.0	0.0	0.00398230088495577	0.0	0.001991150442477885	0.002433628318584082	0.002433628318584082	0.007079646017699148	2.2123893805309837E-4	0.0	8.849557522123935E-4	0.0	0.00553097345132746	0.013053097345132804	0.001106194690265492	0.002876106194690279	0.0	0.0015486725663716886	0.001106194690265492	0.0015486725663716886	0.002876106194690279	0.0	6.637168141592952E-4	0.007300884955752246	0.0013274336283185903	4.4247787610619674E-4	0.001106194690265492	6.637168141592952E-4	0.0	0.0066371681415929515	2.2123893805309837E-4	0.0	0.0	0.007743362831858443	0.001769911504424787	0.0	8.849557522123935E-4	0.0	8.849557522123935E-4	0.008628318584070836	0.008407079646017739
TRBJ2-3	0.0	8.849557522123935E-4	8.849557522123935E-4	2.2123893805309837E-4	0.001106194690265492	4.4247787610619674E-4	0.002876106194690279	4.4247787610619674E-4	2.2123893805309837E-4	0.0	0.002433628318584082	0.0	0.0	0.0015486725663716886	0.002433628318584082	0.001769911504424787	0.007522123893805344	8.849557522123935E-4	2.2123893805309837E-4	0.002876106194690279	4.4247787610619674E-4	0.001991150442477885	0.005973451327433656	8.849557522123935E-4	0.0026548672566371807	0.0	0.001106194690265492	8.849557522123935E-4	8.849557522123935E-4	0.007743362831858443	0.0	0.002212389380530984	2.2123893805309837E-4	6.637168141592952E-4	0.0	0.0013274336283185903	8.849557522123935E-4	2.2123893805309837E-4	0.0015486725663716886	0.002212389380530984	0.0	0.0	0.00685840707964605	0.003761061946902672	0.0	2.2123893805309837E-4	2.2123893805309837E-4	2.2123893805309837E-4	0.004646017699115066	0.0026548672566371807
