Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Starch and sucrose metabolism	3/36	0.264902918281401	0.482750712920711	0	0	1.74048252453903	2.31204282890435	AGL;GYG1;PGM1
Endocrine and other factor-regulated calcium reabsorption	4/53	0.269192815916341	0.487362156920434	0	0	1.56314162028448	2.05135352891705	CLTB;ATP2B4;ATP1A1;AP2M1
Herpes simplex virus 1 infection	28/498	0.276246451173469	0.491508097624004	0	0	1.14313906876349	1.47060482711637	ZNF331;ZNF350;PIK3CD;TNF;ZNF83;CCL5;ZNF506;IKBKE;B2M;JAK1;DAXX;HLA-DRB5;HLA-DRB4;TNFSF14;HLA-C;HLA-A;HLA-G;TNFRSF1A;TAPBP;IFNG;TRAF5;SRSF2;SRSF3;FAS;SRSF5;CALR;BCL2L1;BIRC3
cAMP signaling pathway	13/216	0.278430890688396	0.491508097624004	0	0	1.22745464314588	1.56940558434782	PDE3B;ATP2A3;ATP2B4;PIK3CD;ATP1A1;RHOA;RAP1B;RAP1A;RAC2;CALM3;RAC1;CALM1;RAF1
African trypanosomiasis	3/37	0.278580401902414	0.491508097624004	0	0	1.68920282542886	2.15888324710267	IFNG;FAS;TNF
Thyroid cancer	3/37	0.278580401902414	0.491508097624004	0	0	1.68920282542886	2.15888324710267	CDKN1A;TCF7;NCOA4
Ribosome biogenesis in eukaryotes	7/108	0.290438148188462	0.509185867393696	0	0	1.32750509093463	1.64128035434763	IMP3;SBDS;RNR2;RNR1;UTP18;MDN1;NOP10
Pyrimidine metabolism	4/56	0.302945290952402	0.527772613797581	0	0	1.47272727272727	1.7587353975044	NT5C3B;ENTPD1;NME2;NME1
Phospholipase D signaling pathway	9/148	0.315656778987742	0.540581503491791	0	0	1.24020742796626	1.43008293481387	AGPAT5;ARF1;RALA;PIK3CD;GRB2;FYN;RAF1;RALGDS;RHOA
Retrograde endocannabinoid signaling	9/148	0.315656778987742	0.540581503491791	0	0	1.24020742796626	1.43008293481387	NDUFS8;NDUFA5;NDUFA4;ND1;ND4L;ND3;ND2;ND5;ND4
Salivary secretion	6/93	0.316152359442852	0.540581503491791	0	0	1.32060589138629	1.52071866425578	ATP2B4;CD38;CALM3;ATP1A1;CALM1;VAMP2
Glycine, serine and threonine metabolism	3/40	0.319914661765264	0.543658658337288	0	0	1.5519949818638	1.76881023397034	SHMT2;PGAM1;PSPH
Pertussis	5/76	0.326462140884896	0.55140251844583	0	0	1.34828180407012	1.50932232391886	ITGB2;CALM3;CALM1;TNF;RHOA
Vascular smooth muscle contraction	8/133	0.341665494143171	0.573583890167627	0	0	1.2255415821501	1.31613742471394	PRKCH;ARHGEF12;MYH9;CALM3;ARHGEF1;RAF1;CALM1;RHOA
Tryptophan metabolism	3/42	0.347528943651283	0.579912755369912	0	0	1.47225025227043	1.55603207786435	HADHA;ECHS1;CAT
Aldosterone synthesis and secretion	6/98	0.360641924911972	0.598190498207283	0	0	1.24850378454497	1.27331119349698	NR4A2;ATP2B4;CALM3;ATP1A1;CAMK1;CALM1
AGE-RAGE signaling pathway in diabetic complications	6/100	0.378563811510689	0.624179617788458	0	0	1.22181066413989	1.18683099431875	CDC42;PIK3CD;RAC1;TNF;PRKCZ;TGFBR1
Fatty acid elongation	2/27	0.391050610143664	0.640952775205887	0	0	1.53072580645161	1.43722645614043	HADHA;ECHS1
Ubiquitin mediated proteolysis	8/140	0.394783048433991	0.642282115725721	0	0	1.1601204745221	1.07823790625157	PIAS3;UBE2D3;UBC;CBLB;UBE2G1;RPS27A;TRIM32;BIRC3
Longevity regulating pathway	6/102	0.39649906783068	0.642282115725721	0	0	1.19622975708502	1.10661012437906	HSPA6;CAT;PIK3CD;HSPA1B;APPL1;HSPA1A
Type II diabetes mellitus	3/46	0.402282421577318	0.647861806842541	0	0	1.33501513622603	1.21566597894408	PIK3CD;PRKCZ;TNF
Butanoate metabolism	2/28	0.408784339498131	0.650765873798749	0	0	1.47177419354839	1.31660143343791	HADHA;ECHS1
Phototransduction	2/28	0.408784339498131	0.650765873798749	0	0	1.47177419354839	1.31660143343791	CALM3;CALM1
Nucleotide excision repair	3/47	0.4157853504802	0.657323220953052	0	0	1.30460508210256	1.14490333341179	CETN2;POLD2;GTF2H5
Signaling pathways regulating pluripotency of stem cells	8/143	0.417649411147066	0.657323220953052	0	0	1.13415971752686	0.990249511450241	SMAD1;SETDB1;TCF7;ID3;PIK3CD;GRB2;RAF1;JAK1
Sphingolipid metabolism	3/49	0.442478645054806	0.682441151005792	0	0	1.24775150265432	1.01737050261637	CERK;SGMS1;PSAP
Citrate cycle (TCA cycle)	2/30	0.443463563830479	0.682441151005792	0	0	1.3665034562212	1.11115812376381	SUCLG1;SDHD
Pentose phosphate pathway	2/30	0.443463563830479	0.682441151005792	0	0	1.3665034562212	1.11115812376381	G6PD;PGM1
beta-Alanine metabolism	2/30	0.443463563830479	0.682441151005792	0	0	1.3665034562212	1.11115812376381	HADHA;ECHS1
Renin secretion	4/69	0.450553010876467	0.68747742490876	0	0	1.17737373737374	0.938695988979921	PTGER4;PDE3B;CALM3;CALM1
Galactose metabolism	2/31	0.460374906731659	0.68747742490876	0	0	1.31931312569522	1.0234098029001	GALM;PGM1
Purine metabolism	7/129	0.461300837286284	0.68747742490876	0	0	1.09777932798512	0.84935721593809	NT5C3B;ENTPD1;PDE3B;NME2;ENPP4;PGM1;NME1
Epithelial cell signaling in Helicobacter pylori infection	4/70	0.461627440552452	0.68747742490876	0	0	1.15947352310989	0.896269692863939	CDC42;ATP6V1G1;CCL5;RAC1
Prolactin signaling pathway	4/70	0.461627440552452	0.68747742490876	0	0	1.15947352310989	0.896269692863939	CISH;PIK3CD;GRB2;RAF1
RIG-I-like receptor signaling pathway	4/70	0.461627440552452	0.68747742490876	0	0	1.15947352310989	0.896269692863939	CYLD;ISG15;TNF;IKBKE
Adrenergic signaling in cardiomyocytes	8/150	0.470683167488946	0.697215173232289	0	0	1.07785046995972	0.812235877602101	PPP2CA;TPM4;CREM;ATP2A3;ATP2B4;CALM3;ATP1A1;CALM1
Melanoma	4/72	0.483533337777665	0.710308668163418	0	0	1.12525252525253	0.817647886161555	CDKN1A;CDK6;PIK3CD;RAF1
Non-homologous end-joining	1/13	0.48465104073244	0.710308668163418	0	0	1.59399127223901	1.15456956240027	XRCC5
SNARE interactions in vesicular transport	2/33	0.493272867757446	0.716606580799966	0	0	1.23406607700312	0.872105578960903	SEC22B;VAMP2
GnRH signaling pathway	5/93	0.4941222271942	0.716606580799966	0	0	1.08684162147256	0.7661933125394	CDC42;CALM3;GRB2;RAF1;CALM1
Nicotinate and nicotinamide metabolism	2/35	0.524870289607137	0.751337813202573	0	0	1.15915200391007	0.747194150856234	NAPRT;CD38
Apelin signaling pathway	7/137	0.525007708897613	0.751337813202573	0	0	1.02978723404255	0.663535508756951	GABARAPL1;RPS6;PDE3B;CALM3;RAF1;CALM1;TGFBR1
Gastric acid secretion	4/76	0.5262077103296	0.751337813202573	0	0	1.0625140291807	0.682196968800862	CALM3;ATP1A1;EZR;CALM1
DNA replication	2/36	0.540162479156539	0.760533341531696	0	0	1.125	0.692870959523708	POLD2;MCM3
Inflammatory mediator regulation of TRP channels	5/98	0.540884723038787	0.760533341531696	0	0	1.0281374691499	0.631840960557572	PTGER4;PRKCH;PIK3CD;CALM3;CALM1
mRNA surveillance pathway	5/98	0.540884723038787	0.760533341531696	0	0	1.0281374691499	0.631840960557572	PPP2CA;CPSF4;PABPN1;PABPC1;PELO
Synaptic vesicle cycle	4/78	0.546893809204459	0.765098914897147	0	0	1.03368823368823	0.623831498691345	ATP6V1G1;CLTB;AP2M1;VAMP2
Aldosterone-regulated sodium reabsorption	2/37	0.555110017329333	0.772690828141835	0	0	1.09279953917051	0.643209739285721	PIK3CD;ATP1A1
Thyroid hormone signaling pathway	6/121	0.561150657041106	0.777193660001931	0	0	0.997588452737194	0.576372548962422	MED1;NCOR1;ATP2A3;PIK3CD;ATP1A1;RAF1
Nitrogen metabolism	1/17	0.579778153914259	0.798997754399252	0	0	1.1952416918429	0.651537890103366	GLUL
Wnt signaling pathway	8/166	0.586388676676811	0.804107244749885	0	0	0.967879425886461	0.516627361322071	CCND3;SFRP2;CSNK1A1;TCF7;RAC2;NFATC2;RAC1;RHOA
Breast cancer	7/147	0.60021561637492	0.819013427270212	0	0	0.955724417426545	0.487865133652829	CDKN1A;CDK6;CSNK1A1;TCF7;PIK3CD;GRB2;RAF1
Bladder cancer	2/41	0.611400147950326	0.822308304300404	0	0	0.980510752688172	0.482414847163863	CDKN1A;RAF1
Homologous recombination	2/41	0.611400147950326	0.822308304300404	0	0	0.980510752688172	0.482414847163863	MUS81;POLD2
Cytosolic DNA-sensing pathway	3/63	0.612083471685293	0.822308304300404	0	0	0.95590312815338	0.469240050013261	CCL4L1;CCL5;IKBKE
Gastric cancer	7/149	0.614504761697414	0.822308304300404	0	0	0.94216362001798	0.458775835147094	CDKN1A;CSNK1A1;TCF7;PIK3CD;GRB2;RAF1;TGFBR1
Glycosaminoglycan degradation	1/19	0.620544861734839	0.826398686060338	0	0	1.0623251650442	0.506896289932246	IDS
Oocyte meiosis	6/129	0.623953279394054	0.826962001876331	0	0	0.932309667226227	0.439751624492448	PPP2CA;MAD2L2;YWHAB;RPS6KA1;CALM3;CALM1
Fatty acid degradation	2/43	0.637437269080177	0.839430320438812	0	0	0.932582612116444	0.419941398365497	HADHA;ECHS1
One carbon pool by folate	1/20	0.639421652031009	0.839430320438812	0	0	1.00636031165527	0.450035455158235	SHMT2
Gap junction	4/88	0.642618570274294	0.839647848896129	0	0	0.91014911014911	0.402471517093814	TUBA1B;TUBB;GRB2;RAF1
Chemical carcinogenesis	11/239	0.646226638550494	0.840398022903694	0	0	0.921623743998858	0.402385537566746	CCND3;HSP90AA1;GSTM1;HSP90AB1;GSTP1;RPS6KA1;PIK3CD;GRB2;RAF1;IKBKE;HSP90B1
