Cluster	CD14	CD3E	CD3D	CD3G	CD68	Cluster_Size	Clonotype_Pct	km_cluster	is_TCell
c1	0.0120657259188198	14.6210376595992	7.79877750530355	3.42428265306429	0.0108750878014067	1208	0.991721854304636	2	TRUE
c2	0	19.722891968642	16.5565460454782	5.96784785011538	0.0163215384738281	1106	0.99005424954792	2	TRUE
c3	0.00723157082493354	14.1200763668665	7.90405471321916	3.48986032446268	0.0121532090292901	1003	0.994017946161516	2	TRUE
c4	0.00630393798640302	14.3518884803232	7.18820357167114	2.7660426686538	0.00228532773885103	939	0.98615548455804	2	TRUE
c5	0.00825666278632988	13.2139011856451	7.60004310491326	3.07700041186732	0.0200228501168658	836	0.97488038277512	2	TRUE
c6	0.00188368259948199	14.1180223104871	6.68899367957654	3.17203876342905	0.0087920546800765	775	0.987096774193548	2	TRUE
c7	0.00207599555404792	16.9950411819166	10.5397036657703	5.01227402272627	0.0455867453098313	682	0.947214076246334	2	TRUE
c8	0.00284334127857665	16.1052482718231	9.61855771142662	4.02643446795884	0.0158507060429366	569	0.943760984182777	2	TRUE
c9	0.00148730201035638	15.8655111691089	11.2686812740709	4.13836607824601	0.0052375009594354	536	0.994402985074627	2	TRUE
c10	0	17.8377215759768	12.2462767476506	4.64381548846558	0.013298995963654	498	0.98995983935743	2	TRUE
c11	0	16.0678480197728	11.62536838023	3.56326898321858	0.00601641618723369	472	0.995762711864407	2	TRUE
c12	0	14.5277408888802	10.1421522382662	4.94986606252718	0.0273394529781408	410	0.251219512195122	2	TRUE
c13	0	13.8222719268823	9.5472117391134	2.69280713525612	0.0132253096605183	387	0.989664082687339	2	TRUE
c14	0.00174794982964481	17.0861585453809	18.5827744264089	5.58413417405263	0.0223918557364489	364	0.967032967032967	2	TRUE
c15	0	15.4224063594865	12.3579876403773	3.20716161484715	0.0106902154947525	347	1	2	TRUE
c16	0	12.319777198438	10.139441716802	3.64279474669713	0.0215662346216544	314	0.936305732484076	2	TRUE
c17	0	10.9658132775395	9.83089359695606	3.43736283710699	0.0206482078994972	246	0.947154471544715	2	TRUE
c18	0	14.3969121771886	12.3398034974058	4.86248310944877	0.0287872332566444	101	0.930693069306931	2	TRUE
c19	4.84802109619387	1.21802784813053	0.841391228418962	0.430862314641243	5.47096033207843	84	0.0952380952380952	1	FALSE
c20	0.00808636888882779	0.238115780152739	0.166922445102838	0.0811207627172644	0.0286711947074202	53	0.0754716981132075	1	FALSE
