Gene	Rank
ADPGK	-0.0271572486968425
ECHS1	-0.0275638903821706
CA1	-0.0284971622855152
ENPP3	-0.0284983773457482
ALDH2	-0.0284992674932289
MIOX	-0.0285003487051785
ABHD17B	-0.0299329533212419
IMPA1	-0.0300918202124383
SUCLG2	-0.0305397971995975
CPT1A	-0.0306258654151088
MTMR3	-0.0314820583363557
ME1	-0.031864771728962
PFKFB1	-0.0318671004335447
CA6	-0.0318684637036565
PIK3C3	-0.0321727955120484
CYB5R3	-0.0323686656387984
CRYL1	-0.0327543890748703
MTMR6	-0.0332993520533745
ATP6V1H	-0.0340997731867782
CYB5R2	-0.0342416676871824
IPMK	-0.0343759685856975
DBT	-0.0347266322201247
ACSM1	-0.0349110850544679
GLO1	-0.0358392105617796
PIP4K2C	-0.0358756105688253
PYGB	-0.0364194647614329
ACOT7	-0.0396296536188871
IPPK	-0.0400166355299386
OCRL	-0.0403213518893169
PDHA1	-0.0412104853160554
GLUL	-0.0426190469755011
OXCT2	-0.0427703696772757
PIP5KL1	-0.0427704132020944
PMM2	-0.0429721081704171
TSTA3	-0.0440840715377504
ACSL1	-0.0441833558131126
MGAM	-0.0444786133475362
PLCE1	-0.0450878237696703
NDUFV1	-0.0453867484209615
ATP6V1G2	-0.0472933297651673
CA8	-0.0475944047047634
GMPPB	-0.0476976757431445
LDHD	-0.0494004575606412
OGDHL	-0.0494012323600721
ME3	-0.0494040570821909
ITPKA	-0.0514239622061146
ENOSF1	-0.0515387048695031
ENO3	-0.0524396900302242
INPP4A	-0.0529548232089007
ACLY	-0.0530965806434238
DHDH	-0.0533708614867048
G6PC3	-0.0538576321184338
ACADVL	-0.0544022087426403
AMDHD2	-0.0545995645665834
CS	-0.0547551235821509
NDUFS8	-0.0552944066840054
MUT	-0.0557932954017184
IDH3B	-0.0560318058110485
GNPNAT1	-0.0573675569276763
PFKM	-0.0574264871226119
ISPD	-0.0588311917935187
GNPDA1	-0.0592087573251469
ALDOC	-0.0596537261570603
SUCLA2	-0.0596628274348925
PFKFB2	-0.0600341448372902
MTMR4	-0.0603005938064241
ATP6AP1	-0.0608612238036365
GMDS	-0.0613187947539486
INPP5A	-0.0622088851441659
MCEE	-0.0625279886906725
CYB5R4	-0.0625926094230325
MLYCD	-0.0641935502850842
ACYP2	-0.0642037003617616
PI4KB	-0.0653232964418067
B4GALT2	-0.0654113881212647
NDUFS1	-0.0655061456323705
HEXA	-0.0658383812672404
TIGAR	-0.0666618064160082
