.	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-3	TRBV12-4	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV24-1	TRBV25-1	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-3	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-8	TRBV6-1	TRBV6-3	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV6-9	TRBV7-2	TRBV7-3	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
None	0.0	0.0	0.0	0.0	2.2075055187638023E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRBJ1-1	0.0	0.019426048565121465	2.2075055187638023E-4	0.007505518763796929	4.4150110375276047E-4	0.0017660044150110419	0.0017660044150110419	2.2075055187638023E-4	0.001103752759381901	4.4150110375276047E-4	8.830022075055209E-4	4.4150110375276047E-4	0.003973509933774844	0.0035320088300220837	0.004635761589403985	0.007505518763796934	2.2075055187638023E-4	0.0017660044150110419	6.622516556291407E-4	0.005960264900662268	2.2075055187638023E-4	0.003752759381898464	0.0024282560706401827	0.002869757174392943	0.005518763796909508	0.010375275938189873	0.001103752759381901	0.004194260485651224	0.0	0.0015452538631346615	4.4150110375276047E-4	0.0024282560706401827	0.0	4.4150110375276047E-4	0.002649006622516563	2.2075055187638023E-4	0.005518763796909508	0.001986754966887422	0.0	0.0	0.003090507726269323	0.001103752759381901	0.0013245033112582814	0.0	0.004415011037527604	0.0057395143487858884	0.0077262693156733096
TRBJ1-2	6.622516556291407E-4	8.830022075055209E-4	2.2075055187638023E-4	8.830022075055209E-4	4.4150110375276047E-4	6.622516556291407E-4	6.622516556291407E-4	2.2075055187638023E-4	6.622516556291407E-4	0.002649006622516563	6.622516556291407E-4	0.0	0.001986754966887422	0.004635761589403985	0.002649006622516563	0.0066225165562914115	0.001103752759381901	8.830022075055209E-4	8.830022075055209E-4	0.01103752759381902	0.0	0.002649006622516563	6.622516556291407E-4	0.005518763796909508	6.622516556291407E-4	0.0013245033112582814	0.0013245033112582814	0.005077262693156746	0.003752759381898464	0.0013245033112582814	0.0013245033112582814	0.0015452538631346615	2.2075055187638023E-4	0.003752759381898464	0.0015452538631346615	0.0	0.003752759381898464	0.001103752759381901	0.0	0.0	0.011479028697571777	4.4150110375276047E-4	0.006181015452538646	0.0	0.002869757174392943	0.007726269315673311	0.002649006622516563
TRBJ1-3	0.0	0.0	0.0	0.0	0.0	4.4150110375276047E-4	8.830022075055209E-4	0.0	0.0	2.2075055187638023E-4	2.2075055187638023E-4	0.0	0.0	0.002207505518763802	0.0013245033112582814	6.622516556291407E-4	0.0	2.2075055187638023E-4	0.0	4.4150110375276047E-4	0.0	2.2075055187638023E-4	2.2075055187638023E-4	0.001103752759381901	4.4150110375276047E-4	4.4150110375276047E-4	6.622516556291407E-4	0.002207505518763802	0.0	0.0015452538631346615	0.0	0.0	0.0	6.622516556291407E-4	0.0	0.0	2.2075055187638023E-4	4.4150110375276047E-4	0.0	0.0	0.0017660044150110419	4.4150110375276047E-4	6.622516556291407E-4	0.0	2.2075055187638023E-4	4.4150110375276047E-4	0.0013245033112582814
TRBJ1-4	0.0	0.0	0.0	2.2075055187638023E-4	0.0	2.2075055187638023E-4	2.2075055187638023E-4	0.0	0.0	2.2075055187638023E-4	4.4150110375276047E-4	0.0	0.002649006622516563	0.00684326710816779	0.002649006622516563	0.002207505518763802	6.622516556291407E-4	6.622516556291407E-4	2.2075055187638023E-4	4.4150110375276047E-4	4.4150110375276047E-4	4.4150110375276047E-4	4.4150110375276047E-4	8.830022075055209E-4	2.2075055187638023E-4	0.0	0.001103752759381901	6.622516556291407E-4	0.0	0.0	0.0017660044150110419	2.2075055187638023E-4	0.0	8.830022075055209E-4	6.622516556291407E-4	0.0	0.0017660044150110419	4.4150110375276047E-4	0.0	0.0	0.002869757174392943	0.0	0.002869757174392943	0.0	0.0	0.004856512141280366	6.622516556291407E-4
TRBJ1-5	2.2075055187638023E-4	4.4150110375276047E-4	0.0	0.001103752759381901	0.0	0.0013245033112582814	2.2075055187638023E-4	2.2075055187638023E-4	2.2075055187638023E-4	2.2075055187638023E-4	0.0013245033112582814	0.001103752759381901	0.0015452538631346615	0.005298013245033127	0.002649006622516563	0.007505518763796934	0.0015452538631346615	6.622516556291407E-4	0.0	0.0024282560706401827	2.2075055187638023E-4	2.2075055187638023E-4	2.2075055187638023E-4	0.002869757174392943	6.622516556291407E-4	2.2075055187638023E-4	2.2075055187638023E-4	6.622516556291407E-4	0.0	0.0	6.622516556291407E-4	4.4150110375276047E-4	0.0	0.002649006622516563	0.005298013245033127	2.2075055187638023E-4	0.0024282560706401827	0.0013245033112582814	0.0	0.0	6.622516556291407E-4	0.0	2.2075055187638023E-4	0.0	0.002649006622516563	0.003090507726269323	6.622516556291407E-4
TRBJ1-6	0.0	0.0	0.0	6.622516556291407E-4	0.0	2.2075055187638023E-4	6.622516556291407E-4	0.0	0.0	6.622516556291407E-4	2.2075055187638023E-4	0.0	6.622516556291407E-4	0.001986754966887422	6.622516556291407E-4	0.0017660044150110419	0.0	2.2075055187638023E-4	0.0	4.4150110375276047E-4	2.2075055187638023E-4	0.0	0.0017660044150110419	8.830022075055209E-4	0.0	4.4150110375276047E-4	8.830022075055209E-4	8.830022075055209E-4	0.0	0.002207505518763802	0.001986754966887422	8.830022075055209E-4	0.0	0.0	6.622516556291407E-4	0.0	0.0013245033112582814	0.0	2.2075055187638023E-4	0.0	0.002207505518763802	4.4150110375276047E-4	0.0	0.0	2.2075055187638023E-4	4.4150110375276047E-4	4.4150110375276047E-4
TRBJ2-1	0.0	0.003090507726269323	2.2075055187638023E-4	0.004635761589403985	0.001103752759381901	0.002207505518763802	0.0035320088300220837	2.2075055187638023E-4	6.622516556291407E-4	0.0015452538631346615	6.622516556291407E-4	8.830022075055209E-4	0.004194260485651224	0.0035320088300220837	0.003973509933774844	0.016777041942604914	4.4150110375276047E-4	0.016335540838852143	0.0013245033112582814	0.002649006622516563	8.830022075055209E-4	0.001103752759381901	0.024944812362030975	0.003752759381898464	0.008167770419426072	0.001103752759381901	0.004856512141280366	0.013024282560706445	0.0	0.0017660044150110419	6.622516556291407E-4	2.2075055187638023E-4	2.2075055187638023E-4	2.2075055187638023E-4	0.002869757174392943	0.0033112582781457036	0.005518763796909508	0.0013245033112582814	0.0	0.0	0.003752759381898464	0.07328918322295828	0.0017660044150110419	4.4150110375276047E-4	0.002207505518763802	0.004856512141280366	0.006843267108167792
TRBJ2-2	0.0	0.0	4.4150110375276047E-4	0.0015452538631346615	6.622516556291407E-4	0.001103752759381901	8.830022075055209E-4	0.0	0.0	4.4150110375276047E-4	0.0	0.0	0.0015452538631346615	0.003973509933774844	0.002649006622516563	0.004194260485651224	0.0	4.4150110375276047E-4	0.0	0.005077262693156746	0.0	6.622516556291407E-4	6.622516556291407E-4	6.622516556291407E-4	4.4150110375276047E-4	0.0	0.001103752759381901	0.011699779249448157	0.0	8.830022075055209E-4	2.2075055187638023E-4	0.0	2.2075055187638023E-4	8.830022075055209E-4	6.622516556291407E-4	0.0	4.4150110375276047E-4	2.2075055187638023E-4	0.0	0.0	0.0024282560706401827	0.0017660044150110419	0.002649006622516563	0.0	4.4150110375276047E-4	0.0013245033112582814	0.002207505518763802
TRBJ2-3	2.2075055187638023E-4	0.0015452538631346615	0.0	0.0033112582781457036	4.4150110375276047E-4	0.0013245033112582814	8.830022075055209E-4	2.2075055187638023E-4	2.2075055187638023E-4	4.4150110375276047E-4	6.622516556291407E-4	0.0	0.0017660044150110419	0.002869757174392943	0.0013245033112582814	0.009271523178807979	2.2075055187638023E-4	0.0015452538631346615	2.2075055187638023E-4	0.004194260485651224	2.2075055187638023E-4	0.003090507726269323	0.0033112582781457036	0.0035320088300220837	8.830022075055209E-4	4.4150110375276047E-4	0.0017660044150110419	0.0035320088300220837	0.0	0.002649006622516563	6.622516556291407E-4	0.0015452538631346615	8.830022075055209E-4	0.0013245033112582814	0.002649006622516563	6.622516556291407E-4	0.002207505518763802	0.024724061810154584	0.0	0.0	0.004635761589403985	0.002869757174392943	4.4150110375276047E-4	4.4150110375276047E-4	6.622516556291407E-4	0.005518763796909508	0.0035320088300220837
