Sample	seurat_clusters	nCells	nCellsPerCluster	percCellsPerSample	nCellsPerSample	CellFraction
LN1	0	718	9289	0.116407263294423	6168	0.0772957261276779
LN1	1	759	9241	0.123054474708171	6168	0.0821339681852613
LN1	2	393	8270	0.063715953307393	6168	0.0475211608222491
LN1	3	427	7215	0.0692282749675746	6168	0.0591822591822592
LN1	4	568	6905	0.0920881971465629	6168	0.0822592324402607
LN1	5	283	5239	0.045881971465629	6168	0.0540179423554113
LN1	6	527	4794	0.0854409857328145	6168	0.109929078014184
LN1	7	140	4601	0.0226977950713359	6168	0.030428167789611
LN1	8	75	4108	0.01215953307393	6168	0.0182570593962999
LN1	9	200	3794	0.0324254215304799	6168	0.0527148128624143
LN1	10	1111	3646	0.180123216601816	6168	0.304717498628634
LN1	11	31	3340	0.00502594033722438	6168	0.0092814371257485
LN1	12	35	3157	0.00567444876783398	6168	0.0110864745011086
LN1	13	660	3110	0.107003891050584	6168	0.212218649517685
LN1	14	200	2547	0.0324254215304799	6168	0.0785237534354142
LN1	15	19	1296	0.00308041504539559	6168	0.0146604938271605
LN1	16	13	1278	0.00210765239948119	6168	0.0101721439749609
LN1	17	9	178	0.0014591439688716	6168	0.050561797752809
LN2	0	1045	9289	0.141254393079211	7398	0.112498654322317
LN2	1	664	9241	0.0897539875642065	7398	0.0718536954875014
LN2	2	776	8270	0.104893214382265	7398	0.0938331318016929
LN2	3	366	7215	0.0494728304947283	7398	0.0507276507276507
LN2	4	684	6905	0.0924574209245742	7398	0.0990586531498914
LN2	5	472	5239	0.0638010273046769	7398	0.0900935292994846
LN2	6	441	4794	0.0596107055961071	7398	0.0919899874843554
LN2	7	630	4601	0.0851581508515815	7398	0.136926755053249
LN2	8	152	4108	0.0205460935387943	7398	0.0370009737098345
LN2	9	205	3794	0.0277101919437686	7398	0.0540326831839747
LN2	10	807	3646	0.109083536090835	7398	0.221338453099287
LN2	11	62	3340	0.00838064341713977	7398	0.018562874251497
LN2	12	73	3157	0.00986753176534198	7398	0.0231232182451695
LN2	13	660	3110	0.089213300892133	7398	0.212218649517685
LN2	14	251	2547	0.0339280886726142	7398	0.0985473105614448
LN2	15	49	1296	0.00662341173290078	7398	0.0378086419753086
LN2	16	42	1278	0.0056772100567721	7398	0.0328638497652582
LN2	17	19	178	0.00256826169234928	7398	0.106741573033708
LN3	0	1168	9289	0.09734955825971	11998	0.125740122725805
LN3	1	1700	9241	0.141690281713619	11998	0.183962774591494
LN3	2	1545	8270	0.128771461910318	11998	0.186819830713422
LN3	3	915	7215	0.076262710451742	11998	0.126819126819127
LN3	4	1271	6905	0.105934322387065	11998	0.184069514844316
LN3	5	1252	5239	0.104350725120853	11998	0.238976903989311
LN3	6	468	4794	0.0390065010835139	11998	0.097622027534418
LN3	7	596	4601	0.0496749458243041	11998	0.129537057161487
LN3	8	262	4108	0.0218369728288048	11998	0.063777994157741
LN3	9	668	3794	0.0556759459909985	11998	0.176067474960464
LN3	10	564	3646	0.0470078346391065	11998	0.154690071311026
LN3	11	133	3340	0.0110851808634772	11998	0.0398203592814371
LN3	12	118	3157	0.0098349724954159	11998	0.037377256889452
LN3	13	602	3110	0.0501750291715286	11998	0.193569131832797
LN3	14	618	2547	0.0515085847641274	11998	0.24263839811543
LN3	15	23	1296	0.00191698616436073	11998	0.0177469135802469
LN3	16	70	1278	0.0058343057176196	11998	0.054773082942097
LN3	17	25	178	0.00208368061343557	11998	0.140449438202247
LN4	0	603	9289	0.0959274578428253	6286	0.0649154914414899
LN4	1	657	9241	0.104517976455616	6286	0.0710962017097717
LN4	2	1093	8270	0.173878460069997	6286	0.132164449818622
LN4	3	419	7215	0.0666560610881324	6286	0.0580734580734581
LN4	4	1066	6905	0.169583200763602	6286	0.154380883417813
LN4	5	389	5239	0.0618835507476933	6286	0.0742508112235159
LN4	6	359	4794	0.0571110404072542	6286	0.0748852732582395
LN4	7	533	4601	0.0847916003818008	6286	0.115844381656162
LN4	8	96	4108	0.015272033089405	6286	0.0233690360272639
LN4	9	234	3794	0.0372255806554248	6286	0.0616763310490248
LN4	10	201	3646	0.0319758192809418	6286	0.0551289083927592
LN4	11	179	3340	0.0284759783646198	6286	0.0535928143712575
