Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
ErbB signaling pathway	1/85	0.529001269504839	0.63036678222433	1.34285714285714	0.855083686383155	AREG	167	KEGG_2021_Human
ECM-receptor interaction	1/88	0.541379290277122	0.641276659316353	1.29635467980296	0.795488804486889	ITGA1	168	KEGG_2021_Human
GABAergic synapse	1/89	0.545432988796167	0.642255412842824	1.28155844155844	0.776849104679303	GLUL	169	KEGG_2021_Human
Bile secretion	1/90	0.549451058906753	0.64318094542614	1.26709470304976	0.758781383659646	LDLR	170	KEGG_2021_Human
Small cell lung cancer	1/92	0.557381556670144	0.645193351902255	1.23912087912088	0.724272662480767	NFKBIA	171	KEGG_2021_Human
GnRH signaling pathway	1/93	0.561294598966008	0.645193351902255	1.2255900621118	0.707789756225617	EGR1	172	KEGG_2021_Human
TGF-beta signaling pathway	1/94	0.56517324218608	0.645193351902255	1.21235023041475	0.691794890974129	TNF	173	KEGG_2021_Human
Circadian entrainment	1/97	0.57660577119923	0.645193351902255	1.17428571428571	0.646557586449344	FOS	174	KEGG_2021_Human
Neuroactive ligand-receptor interaction	3/341	0.579899965268813	0.645193351902255	0.999726374114991	0.544750565338627	VIPR1;S1PR1;P2RX5	175	KEGG_2021_Human
Aldosterone synthesis and secretion	1/98	0.580349798947254	0.645193351902255	1.16212076583211	0.632338096627063	LDLR	176	KEGG_2021_Human
Glycerophospholipid metabolism	1/98	0.580349798947254	0.645193351902255	1.16212076583211	0.632338096627063	CHPT1	176	KEGG_2021_Human
Inflammatory mediator regulation of TRP channels	1/98	0.580349798947254	0.645193351902255	1.16212076583211	0.632338096627063	PPP1CA	176	KEGG_2021_Human
mRNA surveillance pathway	1/98	0.580349798947254	0.645193351902255	1.16212076583211	0.632338096627063	PPP1CA	176	KEGG_2021_Human
Drug metabolism	1/108	0.616026068838655	0.681023500569195	1.05297730307076	0.510131698740788	GSTP1	180	KEGG_2021_Human
HIF-1 signaling pathway	1/109	0.61942338493982	0.681023500569195	1.0431746031746	0.499645436096605	GAPDH	181	KEGG_2021_Human
Calcium signaling pathway	2/240	0.626425596273374	0.684094038563508	0.945909398242055	0.442425731180781	CXCR4;P2RX5	182	KEGG_2021_Human
Cholinergic synapse	1/113	0.63271635862046	0.684094038563508	1.00571428571429	0.460348665324172	FOS	183	KEGG_2021_Human
Alzheimer disease	3/369	0.633363755629647	0.684094038563508	0.921917938027101	0.4210494811521	NDUFA11;TNF;GAPDH	184	KEGG_2021_Human
Glutamatergic synapse	1/114	0.635966819770096	0.684094038563508	0.996763590391909	0.451144059424568	GLUL	185	KEGG_2021_Human
Parkinson disease	2/249	0.646389710735253	0.691567486216749	0.911024244962539	0.39752787967143	DUSP1;NDUFA11	186	KEGG_2021_Human
Oocyte meiosis	1/129	0.681427472315249	0.725155438453126	0.879285714285714	0.337263626931106	PPP1CA	187	KEGG_2021_Human
Oxidative phosphorylation	1/133	0.692565786993538	0.729209479427059	0.852467532467532	0.313155692340444	NDUFA11	188	KEGG_2021_Human
Vascular smooth muscle contraction	1/133	0.692565786993538	0.729209479427059	0.852467532467532	0.313155692340444	PPP1CA	188	KEGG_2021_Human
Autophagy	1/137	0.703316806086706	0.736631812690813	0.827226890756303	0.291140717318096	DDIT4	190	KEGG_2021_Human
Signaling pathways regulating pluripotency of stem cells	1/143	0.718746325348907	0.748850883478705	0.792032193158954	0.261566096845525	SKIL	191	KEGG_2021_Human
Breast cancer	1/147	0.728586694784269	0.753717982158696	0.770176125244618	0.243875234879682	FOS	192	KEGG_2021_Human
Retrograde endocannabinoid signaling	1/148	0.730992816867479	0.753717982158696	0.764897959183673	0.239682034323669	NDUFA11	193	KEGG_2021_Human
Spliceosome	1/150	0.735741615372191	0.754704028139515	0.754554170661553	0.231554782958692	PCBP1	194	KEGG_2021_Human
Cushing syndrome	1/155	0.747252075411005	0.762580323111744	0.72987012987013	0.212649633296098	LDLR	195	KEGG_2021_Human
Wnt signaling pathway	1/166	0.770850047269905	0.78264877248322	0.680831168831169	0.177194083753282	CCND3	196	KEGG_2021_Human
RNA transport	1/186	0.80828197946217	0.816487887883106	0.606610038610039	0.129113487135612	CYFIP2	197	KEGG_2021_Human
Pathways of neurodegeneration	2/475	0.924053849796821	0.928720788432158	0.47024373648271	0.0371421686267627	NDUFA11;TNF	198	KEGG_2021_Human
Huntington disease	1/306	0.934496226986228	0.934496226986228	0.365695550351288	0.0247750286196198	NDUFA11	199	KEGG_2021_Human
