p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
0.0829178472161106	-0.130587756432239	0.42	0.484	1	SSR1	Colitis
0.227789981279436	-0.130509112948885	0.364	0.4	1	CYTH1	Colitis
0.550608382844967	-0.130484064637947	0.207	0.22	1	LAGE3	Colitis
0.169033511996727	-0.130389205616891	0.307	0.352	1	PAFAH1B1	Colitis
0.93024624626255	0.130370521110369	0.216	0.218	1	BTG3	Colitis
0.533999409903184	0.130259719294648	0.282	0.265	1	BAG1	Colitis
0.577244478791833	-0.130107676678367	0.119	0.13	1	WWP1	Colitis
0.0342114042139948	-0.129979260189708	0.79	0.813	1	TPI1	Colitis
0.514675419454842	-0.129899480554059	0.094	0.106	1	REV1	Colitis
0.697285027644151	-0.129899480554059	0.1	0.107	1	TWF1	Colitis
0.503011589519254	0.12988175360192	0.298	0.279	1	NCF4	Colitis
0.0556767592881104	-0.129805668085912	0.539	0.612	1	C9orf16	Colitis
0.864581491221167	-0.129752289303522	0.176	0.177	1	ZNF430	Colitis
0.496829970231139	0.129724297117083	0.197	0.181	1	JMJD6	Colitis
0.520284232071406	0.129724297117083	0.107	0.094	1	AL139246.5	Colitis
0.823606018068399	0.129724297117082	0.053	0.05	1	DHCR7	Colitis
0.256482261229715	-0.129557973855603	0.022	0.013	1	TRBV4-1	Colitis
0.71301778379696	0.129531152322512	0.254	0.248	1	DDRGK1	Colitis
0.00532652745363862	0.129265457355742	0.994	0.995	1	EEF1D	Colitis
0.450584474533909	-0.129175853593566	0.166	0.184	1	QARS	Colitis
0.0650384261637865	-0.129112995172935	0.357	0.424	1	NDUFAB1	Colitis
0.357294441796468	-0.128987976465981	0.436	0.457	1	ARL6IP1	Colitis
0.745443285274973	0.12897503974325	0.072	0.067	1	KLHL6	Colitis
0.865479419009206	0.12897503974325	0.066	0.069	1	AC006369.1	Colitis
0.983404092404528	0.12897503974325	0.132	0.132	1	ZZEF1	Colitis
0.331162471002836	0.128937272363023	0.643	0.616	1	CAMK4	Colitis
0.61071549149273	-0.128894818228717	0.147	0.157	1	ESCO1	Colitis
0.63058795239824	-0.128894818228717	0.05	0.057	1	XRRA1	Colitis
0.794917060306094	-0.128894818228717	0.05	0.054	1	TSTD2	Colitis
0.827898812814618	-0.128894818228717	0.05	0.053	1	ROCK2	Colitis
0.254914862397573	-0.128679442391803	0.204	0.236	1	C21orf91	Colitis
0.385909965961927	-0.128679442391803	0.216	0.24	1	DNAJC7	Colitis
0.781766104447454	-0.128618413391989	0.176	0.179	1	GANAB	Colitis
0.434520799613653	-0.128589582843914	0.401	0.423	1	CNPY3	Colitis
0.801749099712511	0.128553753409145	0.094	0.09	1	ARMT1	Colitis
0.601567160332559	-0.12850912245289	0.125	0.136	1	MRPL19	Colitis
0.0977706576153977	-0.12844197715594	0.574	0.629	1	MTDH	Colitis
0.616907226304052	0.128283762757868	0.361	0.351	1	BAZ1A	Colitis
0.684351295834731	-0.128256880990426	0.078	0.085	1	RBM4B	Colitis
0.686599863470871	-0.128256880990426	0.078	0.085	1	SIRT5	Colitis
0.736597434902403	-0.128256880990426	0.078	0.084	1	IFNAR2	Colitis
0.166057960660844	-0.128096170837548	0.571	0.615	1	SF3B2	Colitis
0.695573813751168	0.128095972970308	0.135	0.127	1	PDZD11	Colitis
0.543308706516575	-0.12807904492969	0.169	0.184	1	TRIM8	Colitis
0.417093341385573	0.127999616647622	0.354	0.328	1	RALGAPA1	Colitis
0.629605461883421	-0.127946923949618	0.103	0.113	1	TIMM10B	Colitis
0.670235311061923	-0.127946923949618	0.103	0.111	1	HSD17B4	Colitis
0.000239065121454886	-0.127935336119979	1	1	1	RPL39	Colitis
0.0894452166370554	0.127841620299093	0.837	0.798	1	SOD1	Colitis
0.293967090255936	-0.127815865170378	0.317	0.344	1	CYBC1	Colitis
0.554206061046349	-0.127642750421	0.15	0.163	1	C19orf12	Colitis
0.163684311454148	-0.127512264178598	0.476	0.518	1	RNH1	Colitis
0.299367106843003	-0.127403467749989	0.248	0.277	1	RBM42	Colitis
0.357575953186467	-0.127371112710329	0.263	0.29	1	PQLC3	Colitis
0.437154503567011	-0.127051118245029	0.075	0.089	1	FUBP3	Colitis
0.501410635739332	-0.127051118245029	0.022	0.029	1	ZNF844	Colitis
0.508330708653099	-0.127051118245029	0.103	0.117	1	SP4	Colitis
0.508522655531371	-0.127051118245029	0.129	0.143	1	ZFYVE27	Colitis
0.543545976470503	-0.127051118245029	0.107	0.119	1	RCC1L	Colitis
0.543545976470503	-0.127051118245029	0.107	0.119	1	DCAF12	Colitis
0.572422467050034	-0.127051118245029	0.05	0.058	1	CD99L2	Colitis
0.586666442842376	-0.127051118245029	0.078	0.088	1	PCYOX1L	Colitis
0.610329500145128	-0.127051118245029	0.078	0.087	1	PNO1	Colitis
0.626506637347174	-0.127051118245029	0.025	0.03	1	ZKSCAN8	Colitis
0.631145973544462	-0.127051118245029	0.05	0.057	1	USP24	Colitis
0.668765063066464	-0.127051118245029	0.025	0.029	1	CYP2U1	Colitis
0.668765063066464	-0.127051118245029	0.025	0.029	1	ZKSCAN5	Colitis
0.668765063066464	-0.127051118245029	0.025	0.029	1	C1RL-AS1	Colitis
0.758962500138649	-0.127051118245029	0.025	0.028	1	LINC01806	Colitis
0.806748884288209	-0.127051118245029	0.025	0.027	1	USP30	Colitis
0.451243955522716	-0.127051118245028	0.219	0.237	1	CAMK2G	Colitis
0.671285446643879	0.127050162818757	0.122	0.114	1	KLHL36	Colitis
0.814552147279451	0.127050162818757	0.06	0.056	1	MTRF1	Colitis
0.875542963412742	0.127050162818757	0.041	0.039	1	ERCC8	Colitis
0.875542963412742	0.127050162818757	0.041	0.039	1	ACTR3B	Colitis
0.914172622450423	0.127050162818757	0.056	0.058	1	GRK5	Colitis
0.918567783489683	0.127050162818757	0.041	0.04	1	METTL22	Colitis
0.942446134035185	0.127050162818757	0.019	0.019	1	ZFAT	Colitis
0.942446134035185	0.127050162818757	0.019	0.019	1	RAP2A	Colitis
0.942446134035185	0.127050162818757	0.019	0.019	1	AC105020.6	Colitis
0.942446134035185	0.127050162818757	0.019	0.019	1	PLA2G15	Colitis
0.951685199632907	0.127050162818757	0.078	0.078	1	TBC1D2B	Colitis
0.981311948164535	0.127050162818757	0.078	0.078	1	KATNB1	Colitis
0.0495573699487146	0.126965797154519	1	0.971	1	RPS26	Colitis
0.367280531520911	-0.126737454793225	0.273	0.298	1	MED28	Colitis
0.311597892961734	0.126696604419515	0.542	0.518	1	STAT3	Colitis
0.240777454231152	-0.126668592711596	0.213	0.247	1	RETREG1	Colitis
0.729272670436431	0.126656037685617	0.31	0.307	1	TEX264	Colitis
0.46263880417562	-0.1266463784357	0.408	0.422	1	SDHC	Colitis
0.402754879031267	-0.126621425005549	0.379	0.399	1	TMEM14C	Colitis
0.54085978104455	-0.126621425005549	0.207	0.221	1	C1GALT1	Colitis
0.106654548990208	-0.126480770326594	0.639	0.676	1	DRAP1	Colitis
0.441121912806734	0.126391548317071	0.197	0.178	1	PTRHD1	Colitis
0.750757176420641	-0.126369154138315	0.135	0.141	1	AL365205.1	Colitis
0.327618717022301	-0.126148305298865	0.357	0.38	1	LSM4	Colitis
0.48686994389883	0.126125654590459	0.257	0.238	1	SYTL2	Colitis
0.344690699419348	-0.126085781948798	0.342	0.37	1	ARPC5L	Colitis
0.496689985284629	-0.126013954260108	0.323	0.339	1	COPZ1	Colitis
0.163239791510548	0.125981895431266	0.42	0.376	1	ABLIM1	Colitis
0.76381346425902	0.125981895431266	0.235	0.23	1	LETMD1	Colitis
0.826248966825437	0.12578519558218	0.107	0.102	1	GMFB	Colitis
0.475943348274706	0.12578519558218	0.285	0.267	1	PPP4R3B	Colitis
0.394232743898639	0.125656927518891	0.197	0.176	1	KDM2A	Colitis
0.0337455495450445	-0.125556871564698	0.423	0.505	1	STUB1	Colitis
0.853796555916859	0.125499711255357	0.085	0.082	1	STX7	Colitis
0.572653095861249	-0.12539949237387	0.053	0.062	1	DNAJC13	Colitis
0.656525755087908	-0.12539949237387	0.056	0.063	1	RNF169	Colitis
0.686314606501598	-0.12539949237387	0.056	0.062	1	SLC35F5	Colitis
0.74810136155168	-0.12539949237387	0.056	0.061	1	AHCYL1	Colitis
0.139100886874667	-0.125331576872345	0.47	0.52	1	ATP5MPL	Colitis
0.706119610135904	-0.125177488058453	0.197	0.204	1	SINHCAF	Colitis
0.686630665242806	-0.125089601911742	0.144	0.152	1	PLEKHA1	Colitis
0.482707487965344	0.12504780990761	0.364	0.344	1	NUTF2	Colitis
0.593362514159206	0.12504780990761	0.072	0.064	1	MEPCE	Colitis
